step,epoch,lr,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt
1,1,0.005,0.2848930572509766,0.8853,0.19005170798301696,0.928,1744267651.8929331,2025/04/10 15:47:31,12.713623523712158,12.7s
2,2,0.0049987664009143295,0.196238898357749,0.9194,0.17967598402500154,0.93,1744267663.5956495,2025/04/10 15:47:43,24.416339874267578,24.4s
3,3,0.00499506682107068,0.17351160366535187,0.9308,0.1499485559463501,0.9405,1744267675.2643764,2025/04/10 15:47:55,36.08506679534912,36.1s
4,4,0.004988904911507701,0.14917793326377868,0.9411,0.09151052772998809,0.964,1744267686.932921,2025/04/10 15:48:06,47.75361132621765,47.8s
5,5,0.004980286753286196,0.13535338129997254,0.9461,0.16437536561489105,0.9345,1744267698.6982272,2025/04/10 15:48:18,59.51891756057739,59.5s
6,6,0.004969220851487845,0.11972342220321297,0.9559,0.16733847826719284,0.939,1744267710.48227,2025/04/10 15:48:30,71.30296039581299,1.2m
7,7,0.004955718126821723,0.11427441133782268,0.9545,0.0664733789563179,0.977,1744267722.2688823,2025/04/10 15:48:42,83.08957266807556,1.4m
8,8,0.004939791904846869,0.09498676624298096,0.9631,0.07036224776506424,0.973,1744267734.1010954,2025/04/10 15:48:54,94.92178583145142,1.6m
9,9,0.004921457902821578,0.09011075881123543,0.9675,0.062315471529960635,0.9805,1744267745.901491,2025/04/10 15:49:05,106.72218132019043,1.8m
10,10,0.004900734214192358,0.08491717293262482,0.967,0.09389433860778809,0.963,1744267757.6790776,2025/04/10 15:49:17,118.49976801872253,2.0m
11,11,0.004877641290737884,0.091194939661026,0.9642,0.07332309287786484,0.976,1744267769.560122,2025/04/10 15:49:29,130.38081240653992,2.2m
12,12,0.004852201922385563,0.08669574075937271,0.9665,0.1908369751572609,0.932,1744267781.3975217,2025/04/10 15:49:41,142.21821212768555,2.4m
