"Name","ID","State","Notes","User","Group","Job Type","Tags","Created","Updated","End Time","Runtime","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","T","batch_size","dataname","div","ensembles","epochs","max_lr","modelname","num_gpus","optimizer","scheduler","smooth","use_bn","test_acc","test_loss","train_acc","train_loss"
"resnet18_64.0_4_16","54b1h8u0","finished","-","","caltech101","","","2024-11-03T15:28:40.000Z","2024-11-03T16:39:31.000Z","2024-11-03T16:39:31.000Z","4251","","DESKTOP-QAHL20U","","","","","","64","32","caltech101","4","16","200","0.1","resnet18","1","SGD","CosineAnnealingLR","0","true","0.739247311827957","0.05523111418278719","0.8318788078379713","0.04053717408014565"
"resnet18_64.0_1_1","hfmfor8k","finished","-","","caltech101","","","2024-11-03T14:56:00.000Z","2024-11-03T15:28:34.000Z","2024-11-03T15:28:34.000Z","1954","","DESKTOP-QAHL20U","","","","","","64","32","caltech101","1","1","200","0.1","resnet18","1","SGD","CosineAnnealingLR","0","true","0.4873271889400922","0.09578574985586188","0.4969537296229211","0.09164021244045932"
"resnet18_32.0_4_16","phox5jit","finished","-","","caltech101","","","2024-11-03T13:45:57.000Z","2024-11-03T14:55:53.000Z","2024-11-03T14:55:53.000Z","4196","","DESKTOP-QAHL20U","","","","","","32","32","caltech101","4","16","200","0.1","resnet18","1","SGD","CosineAnnealingLR","0","true","0.8379416282642089","0.0334279384984765","1","0.006798044431058418"
"resnet18_32.0_1_1","lag7httv","finished","-","","caltech101","","","2024-11-03T13:13:21.000Z","2024-11-03T13:45:51.000Z","2024-11-03T13:45:51.000Z","1950","","DESKTOP-QAHL20U","","","","","","32","32","caltech101","1","1","200","0.1","resnet18","1","SGD","CosineAnnealingLR","0","true","0.847926267281106","0.043977877076503503","0.9361106537131566","0.02954753210669037"
"resnet18_24.0_4_16","7dr5tw2w","finished","-","","caltech101","","","2024-11-03T12:02:58.000Z","2024-11-03T13:13:16.000Z","2024-11-03T13:13:16.000Z","4218","","DESKTOP-QAHL20U","","","","","","24","32","caltech101","4","16","200","0.1","resnet18","1","SGD","CosineAnnealingLR","0","true","0.8433179723502304","0.029588380316343907","1","0.0035368200577396785"
"resnet18_24.0_1_1","64ll44ox","finished","-","","caltech101","","","2024-11-03T11:30:39.000Z","2024-11-03T12:02:52.000Z","2024-11-03T12:02:52.000Z","1933","","DESKTOP-QAHL20U","","","","","","24","32","caltech101","1","1","200","0.1","resnet18","1","SGD","CosineAnnealingLR","0","true","0.8759600614439325","0.03170992944463973","0.9957187551457268","0.01339890294190433"
"resnet18_16.0_4_16","z3eldtrq","finished","-","","caltech101","","","2024-11-03T10:19:50.000Z","2024-11-03T11:30:35.000Z","2024-11-03T11:30:35.000Z","4245","","DESKTOP-QAHL20U","","","","","","16","32","caltech101","4","16","200","0.1","resnet18","1","SGD","CosineAnnealingLR","0","true","0.8605990783410138","0.02564505092833998","1","0.0015522971992832854"
"resnet18_16.0_1_1","a9mzj2rq","finished","-","","caltech101","","","2024-11-03T09:47:37.000Z","2024-11-03T10:19:44.000Z","2024-11-03T10:19:44.000Z","1927","","DESKTOP-QAHL20U","","","","","","16","32","caltech101","1","1","200","0.1","resnet18","1","SGD","CosineAnnealingLR","0","true","0.8655913978494624","0.02705212925115855","1","0.005826308682901981"
"resnet18_8.0_4_16","3xgcx8kp","finished","-","","caltech101","","","2024-11-03T08:36:27.000Z","2024-11-03T09:47:30.000Z","2024-11-03T09:47:30.000Z","4263","","DESKTOP-QAHL20U","","","","","","8","32","caltech101","4","16","200","0.1","resnet18","1","SGD","CosineAnnealingLR","0","true","0.8617511520737328","0.021694879217814374","1","0.0005044851519741582"
"resnet18_8.0_1_1","pmacttn5","finished","-","","caltech101","","","2024-11-03T08:04:08.000Z","2024-11-03T08:36:21.000Z","2024-11-03T08:36:21.000Z","1933","","DESKTOP-QAHL20U","","","","","","8","32","caltech101","1","1","200","0.1","resnet18","1","SGD","CosineAnnealingLR","0","true","0.8874807987711214","0.020152907395097334","1","0.00157392135807941"
