step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,2.229544553756714,0.201,,
2,0.0004999987663004646,2,2.015962812423706,0.277,,
3,0.0004999950652140342,3,1.8801125164031982,0.323,,
4,0.0004999888967772375,4,1.8012265872955322,0.338,,
5,0.0004999802610509541,5,1.7027959794998169,0.355,,
6,0.0004999691581204152,6,1.6562692432403565,0.37,,
7,0.0004999555880952023,7,1.5827183876037598,0.401,,
8,0.000499939551109246,8,1.5452399339675904,0.42,,
9,0.000499921047320825,9,1.518798264503479,0.439,,
10,0.000499900076912564,10,1.4933185319900513,0.447,1.801724811553955,0.371625
