step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.30003959376017253,0.4108,,
2,0.0004999691581204152,2,0.24355018094380695,0.528,0.23724745432535807,0.514
3,0.0004998766400914329,3,0.21930299469629924,0.5778,,
4,0.0004997224687404926,4,0.2051937289237976,0.5996,0.20559892495473225,0.569
5,0.0004995066821070679,5,0.19352256428400674,0.6264,,
6,0.000499229333433282,6,0.18522294829686484,0.6392,0.19754042450586956,0.589
7,0.00049889049115077,7,0.1775833086649577,0.6546,,
8,0.0004984902388637949,8,0.17103825874328613,0.6614,0.1774880432287852,0.661
9,0.0004980286753286195,9,0.16362647717793782,0.6818,,
10,0.0004975059144291394,10,0.15689676841100056,0.6958,0.16340519666671752,0.682
11,0.0004969220851487844,11,0.15558787666956583,0.7028,,
12,0.0004962773315386935,12,0.15325633099873862,0.6918,0.1643758749961853,0.651
13,0.0004955718126821722,13,0.14832410933176676,0.7116,,
14,0.0004948057026554414,14,0.14073714311917623,0.7252,0.15268217953046162,0.682
15,0.0004939791904846868,15,0.13815255495707193,0.7286,,
16,0.0004930924800994191,16,0.13487641153335572,0.7362,0.15932991600036622,0.685
17,0.0004921457902821577,17,0.13723016319274903,0.728,,
18,0.0004911393546144495,18,0.13551322310765584,0.7306,0.15021268248558045,0.71
19,0.0004900734214192357,19,0.13151557099024455,0.7372,,
20,0.0004889482536995824,20,0.12751177835464478,0.746,0.14011725076039633,0.724
21,0.0004877641290737883,21,0.1251694776058197,0.7564,,
22,0.00048652133970688617,22,0.12019511909484863,0.7624,0.1367301033337911,0.72
23,0.0004852201922385562,23,0.11924040478070577,0.7648,,
24,0.0004838610077074667,24,0.11383844718933106,0.7738,0.15399292286237082,0.679
25,0.00048244412147206266,25,0.11508610154787699,0.7742,,
26,0.0004809698831278215,26,0.11161282113393148,0.7778,0.12801824347178142,0.741
27,0.00047943865642099503,27,0.11087007751464843,0.7756,,
28,0.00047785081915886106,28,0.10826290543874105,0.7864,0.13246638210614523,0.733
29,0.0004762067631165046,29,0.10900666451454162,0.7876,,
30,0.00047450689394015364,30,0.10437725394566853,0.79,0.1229683735370636,0.754
31,0.0004727516310470917,31,0.10580545835494995,0.7906,,
32,0.00047094140752217313,32,0.1030983081817627,0.796,0.12641244188944498,0.75
33,0.00046907667001096557,33,0.10415954327583313,0.7992,,
34,0.00046715787860954753,34,0.09874997029304504,0.8026,0.11662235236167907,0.774
35,0.00046518550675098564,35,0.10136113758087158,0.7944,,
36,0.0004631600410885228,36,0.09625851256052653,0.8112,0.11916647680600484,0.766
37,0.0004610819813755035,37,0.09726365221341451,0.8112,,
38,0.00045895184034206734,38,0.09770182596842449,0.806,0.12376980876922608,0.755
39,0.00045677014356864016,39,0.09477480659484863,0.8096,,
40,0.0004545374293562556,40,0.09469218654632568,0.8154,0.11366489275296529,0.778
41,0.0004522542485937366,41,0.09664073921839396,0.8098,,
42,0.0004499211646217724,42,0.0914732283592224,0.819,0.11057605131467184,0.768
43,0.0004475387530939223,43,0.08902708676656088,0.8264,,
44,0.00044510760183458215,44,0.08481960776646932,0.8346,0.10349801254272462,0.795
45,0.000442628310693947,45,0.08948261130650838,0.8202,,
46,0.00044010149140000747,46,0.08747477270762126,0.8244,0.1098033340771993,0.772
47,0.0004375277674076146,47,0.08753061456680297,0.8266,,
48,0.00043490777374465206,48,0.08934560012817383,0.821,0.1088123128414154,0.779
49,0.00043224215685535255,49,0.09238314704895019,0.8148,,
50,0.0004295315744407969,50,0.08397997849782309,0.8302,0.100965309937795,0.791
51,0.00042677669529663653,51,0.08247216480573018,0.8352,,
52,0.0004239781991480782,52,0.08031105267206828,0.8364,0.09809068783124288,0.793
53,0.00042113677648217187,53,0.07783784907658894,0.8478,,
54,0.000418253128377443,54,0.07796009689966837,0.8388,0.10287007315953572,0.803
55,0.00041532796633091264,55,0.07674233182271321,0.851,,
56,0.0004123620120825456,56,0.07627844657897949,0.8486,0.09548073267936706,0.807
57,0.0004093559974371721,57,0.07726142689387004,0.841,,
58,0.000406310664083926,58,0.07365545159975688,0.8516,0.0981940176486969,0.804
59,0.0004032267634132438,59,0.0702926594654719,0.8572,,
60,0.00040010505633147073,60,0.06972156159083048,0.8638,0.0961060197353363,0.81
61,0.000396946313073118,61,0.07516636813481649,0.8464,,
62,0.0003937513130108194,62,0.07502075421015422,0.8466,0.09635950628916423,0.803
63,0.00039052084446303243,63,0.07620277194976807,0.8528,,
64,0.0003872557044995327,64,0.07220407915115357,0.8496,0.09658891820907593,0.812
65,0.0003839566987447489,65,0.06997604211171468,0.8622,,
66,0.00038062464117898695,66,0.06875669435660044,0.8662,0.10066610729694367,0.801
67,0.0003772603539375926,67,0.06832706416447958,0.8652,,
68,0.0003738646671081017,68,0.067950452709198,0.8702,0.09289733449618022,0.823
69,0.00037043841852542857,69,0.07125126624107361,0.8534,,
70,0.00036698245356514314,70,0.06829211915334066,0.8704,0.09396109835306804,0.821
71,0.00036349762493488645,71,0.06616217567125957,0.8694,,
72,0.0003599847924639785,72,0.06297106331984202,0.8794,0.09679875151316325,0.809
73,0.0003564448228912679,73,0.06468803414503733,0.8736,,
74,0.00035287858965127696,74,0.060788741270701094,0.881,0.09350847121079763,0.811
75,0.0003492869726586949,75,0.0630625411192576,0.8724,,
76,0.0003456708580912722,76,0.05998211018244425,0.8866,0.09103696378072103,0.812
77,0.00034203113817116924,77,0.06286223001480103,0.8782,,
78,0.000338368710944814,78,0.0634381763458252,0.8782,0.08984446994463603,0.821
79,0.0003346844800613226,79,0.063756338707606,0.879,,
80,0.00033097935454953704,80,0.060706650511423745,0.882,0.08600741219520569,0.833
81,0.00032725424859373655,81,0.06300459905465444,0.8788,,
82,0.0003235100813080757,82,0.059335327243804935,0.8822,0.08705697671572367,0.83
83,0.0003197477765098071,83,0.06090025997161865,0.8796,,
84,0.0003159682624913429,84,0.059639882882436115,0.8858,0.09225760730107625,0.822
85,0.0003121724717912134,85,0.05946578607559204,0.8836,,
86,0.0003083613409639761,86,0.06117914671897888,0.878,0.08817660721143086,0.827
