step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.34373905658721926,0.3022,,
2,0.0004999950652140343,2,0.30934430637359617,0.4304,,
3,0.0004999802610509541,3,0.2905506847381592,0.467,,
4,0.0004999555880952023,4,0.27550139859517414,0.4972,,
5,0.000499921047320825,5,0.26422390721639,0.5164,0.2690341955820719,0.47
6,0.0004998766400914329,6,0.25466554549535114,0.5294,,
7,0.0004998223681601473,7,0.24562981106440226,0.5452,,
8,0.0004997582336695312,8,0.23844085601170859,0.5554,,
9,0.0004996842391515044,9,0.2329291290283203,0.5628,,
10,0.0004996003875272438,10,0.22618735230763753,0.5716,0.2364225591023763,0.559
11,0.0004995066821070679,11,0.22124241749445597,0.5822,,
12,0.0004994031265903063,12,0.2178208954811096,0.5856,,
13,0.0004992897250651535,13,0.21272980289459228,0.597,,
14,0.0004991664820085074,14,0.20959145132700602,0.6026,,
15,0.0004990334022857932,15,0.20502053470611573,0.6128,0.2103037748336792,0.602
16,0.0004988904911507701,16,0.20212279767990113,0.6166,,
17,0.0004987377542453251,17,0.1977994683265686,0.629,,
18,0.0004985751975992498,18,0.19414320322672526,0.6362,,
19,0.0004984028276300022,19,0.19299963003794351,0.6306,,
20,0.0004982206511424535,20,0.18948299125035603,0.65,0.19627623573939004,0.611
21,0.0004980286753286196,21,0.1876407974878947,0.6456,,
22,0.0004978269077673767,22,0.1862653478940328,0.645,,
23,0.0004976153564241628,23,0.18374095576604207,0.6546,,
24,0.0004973940296506627,24,0.179594043413798,0.6626,,
25,0.0004971629361844785,25,0.17708880507151287,0.6614,0.18888154935836793,0.638
26,0.0004969220851487844,26,0.17604572842915853,0.667,,
27,0.000496671486051967,27,0.17252316719690958,0.6698,,
28,0.0004964111487872495,28,0.1727365296045939,0.6692,,
29,0.0004961410836323014,29,0.17197234935760497,0.6712,,
30,0.0004958613012488324,30,0.16958261121114096,0.6844,0.18128742996851605,0.647
31,0.0004955718126821722,31,0.1663586973508199,0.6858,,
32,0.0004952726293608335,32,0.16442079130808512,0.684,,
33,0.0004949637630960617,33,0.16317630093892416,0.695,,
34,0.000494645226081368,34,0.1624993356704712,0.6902,,
35,0.0004943170308920483,35,0.16176967859268188,0.6986,0.17612372907002766,0.648
36,0.0004939791904846868,36,0.15992066871325175,0.6982,,
37,0.0004936317181966442,37,0.15705099925994873,0.7008,,
38,0.0004932746277455316,38,0.15627999947865803,0.7092,,
39,0.0004929079332286684,39,0.15709234320322674,0.6984,,
40,0.0004925316491225263,40,0.15681381092071534,0.7008,0.17315827480951945,0.64
41,0.0004921457902821576,41,0.1519482632001241,0.713,,
42,0.0004917503719406085,42,0.1501118139108022,0.7182,,
43,0.0004913454097083182,43,0.15016026306152344,0.7136,,
44,0.0004909309195725022,44,0.14891762094497682,0.719,,
45,0.0004905069178965212,45,0.14779761916796366,0.7152,0.17106502691904704,0.668
46,0.0004900734214192355,46,0.1464256937344869,0.7198,,
47,0.0004896304472543437,47,0.14411070702870687,0.7214,,
48,0.0004891780128897074,48,0.14444523792266845,0.724,,
49,0.0004887161361866605,49,0.14180705038706462,0.7318,,
50,0.00048824483537930445,50,0.14273069219589232,0.7266,0.1659226914246877,0.674
51,0.00048776412907378813,51,0.14148558549880982,0.7308,,
52,0.00048727403624757335,52,0.13851774207750955,0.732,,
53,0.0004867745762486857,53,0.13776611948013306,0.7362,,
54,0.0004862657687949508,54,0.13783935600916544,0.734,,
55,0.00048574763397321574,55,0.13869408798217772,0.7338,0.15202998272577922,0.695
56,0.000485220192238556,56,0.13630263045628865,0.7426,,
57,0.00048468346441346815,57,0.13433337494532266,0.7418,,
58,0.00048413747168704775,58,0.13140254335403442,0.7516,,
59,0.0004835822356141526,59,0.13056057341893515,0.7488,,
60,0.0004830177781145523,60,0.13094778294563295,0.7494,0.15623574018478392,0.685
61,0.00048244412147206245,61,0.1293872331301371,0.752,,
62,0.00048186128833366493,62,0.13167914991378785,0.7456,,
63,0.0004812693017086141,63,0.13226791105270386,0.7498,,
64,0.0004806681849675283,64,0.1294534457206726,0.7556,,
65,0.0004800579618414672,65,0.12654451189041138,0.7598,0.14798315238952636,0.71
66,0.00047943865642099487,66,0.12464207193056742,0.767,,
67,0.00047881029315522897,67,0.12473794873555501,0.7658,,
68,0.0004781728968508753,68,0.1242711545308431,0.7606,,
69,0.0004775264926712485,69,0.1258717617034912,0.7594,,
70,0.0004768711061352788,70,0.1238381833076477,0.7662,0.1496437552769979,0.705
71,0.00047620676311650446,71,0.12261166140238444,0.7612,,
72,0.00047553348984205027,72,0.12251497983932495,0.7664,,
73,0.00047485131289159234,73,0.12129598565101624,0.7706,,
74,0.00047416025919630857,74,0.11947631346384684,0.7718,,
75,0.00047346035603781553,75,0.11951880801518758,0.7642,0.14233411955833436,0.721
76,0.0004727516310470915,76,0.11946262197494507,0.7696,,
77,0.0004720341122033857,77,0.11913456052144368,0.7656,,
78,0.0004713078278331134,78,0.12001436882019043,0.7692,,
79,0.0004705728066087379,79,0.12170110629399618,0.7664,,
80,0.0004698290775476386,80,0.1157686376730601,0.7724,0.1432713378270467,0.715
81,0.00046907667001096546,81,0.1146056201616923,0.7784,,
82,0.0004683156137024796,82,0.11461644519170125,0.7722,,
83,0.00046754593866738095,83,0.11241401201883952,0.7862,,
84,0.00046676767529112205,84,0.11441499293645223,0.7826,,
85,0.00046598085429820835,85,0.11513030204772949,0.7724,0.14361597029368084,0.719
86,0.0004651855067509855,86,0.11163408495585124,0.7872,,
87,0.00046438166404841265,87,0.10994074339866639,0.7864,,
88,0.00046356935792482334,88,0.10997614374160766,0.7846,,
89,0.00046274862044867255,89,0.10816239509582519,0.794,,
90,0.00046191948402127036,90,0.11030434007644653,0.7866,0.14027170769373576,0.728
91,0.0004610819813755033,91,0.10995472769737244,0.7852,,
92,0.0004602361455745418,92,0.10891445105870565,0.7868,,
93,0.0004593820100105349,93,0.10611844380696614,0.796,,
94,0.00045851960840329227,94,0.1049487470626831,0.7988,,
95,0.00045764897479895266,95,0.10360365174611409,0.8,0.13275326983133953,0.729
96,0.00045677014356863995,96,0.10607410844167074,0.795,,
97,0.00045588314940710634,97,0.10651823342641195,0.797,,
