step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.005,1,1.1415648412704469,0.146,,
2,0.004999999228937196,2,1.1026220254898071,0.262,,
3,0.004999996915749259,3,1.0715795021057128,0.33,,
4,0.004999993060437617,4,1.040307255744934,0.382,,
5,0.004999987663004646,5,1.0099682941436767,0.418,,
6,0.0049999807234536765,6,0.9832349338531494,0.42,,
7,0.004999972241788991,7,0.9487705054283142,0.424,,
8,0.004999962218015818,8,0.9267681255340576,0.43,,
9,0.004999950652140343,9,0.8982073502540588,0.466,,
10,0.0049999375441697,10,0.8706530919075012,0.482,,
11,0.004999922894111975,11,0.8470316352844238,0.484,,
12,0.004999906701976204,12,0.8349450845718384,0.492,,
13,0.004999888967772375,13,0.802642915725708,0.514,,
14,0.0049998696915114285,14,0.7795693707466126,0.532,,
15,0.004999848873205255,15,0.7674355483055115,0.522,,
16,0.004999826512866694,16,0.7536300239562989,0.53,,
17,0.004999802610509542,17,0.7309333639144897,0.586,,
18,0.00499977716614854,18,0.7108958592414856,0.546,,
19,0.0049997501797993844,19,0.7014370813369751,0.582,,
20,0.004999721651478723,20,0.6835320782661438,0.584,,
21,0.004999691581204152,21,0.6721468677520752,0.58,,
22,0.004999659968994222,22,0.6428783707618714,0.626,,
23,0.004999626814868431,23,0.6418540296554566,0.602,,
24,0.00499959211884723,24,0.6140579099655151,0.624,,
25,0.004999555880952024,25,0.6147054171562195,0.64,,
26,0.004999518101205164,26,0.5831841764450073,0.646,,
27,0.004999478779629954,27,0.5743455195426941,0.674,,
28,0.004999437916250651,28,0.5629297809600831,0.66,,
29,0.004999395511092462,29,0.5412536435127259,0.684,,
30,0.004999351564181543,30,0.53519415807724,0.706,,
31,0.004999306075545003,31,0.5149421043395996,0.72,,
32,0.0049992590452109026,32,0.5197585821151733,0.698,,
33,0.004999210473208252,33,0.4951789493560791,0.714,,
34,0.004999160359567012,34,0.48187486338615415,0.75,,
35,0.004999108704318096,35,0.46071836376190184,0.77,,
36,0.004999055507493369,36,0.46863275694847106,0.738,,
37,0.004999000769125643,37,0.4424345808029175,0.784,,
