step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,1.888653632926941,0.3192,,
2,0.0004999691581204152,2,1.5874430614471435,0.445,1.6013363628387451,0.438
3,0.0004998766400914329,3,1.4340399368286132,0.4998,,
4,0.0004997224687404926,4,1.3342448532104492,0.5368,1.5536721801757813,0.474
5,0.0004995066821070679,5,1.2783461765289306,0.551,,
6,0.000499229333433282,6,1.257447709465027,0.5632,1.4276956424713134,0.535
7,0.00049889049115077,7,1.1953702821731567,0.5774,,
8,0.0004984902388637949,8,1.1583224578857423,0.5844,1.3450649328231812,0.538
9,0.0004980286753286195,9,1.1373711627960206,0.6094,,
10,0.0004975059144291394,10,1.0960143598556518,0.6136,1.437708909034729,0.542
11,0.0004969220851487844,11,1.0932393409729004,0.6158,,
12,0.0004962773315386935,12,1.0490951801300048,0.6344,1.0530907669067382,0.652
13,0.0004955718126821722,13,1.0102266164779663,0.652,,
14,0.0004948057026554414,14,1.0183235120773315,0.6398,1.0863329458236695,0.635
15,0.0004939791904846868,15,0.9539095909118652,0.6594,,
16,0.0004930924800994191,16,0.9414513690948486,0.6828,1.1955639476776123,0.611
17,0.0004921457902821577,17,0.9690324184417725,0.6644,,
18,0.0004911393546144495,18,0.9218572916030884,0.6762,1.0215663290023804,0.659
19,0.0004900734214192357,19,0.9248091724395752,0.6808,,
20,0.0004889482536995824,20,0.8771678379058838,0.6918,1.093444969177246,0.636
21,0.0004877641290737883,21,0.854085283088684,0.704,,
22,0.00048652133970688617,22,0.8679887052536011,0.6938,0.9452776780128479,0.677
23,0.0004852201922385562,23,0.8369785985946655,0.699,,
24,0.0004838610077074667,24,0.8370996831893921,0.7034,0.9730437784194946,0.669
25,0.00048244412147206266,25,0.8260137392044067,0.7064,,
26,0.0004809698831278215,26,0.8067505516052246,0.7136,1.0331177425384521,0.656
27,0.00047943865642099503,27,0.8006297738075256,0.7194,,
28,0.00047785081915886106,28,0.7781553031921387,0.726,0.9225334272384643,0.689
29,0.0004762067631165046,29,0.7927001029968261,0.7178,,
30,0.00047450689394015364,30,0.7656314897537232,0.7306,0.9651051092147828,0.667
31,0.0004727516310470917,31,0.7320450956344604,0.7404,,
32,0.00047094140752217313,32,0.7484567144393921,0.737,1.000176826953888,0.663
33,0.00046907667001096557,33,0.7058095722198486,0.7528,,
34,0.00046715787860954753,34,0.7041618426322938,0.7522,0.9802106246948242,0.678
35,0.00046518550675098564,35,0.70141571559906,0.7512,,
36,0.0004631600410885228,36,0.6963938945770264,0.7594,0.8979653692245484,0.703
37,0.0004610819813755035,37,0.6894848901748657,0.7538,,
38,0.00045895184034206734,38,0.6555268201828003,0.7706,1.008504469871521,0.677
39,0.00045677014356864016,39,0.6617064947128296,0.7652,,
40,0.0004545374293562556,40,0.701616634941101,0.75,0.8652896065711975,0.705
41,0.0004522542485937366,41,0.6489361709594726,0.7732,,
42,0.0004499211646217724,42,0.6324378889083863,0.7778,0.9217896327972412,0.701
43,0.0004475387530939223,43,0.608714586353302,0.7836,,
44,0.00044510760183458215,44,0.6220057905197144,0.7752,0.8707116255760193,0.721
45,0.000442628310693947,45,0.5987509801864624,0.7848,,
46,0.00044010149140000747,46,0.6235437646865845,0.7778,0.8309459915161133,0.734
47,0.0004375277674076146,47,0.5952188408851623,0.7882,,
48,0.00043490777374465206,48,0.5749165803194046,0.7946,0.8319646272659301,0.742
49,0.00043224215685535255,49,0.511489741230011,0.819,,
50,0.0004295315744407969,50,0.5828908296585082,0.7898,0.8430640478134155,0.733
51,0.00042677669529663653,51,0.5394773357391357,0.808,,
52,0.0004239781991480782,52,0.5334523379325866,0.8058,0.8971649861335754,0.717
53,0.00042113677648217187,53,0.47946490898132327,0.8266,,
54,0.000418253128377443,54,0.5422475957870483,0.8036,0.823359372138977,0.734
55,0.00041532796633091264,55,0.5723554142951965,0.7952,,
56,0.0004123620120825456,56,0.4823103147029877,0.8232,0.8552081990242004,0.723
57,0.0004093559974371721,57,0.47945464906692503,0.8256,,
58,0.000406310664083926,58,0.5112951168060302,0.8204,0.8760743393898011,0.721
59,0.0004032267634132438,59,0.509008637046814,0.8184,,
60,0.00040010505633147073,60,0.4680441219329834,0.8326,0.8438567914962769,0.744
61,0.000396946313073118,61,0.5199943290710449,0.812,,
62,0.0003937513130108194,62,0.44069945125579835,0.8438,0.8113779301643371,0.734
63,0.00039052084446303243,63,0.47414364643096923,0.8354,,
64,0.0003872557044995327,64,0.4921707330703735,0.8244,0.9033702087402343,0.719
65,0.0003839566987447489,65,0.4607980618953705,0.8324,,
66,0.00038062464117898695,66,0.4305796184539795,0.843,0.9402021007537842,0.707
67,0.0003772603539375926,67,0.4879037879943848,0.8262,,
68,0.0003738646671081017,68,0.41556486864089964,0.85,0.8637261748313904,0.731
69,0.00037043841852542857,69,0.3886184338569641,0.8618,,
70,0.00036698245356514314,70,0.42807325830459597,0.845,0.8065186367034912,0.751
71,0.00036349762493488645,71,0.40638199787139895,0.8532,,
72,0.0003599847924639785,72,0.3888154838562012,0.8582,0.9045259609222412,0.724
73,0.0003564448228912679,73,0.4155252550125122,0.851,,
74,0.00035287858965127696,74,0.3613831082344055,0.8666,0.8272898573875427,0.742
75,0.0003492869726586949,75,0.37496263389587403,0.8658,,
76,0.0003456708580912722,76,0.3852659812450409,0.8618,0.8449988265037537,0.738
77,0.00034203113817116924,77,0.33785518493652344,0.8764,,
78,0.000338368710944814,78,0.41097495307922366,0.8516,0.8921528100967407,0.727
79,0.0003346844800613226,79,0.3562387958526611,0.877,,
80,0.00033097935454953704,80,0.34909201564788817,0.867,0.8549598245620728,0.749
81,0.00032725424859373655,81,0.3347945112228394,0.8788,,
82,0.0003235100813080757,82,0.29208018140792846,0.8972,0.8102744283676148,0.759
83,0.0003197477765098071,83,0.3138051275253296,0.8914,,
84,0.0003159682624913429,84,0.36696489686965944,0.8734,0.8102367763519287,0.753
85,0.0003121724717912134,85,0.32109801664352416,0.8842,,
86,0.0003083613409639761,86,0.31237177734375,0.8822,0.8469165563583374,0.758
87,0.00030453581034913543,87,0.32120645184516905,0.8882,,
88,0.0003006968238391279,88,0.2733888014316559,0.9038,0.8822018327713013,0.753
89,0.000296845328646431,89,0.2720383430480957,0.9052,,
90,0.00029298227506985216,90,0.3543587003707886,0.8754,0.9255185022354125,0.729
91,0.0002891086162600575,91,0.37284317193031313,0.8646,,
92,0.0002852253079843955,92,0.27740717406272886,0.9046,0.9042080268859863,0.753
93,0.0002813333083910759,93,0.2771952965736389,0.9022,,
94,0.0002774335777727611,94,0.30194194345474246,0.891,0.9003491530418396,0.743
95,0.00027352707832962835,95,0.2885766177177429,0.8978,,
96,0.000269614773931961,96,0.24096787147521972,0.9152,0.8198052291870117,0.761
97,0.0002656976298823281,97,0.24585448310375213,0.9124,,
98,0.0002617766126774104,98,0.21213133096694947,0.9246,0.8440026335716247,0.753
99,0.00025785268976953184,99,0.23828122568130494,0.915,,
100,0.00025392682932795496,100,0.30656042709350584,0.8864,0.9580147428512573,0.713
101,0.0002499999999999998,101,0.34432624588012695,0.8774,,
102,0.00024607317067204467,102,0.24805732669830322,0.9098,0.8514975843429565,0.749
103,0.0002421473102304677,103,0.28452302703857424,0.8968,,
104,0.00023822338732258912,104,0.27788568115234374,0.8986,0.9466778464317321,0.736
105,0.00023430237011767144,105,0.2846677815437317,0.9008,,
106,0.00023038522606803858,106,0.2564109832763672,0.9074,0.8780207920074463,0.745
107,0.0002264729216703712,107,0.2646043291091919,0.9092,,
108,0.0002225664222272385,108,0.2379194522857666,0.9172,0.8078433222770691,0.77
109,0.00021866669160892376,109,0.24839053865671157,0.9092,,
110,0.0002147746920156042,110,0.17637929849624634,0.9412,0.814548213005066,0.774
111,0.0002108913837399421,111,0.1774438274383545,0.9412,,
112,0.00020701772493014742,112,0.25001775226593015,0.913,0.8893671350479126,0.758
113,0.0002031546713535687,113,0.1800031865000725,0.9396,,
114,0.00019930317616087176,114,0.14963493618965149,0.9484,0.8540150594711303,0.773
115,0.0001954641896508643,115,0.17483902549743652,0.9414,,
116,0.0001916386590360235,116,0.18478628482818604,0.9336,0.8959514145851135,0.761
117,0.00018782752820878617,117,0.17322519389986993,0.9414,,
118,0.00018403173750865666,118,0.1417313971757889,0.9552,0.9156980228424072,0.748
