step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.005,1,1.1399867181777954,0.142,,
2,0.004999996915749259,2,1.10020037651062,0.258,,
3,0.004999987663004646,3,1.0695928573608398,0.37,,
4,0.004999972241788991,4,1.0377049140930177,0.398,,
5,0.004999950652140343,5,1.0094707803726197,0.404,,
6,0.004999922894111975,6,0.9780357360839844,0.42,,
7,0.004999888967772375,7,0.949700740814209,0.446,,
8,0.004999848873205254,8,0.921542863368988,0.44,,
9,0.004999802610509541,9,0.8984364948272705,0.45,,
10,0.004999750179799384,10,0.8715469598770141,0.46,,
11,0.004999691581204151,11,0.8446176552772522,0.476,,
12,0.00499962681486843,12,0.8293315019607544,0.478,,
13,0.004999555880952022,13,0.8061344504356385,0.5,,
14,0.004999478779629953,14,0.7824832811355591,0.512,,
15,0.004999395511092461,15,0.7659877419471741,0.53,,
16,0.004999306075545002,16,0.7415826449394226,0.55,,
17,0.00499921047320825,17,0.7288379330635071,0.56,,
18,0.004999108704318095,18,0.721867926120758,0.552,,
19,0.004999000769125641,19,0.6927699627876281,0.58,,
20,0.004998886667897208,20,0.6820810499191284,0.598,0.8848387344360351,0.3805
21,0.004998766400914329,21,0.6607871065139771,0.612,,
22,0.00499863996847375,22,0.6500975379943847,0.606,,
23,0.004998507370887432,23,0.6381509308815002,0.62,,
24,0.004998368608482545,24,0.6178657870292663,0.612,,
25,0.004998223681601472,25,0.6017683119773864,0.664,,
26,0.004998072590601806,26,0.6045514440536499,0.64,,
27,0.004997915335856349,27,0.5714297752380371,0.66,,
28,0.004997751917753111,28,0.5625167889595032,0.664,,
29,0.004997582336695311,29,0.5491405501365662,0.686,,
30,0.004997406593101372,30,0.5283372368812561,0.722,,
31,0.004997224687404924,31,0.5245516486167908,0.71,,
32,0.0049970366200548025,32,0.5122017822265625,0.718,,
33,0.004996842391515043,33,0.4884018921852112,0.75,,
34,0.004996642002264886,34,0.4847892985343933,0.736,,
35,0.004996435452798773,35,0.47167593383789064,0.754,,
36,0.0049962227436263435,36,0.46028059101104735,0.764,,
37,0.004996003875272436,37,0.4426706421375275,0.778,,
38,0.004995778848277086,38,0.43657190656661987,0.78,,
39,0.0049955476631955275,39,0.4135456476211548,0.798,,
40,0.004995310320598184,40,0.4158171443939209,0.814,0.8908510441780091,0.4188
41,0.004995066821070676,41,0.4038000683784485,0.834,,
42,0.004994817165213814,42,0.3861839134693146,0.832,,
43,0.004994561353643601,43,0.3877348005771637,0.824,,
44,0.004994299386991224,44,0.3667494044303894,0.846,,
45,0.0049940312659030595,45,0.3558382978439331,0.846,,
46,0.004993756991040672,46,0.3353497624397278,0.88,,
47,0.004993476563080805,47,0.3284500343799591,0.858,,
48,0.0049931899827153885,48,0.3257760586738586,0.878,,
49,0.004992897250651531,49,0.32089837789535525,0.864,,
50,0.004992598367611519,50,0.29671463441848756,0.91,,
51,0.004992293334332817,51,0.3018147745132446,0.884,,
52,0.004991982151568063,52,0.28392848777770996,0.894,,
53,0.004991664820085071,53,0.2754277448654175,0.904,,
54,0.0049913413406668244,54,0.2719090640544891,0.902,,
55,0.004991011714111477,55,0.2607046110630035,0.922,,
56,0.004990675941232349,56,0.24054720902442933,0.938,,
57,0.004990334022857927,57,0.23611023437976836,0.93,,
58,0.00498998595983186,58,0.2337043752670288,0.94,,
59,0.00498963175301296,59,0.20487075304985047,0.946,,
60,0.004989271403275196,60,0.21457057321071624,0.928,0.8446839524269104,0.4778
61,0.0049889049115076954,61,0.19636093401908875,0.95,,
