step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.005,1,2.4636096702575685,0.167,2.181233497619629,0.184
2,0.0049987664009143295,2,2.029923889923096,0.2414,2.3084857482910155,0.171375
3,0.00499506682107068,3,1.9360994241714478,0.2688,2.309477466583252,0.226
4,0.004988904911507701,4,1.88646196308136,0.2858,2.18443953704834,0.262875
5,0.004980286753286196,5,1.8185419185638427,0.3068,1.8035567026138306,0.310625
6,0.004969220851487845,6,1.8061583786010742,0.308,1.854047438621521,0.287
7,0.004955718126821723,7,1.7630282260894776,0.322,1.805814414024353,0.30875
8,0.004939791904846869,8,1.737925288772583,0.3348,1.9009140291213988,0.288875
9,0.004921457902821578,9,1.7358547512054443,0.3318,1.890695764541626,0.2965
10,0.004900734214192358,10,1.6853801719665527,0.354,1.6360648031234741,0.370125
