step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.1,1,3.9484120684051516,0.09226,,
2,0.09999383162408304,2,3.300554434051514,0.19252,3.0438078384399416,0.2419
3,0.09997532801828658,3,2.842015611114502,0.27776,,
4,0.09994449374809851,4,2.4742251725769044,0.35036,2.468866976547241,0.3534
5,0.09990133642141359,5,2.1999896675109865,0.41108,,
6,0.09984586668665642,6,2.008654224319458,0.45466,2.041072859954834,0.4529
7,0.09977809823015402,7,1.8907079833984375,0.4801,,
8,0.09969804777275901,8,1.7902977481460571,0.50618,1.9820835765838622,0.4664
9,0.09960573506572391,9,1.718420171508789,0.52278,,
10,0.09950118288582789,10,1.6506339031600952,0.539,1.8849200622558593,0.491
11,0.09938441702975691,11,1.600336014251709,0.55048,,
12,0.09925546630773871,12,1.576333236732483,0.55492,1.7861260383605957,0.508
13,0.09911436253643445,13,1.5299247175598145,0.56764,,
14,0.0989611405310883,14,1.5054596741485595,0.57422,1.7503817611694337,0.5257
15,0.09879583809693739,15,1.469411732711792,0.58474,,
16,0.09861849601988384,16,1.4508245189666749,0.59036,1.7500557582855225,0.5269
17,0.09842915805643157,17,1.4228016839599609,0.59676,,
18,0.09822787092288993,18,1.4011029228973388,0.60254,1.686379267692566,0.5416
19,0.09801468428384717,19,1.386904005355835,0.60874,,
20,0.09778965073991652,20,1.3777089574813843,0.61034,1.7282684776306152,0.5277
21,0.0975528258147577,21,1.3508719428634643,0.61354,,
22,0.09730426794137728,22,1.336929118423462,0.61732,1.7899255949020385,0.5182
23,0.09704403844771128,23,1.3193575384902954,0.62444,,
24,0.09677220154149338,24,1.3156933992004394,0.62278,1.664086609840393,0.5485
25,0.09648882429441258,25,1.2979469799423218,0.62776,,
26,0.09619397662556435,26,1.2982669759368897,0.63256,1.62233558883667,0.5598
27,0.09588773128419906,27,1.279039626121521,0.6328,,
28,0.09557016383177226,28,1.270235203933716,0.63594,1.64852936668396,0.5532
29,0.09524135262330098,29,1.263126572265625,0.63994,,
30,0.09490137878803079,30,1.2623529419708253,0.63444,1.5999677211761474,0.5648
31,0.0945503262094184,31,1.2400203704071044,0.64446,,
32,0.0941882815044347,32,1.2279960386657716,0.64814,1.7091336334228515,0.5369
33,0.09381533400219319,33,1.2258007173538208,0.64724,,
34,0.09343157572190958,34,1.2249902510833741,0.64942,1.6112078113555908,0.5614
35,0.0930371013501972,35,1.2158142588806153,0.65202,,
36,0.09263200821770463,36,1.2101733491516113,0.65122,1.660367561531067,0.5532
37,0.09221639627510078,37,1.1896512609863281,0.6556,,
