step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.005,1,0.10285241916066125,0.2312,0.09025633853106271,0.2878
2,0.004999950652140343,2,0.08737128887857709,0.317,0.08803919071242923,0.3266
3,0.004999802610509542,3,0.08134420890183676,0.3696,0.08944152210439954,0.3625
4,0.004999555880952023,4,0.07684812112933113,0.4,0.0760521934855552,0.4148
5,0.004999210473208251,5,0.07290998789526168,0.4382,0.07266714125871658,0.4454
6,0.00499876640091433,6,0.06917601305814017,0.4651,0.07058839492854618,0.4713
7,0.0049982236816014745,7,0.06572041206416629,0.4958,0.0647212049081212,0.5164
8,0.0049975823366953135,8,0.06199892475491478,0.5214,0.06359496116638183,0.5324
9,0.004996842391515046,9,0.060018489971047355,0.5332,0.05964898048412232,0.5521
10,0.004996003875272439,10,0.056452212837480364,0.5749,0.05816712308497656,0.5683
11,0.0049950668210706805,11,0.05435682680635225,0.5917,0.05934662137712751,0.5675
12,0.004994031265903064,12,0.05206166427759897,0.608,0.05338290649510565,0.6121
13,0.004992897250651536,13,0.04912717757480485,0.6293,0.05769960450984183,0.5904
14,0.004991664820085075,14,0.04815292251961572,0.6392,0.054883496853567304,0.6154
15,0.0049903340228579325,15,0.04616656062148866,0.6574,0.0505123132396312,0.6469
16,0.0049889049115077015,16,0.04496884789495241,0.6577,0.04683721076164927,0.6698
17,0.004987377542453252,17,0.04306432594146047,0.6769,0.04806161196458907,0.6457
18,0.004985751975992499,18,0.04205672286805653,0.6798,0.04287214112423715,0.6841
19,0.0049840282763000225,19,0.03989876647080694,0.6982,0.0429170032342275,0.6941
20,0.004982206511424535,20,0.03860018711004939,0.7123,0.046368141294944855,0.6765
21,0.004980286753286196,21,0.03723183252981731,0.7177,0.04699271218407722,0.6729
22,0.004978269077673767,22,0.03592419297922225,0.73,0.044450751940409344,0.6966
23,0.004976153564241629,23,0.03482670280195418,0.7421,0.04240939315585863,0.7066
24,0.004973940296506628,24,0.03330492710783368,0.7449,0.042163869915973574,0.7069
25,0.004971629361844786,25,0.03209708347207024,0.7606,0.04173208712821915,0.7092
26,0.004969220851487845,26,0.030598946962328184,0.769,0.04758920871785709,0.6851
27,0.004966714860519671,27,0.02939037490813505,0.7788,0.040915603048744656,0.7231
28,0.004964111487872496,28,0.028678322015773684,0.7836,0.043648962534609294,0.7066
29,0.004961410836323015,29,0.027230942391213916,0.7974,0.03799530045971984,0.7431
30,0.004958613012488325,30,0.025887620147495044,0.8079,0.04256206261260169,0.7288
31,0.004955718126821723,31,0.025117391897808938,0.8093,0.03932870296495301,0.7458
32,0.004952726293608336,32,0.024397785908409526,0.8143,0.04206560605338642,0.7343
33,0.004949637630960618,33,0.023220553444254968,0.8285,0.03870519282562392,0.7477
34,0.004946452260813681,34,0.021353850655612492,0.8424,0.03992665367467063,0.7487
35,0.004943170308920485,35,0.021212469910581906,0.8426,0.03633169106074742,0.7661
36,0.00493979190484687,36,0.018906746920020808,0.8575,0.04116244899729888,0.7585
37,0.0049363171819664445,37,0.018559096416547186,0.8593,0.03923837159361158,0.7646
38,0.004932746277455317,38,0.018031372937063375,0.8655,0.0394798715199743,0.7618
39,0.004929079332286686,39,0.017257530543775785,0.8694,0.04346153430995487,0.7541
40,0.004925316491225266,40,0.016064438303666457,0.88,0.04058655152718226,0.77
41,0.004921457902821579,41,0.015154529602399894,0.8844,0.039929298205035074,0.7687
42,0.0049175037194060895,42,0.013764103031938984,0.8962,0.047685014953215914,0.7491
43,0.004913454097083186,43,0.013484872425241129,0.902,0.04492435320502236,0.7543
44,0.004909309195725026,44,0.012820379799675374,0.9038,0.042583474286255384,0.7735
