step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.005,1,0.285380962540706,0.35536,0.2530489404996236,0.4312
2,0.0048776412907378846,2,0.2384035424888134,0.4742,0.22826367119948068,0.5116
3,0.0045225424859373685,3,0.21453762590885161,0.53302,0.21200978010892868,0.5373
4,0.003969463130731183,4,0.201627386957407,0.56454,0.19244847347338995,0.5909
5,0.0032725424859373687,5,0.1891299107670784,0.59034,0.1799879152327776,0.6094
6,0.0025,6,0.18112111734847228,0.60966,0.16684401606520016,0.6456
7,0.0017274575140626316,7,0.17379551276564598,0.62768,0.16527842693030834,0.6458
8,0.0010305368692688174,8,0.16850538931787015,0.63898,0.15551361987988155,0.6677
9,0.00047745751406263163,9,0.1641840216020743,0.64942,0.15235068040589492,0.6751
10,0.00012235870926211617,10,0.16185187868773937,0.65314,0.15057800809542338,0.6795
