step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,2.215264570236206,0.215,,
2,0.0004999996915749259,2,1.8108065195083618,0.334,,
3,0.0004999987663004646,3,1.5946736555099488,0.411,,
4,0.000499997224178899,4,1.4784116153717042,0.443,,
5,0.0004999950652140343,5,1.3253448734283446,0.506,,
6,0.0004999922894111975,6,1.2412238254547119,0.558,,
7,0.0004999888967772375,7,1.1889386501312256,0.566,,
8,0.0004999848873205254,8,1.1814815692901612,0.573,,
9,0.0004999802610509541,9,1.0692317581176758,0.606,,
10,0.0004999750179799384,10,1.003908353805542,0.648,,
11,0.0004999691581204152,11,0.9294546113014222,0.653,,
12,0.000499962681486843,12,0.8913788475990295,0.682,,
13,0.0004999555880952023,13,0.8590266289710998,0.689,,
14,0.0004999478779629953,14,0.8165398125648499,0.715,,
15,0.000499939551109246,15,0.7694909029006958,0.727,,
16,0.0004999306075545002,16,0.7067798476219177,0.762,,
17,0.0004999210473208251,17,0.6996368126869201,0.758,,
18,0.0004999108704318095,18,0.6195769863128662,0.796,,
19,0.0004999000769125642,19,0.5993772473335266,0.788,,
20,0.0004998886667897209,20,0.5452424726486206,0.815,2.2026709072113038,0.4188
21,0.0004998766400914329,21,0.5286380186080932,0.835,,
22,0.000499863996847375,22,0.47425357627868653,0.852,,
23,0.0004998507370887432,23,0.5153140707015991,0.825,,
24,0.0004998368608482545,24,0.4452096190452576,0.851,,
25,0.0004998223681601471,25,0.43370977163314817,0.863,,
26,0.0004998072590601806,26,0.4324870972633362,0.856,,
27,0.0004997915335856349,27,0.3988228180408478,0.868,,
28,0.0004997751917753111,28,0.34901948022842405,0.888,,
29,0.000499758233669531,29,0.33013034749031067,0.89,,
30,0.0004997406593101371,30,0.2884803001880646,0.907,,
31,0.0004997224687404924,31,0.28023372197151186,0.916,,
32,0.0004997036620054802,32,0.2690353558063507,0.923,,
33,0.0004996842391515043,33,0.24068881607055664,0.932,,
34,0.0004996642002264886,34,0.24652034044265747,0.924,,
35,0.0004996435452798774,35,0.2441508848667145,0.932,,
36,0.0004996222743626344,36,0.2397831609249115,0.928,,
37,0.0004996003875272437,37,0.2093709968328476,0.952,,
38,0.0004995778848277087,38,0.18310987341403961,0.952,,
39,0.0004995547663195529,39,0.17771900629997253,0.955,,
40,0.0004995310320598186,40,0.15029158675670623,0.963,2.0309582427978516,0.4798
