step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.005,1,2.3543073534965515,0.008,2.3127962201833725,0.0106
2,0.004999999876629946,2,2.3082462549209595,0.014,2.314776611328125,0.013
3,0.004999999506519797,3,2.2890966534614563,0.022,2.3661273986101152,0.0139
4,0.004999998889669587,4,2.274074673652649,0.014,2.4224040120840074,0.0193
5,0.00499999802607938,5,2.257884442806244,0.03,2.3965599954128267,0.0185
6,0.004999996915749259,6,2.2449081540107727,0.038,2.398043555021286,0.0199
7,0.004999995558679335,7,2.233760356903076,0.04,2.3765481412410736,0.0211
8,0.004999993954869741,8,2.2200275659561157,0.03,2.3432832092046736,0.0231
9,0.004999992104320636,9,2.199477255344391,0.038,2.313489019870758,0.0244
10,0.004999990007032202,10,2.1872743368148804,0.038,2.342783290147781,0.0241
11,0.004999987663004647,11,2.174611806869507,0.054,2.3925880670547484,0.023
12,0.0049999850722382,12,2.156491994857788,0.038,2.3868638664484023,0.0255
13,0.004999982234733119,13,2.144783079624176,0.05,2.3947719752788545,0.0275
14,0.004999979150489684,14,2.1192477345466614,0.058,2.402599886059761,0.0257
15,0.0049999758195081985,15,2.1132516264915466,0.048,2.3965491771698,0.0273
16,0.004999972241788992,16,2.09722101688385,0.056,2.4086792707443236,0.03
17,0.0049999684173324165,17,2.0896852016448975,0.052,2.5269122928380967,0.0271
18,0.004999964346138849,18,2.069975435733795,0.062,2.4831832349300385,0.0302
19,0.0049999600282086935,19,2.048266351222992,0.068,2.3923656553030015,0.0301
20,0.004999955463542375,20,2.026281863451004,0.06,2.3864086985588076,0.0288
21,0.004999950652140344,21,2.0075663924217224,0.072,2.367028644680977,0.0298
22,0.0049999455940030755,22,1.9920658469200134,0.08,2.345572477579117,0.0314
23,0.0049999402891310685,23,1.977089673280716,0.078,2.399264618754387,0.0339
24,0.004999934737524847,24,1.9659284949302673,0.084,2.413289961218834,0.0373
25,0.004999928939184959,25,1.9656415581703186,0.076,2.446843093633652,0.0337
26,0.004999922894111976,26,1.9423635601997375,0.086,2.512492614984512,0.0343
27,0.004999916602306495,27,1.9415468871593475,0.096,2.4952807277441025,0.0354
28,0.0049999100637691364,28,1.9265284538269043,0.104,2.439000818133354,0.0326
29,0.004999903278500547,29,1.9043804109096527,0.12,2.5420664817094805,0.0286
30,0.004999896246501395,30,1.9122097492218018,0.09,2.4574228495359423,0.0353
31,0.004999888967772375,31,1.8667349815368652,0.124,2.43205264210701,0.0382
32,0.004999881442314206,32,1.8664996325969696,0.118,2.5763244032859802,0.0336
33,0.00499987367012763,33,1.853166252374649,0.112,2.66736763715744,0.0351
34,0.004999865651213415,34,1.8314301073551178,0.114,2.5986231744289396,0.0331
35,0.004999857385572351,35,1.8128409385681152,0.112,2.5751311004161836,0.0395
36,0.004999848873205255,36,1.824759840965271,0.118,2.5099951803684233,0.0358
37,0.004999840114112966,37,1.8060523569583893,0.132,2.505672577023506,0.0411
38,0.004999831108296349,38,1.7707910239696503,0.154,2.558876720070839,0.0381
39,0.004999821855756294,39,1.7841286063194275,0.132,2.5600523859262467,0.0385
40,0.0049998123564937115,40,1.770207166671753,0.134,2.5328108370304108,0.0409
41,0.004999802610509542,41,1.7514409124851227,0.15,2.4863407790660856,0.0401
42,0.004999792617804744,42,1.7519392371177673,0.138,2.486937215924263,0.0433
43,0.004999782378380308,43,1.7287978529930115,0.154,2.605366626381874,0.0437
44,0.0049997718922372425,44,1.7254523634910583,0.15,2.6589298844337463,0.045
45,0.0049997611593765815,45,1.7123164534568787,0.158,2.5812008500099184,0.0447
46,0.004999750179799385,46,1.7105246186256409,0.164,2.5648646116256715,0.0444
47,0.004999738953506737,47,1.6877102255821228,0.16,2.6003672540187837,0.0464
48,0.004999727480499745,48,1.6842800378799438,0.16,2.6891805827617645,0.0432
49,0.004999715760779542,49,1.6894627511501312,0.168,3.0047742396593096,0.0365
50,0.0049997037943472844,50,1.6808139979839325,0.16,2.983072301745415,0.042
51,0.004999691581204152,51,1.672572374343872,0.178,2.850401705503464,0.0452
52,0.0049996791213513525,52,1.6514184772968292,0.152,2.7567578881978987,0.0432
53,0.004999666414790114,53,1.6053105890750885,0.182,2.6959846019744873,0.0493
54,0.004999653461521691,54,1.617133378982544,0.18,2.7746770083904266,0.0445
55,0.004999640261547362,55,1.6793589293956757,0.168,2.7340293139219285,0.0483
56,0.004999626814868431,56,1.616886705160141,0.186,2.6921009719371796,0.0475
57,0.004999613121486222,57,1.6239204108715057,0.158,2.7365378707647325,0.0483
58,0.004999599181402089,58,1.6137607097625732,0.176,2.8355091750621795,0.0478
59,0.004999584994617407,59,1.5967946350574493,0.18,2.7151803970336914,0.0495
60,0.004999570561133576,60,1.5819825530052185,0.198,2.744842976331711,0.0438
61,0.004999555880952022,61,1.5416575372219086,0.22,2.944225314259529,0.0453
62,0.004999540954074193,62,1.5839033722877502,0.186,2.876488721370697,0.0429
63,0.004999525780501561,63,1.5777116119861603,0.178,2.7915085166692735,0.0512
64,0.0049995103602356265,64,1.5233356654644012,0.202,2.8111382693052294,0.0497
65,0.0049994946932779075,65,1.52693310379982,0.22,2.8391518622636793,0.0481
66,0.004999478779629953,66,1.5166608691215515,0.212,2.895560473203659,0.0494
67,0.004999462619293332,67,1.5226399600505829,0.232,3.0296692132949827,0.0464
68,0.004999446212269641,68,1.4983089864253998,0.196,3.0990599930286407,0.0429
69,0.0049994295585605,69,1.5043019950389862,0.202,3.0425585716962815,0.0468
70,0.004999412658167549,70,1.48141610622406,0.202,2.935123082995415,0.0494
71,0.004999395511092459,71,1.468191683292389,0.214,2.867342871427536,0.052
72,0.004999378117336923,72,1.5274211764335632,0.216,2.888991230726242,0.0486
73,0.004999360476902655,73,1.5166787505149841,0.198,2.931249836087227,0.0515
74,0.0049993425897913975,74,1.4549193680286407,0.232,3.1164534598588944,0.0445
75,0.004999324456004916,75,1.4952360093593597,0.198,2.9337471455335615,0.0429
76,0.004999306075545,76,1.4699994027614594,0.222,2.949563440680504,0.0522
77,0.004999287448413464,77,1.4064947664737701,0.256,2.91503187417984,0.0479
78,0.0049992685746121455,78,1.4197250604629517,0.222,2.9584307193756105,0.0519
79,0.004999249454142908,79,1.3963641822338104,0.24,2.9105284512043,0.0527
80,0.004999230087007638,80,1.402923971414566,0.262,2.8787308394908906,0.0501
81,0.004999210473208248,81,1.3892831802368164,0.244,2.9246789485216143,0.0497
