step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.3457093472798665,0.3406,,
2,0.0004999691581204152,2,0.31311595452626545,0.4178,0.3697728055318197,0.171
3,0.0004998766400914329,3,0.2968820231437683,0.4452,,
4,0.0004997224687404926,4,0.2838049048741659,0.4654,0.279036093711853,0.467
5,0.0004995066821070679,5,0.2735651885986328,0.4816,,
6,0.000499229333433282,6,0.265968941338857,0.4858,0.2612824600537618,0.481
7,0.00049889049115077,7,0.2589353610356649,0.4912,,
8,0.0004984902388637949,8,0.2525006903012594,0.5052,0.24947639385859172,0.499
9,0.0004980286753286195,9,0.24764122893015544,0.5116,,
10,0.0004975059144291394,10,0.24140532232920328,0.5268,0.24461368910471598,0.515
11,0.0004969220851487844,11,0.23719932533899943,0.5314,,
12,0.0004962773315386935,12,0.23338601195017497,0.5362,0.23088657347361247,0.536
13,0.0004955718126821722,13,0.229780543645223,0.5478,,
14,0.0004948057026554414,14,0.2285118244489034,0.5448,0.2267967955271403,0.525
15,0.0004939791904846868,15,0.22456440080006917,0.549,,
16,0.0004930924800994191,16,0.22271949555079143,0.5528,0.22016330210367838,0.545
17,0.0004921457902821577,17,0.21881246021588643,0.5674,,
18,0.0004911393546144495,18,0.2147872168223063,0.5694,0.21546515623728435,0.549
19,0.0004900734214192357,19,0.2136035062154134,0.5662,,
20,0.0004889482536995824,20,0.2126210267384847,0.575,0.2160853508313497,0.551
21,0.0004877641290737883,21,0.21092835861841838,0.5752,,
22,0.00048652133970688617,22,0.2090480352083842,0.5766,0.20929097016652426,0.566
23,0.0004852201922385562,23,0.2062164867401123,0.5726,,
24,0.0004838610077074667,24,0.20396228553454082,0.5902,0.20360520633061727,0.569
25,0.00048244412147206266,25,0.20081053142547609,0.5948,,
26,0.0004809698831278215,26,0.20026557858784994,0.5998,0.1998624979654948,0.581
27,0.00047943865642099503,27,0.19812972036997478,0.5884,,
28,0.00047785081915886106,28,0.1979125719388326,0.5908,0.19874850702285768,0.574
29,0.0004762067631165046,29,0.19564555400212605,0.6052,,
30,0.00047450689394015364,30,0.19454589223861693,0.6016,0.19513982725143433,0.592
31,0.0004727516310470917,31,0.19416194817225138,0.6052,,
32,0.00047094140752217313,32,0.19208168589274088,0.6086,0.19562872060139974,0.58
33,0.00046907667001096557,33,0.19088117408752442,0.612,,
34,0.00046715787860954753,34,0.18969019044240315,0.6116,0.19332560030619303,0.589
35,0.00046518550675098564,35,0.18722264018058776,0.6204,,
36,0.0004631600410885228,36,0.18666339232126872,0.6176,0.19052801450093587,0.591
37,0.0004610819813755035,37,0.1855864212036133,0.6236,,
38,0.00045895184034206734,38,0.18412752307256064,0.6226,0.1884917721748352,0.596
39,0.00045677014356864016,39,0.18327689425150553,0.6238,,
40,0.0004545374293562556,40,0.18197625449498495,0.6242,0.18604329776763917,0.604
41,0.0004522542485937366,41,0.179902406279246,0.6304,,
42,0.0004499211646217724,42,0.1801750453154246,0.6356,0.18246531295776366,0.595
43,0.0004475387530939223,43,0.17840002632141114,0.629,,
44,0.00044510760183458215,44,0.17708060073852538,0.6384,0.18462775627772013,0.603
45,0.000442628310693947,45,0.17738287359873453,0.6334,,
46,0.00044010149140000747,46,0.17701119928359985,0.6326,0.1817529979546865,0.603
47,0.0004375277674076146,47,0.176685968653361,0.6354,,
48,0.00043490777374465206,48,0.17562398052215575,0.6444,0.18252404689788818,0.613
49,0.00043224215685535255,49,0.17493297192255655,0.6502,,
50,0.0004295315744407969,50,0.17276668208440144,0.6456,0.18205091762542724,0.612
51,0.00042677669529663653,51,0.17252367388407389,0.6472,,
52,0.0004239781991480782,52,0.17094631096522014,0.6498,0.17892232084274293,0.603
53,0.00042113677648217187,53,0.17015321235656738,0.6546,,
54,0.000418253128377443,54,0.16824267093340556,0.653,0.17548151874542237,0.62
55,0.00041532796633091264,55,0.1674030189037323,0.6468,,
56,0.0004123620120825456,56,0.16729786160786947,0.6574,0.1743080792427063,0.622
57,0.0004093559974371721,57,0.16449034204483032,0.6566,,
58,0.000406310664083926,58,0.16453299922943115,0.6656,0.1729096324443817,0.624
59,0.0004032267634132438,59,0.16619334443410239,0.66,,
60,0.00040010505633147073,60,0.165079084332784,0.6612,0.17319832531611123,0.636
61,0.000396946313073118,61,0.16563916314442953,0.6574,,
62,0.0003937513130108194,62,0.16377203459739684,0.6674,0.1733136150042216,0.614
63,0.00039052084446303243,63,0.16194797321955362,0.6658,,
64,0.0003872557044995327,64,0.1612273333231608,0.6708,0.1712099053064982,0.62
65,0.0003839566987447489,65,0.16057221352259318,0.6708,,
66,0.00038062464117898695,66,0.1596696858406067,0.6716,0.16977569023768108,0.64
67,0.0003772603539375926,67,0.1593409309387207,0.6758,,
68,0.0003738646671081017,68,0.15879502914746602,0.6718,0.16865731724103292,0.636
69,0.00037043841852542857,69,0.15765214292208354,0.6782,,
70,0.00036698245356514314,70,0.1570441548983256,0.68,0.16845385122299195,0.628
71,0.00036349762493488645,71,0.15845492040316264,0.6756,,
72,0.0003599847924639785,72,0.15554499804178873,0.6796,0.16961781883239746,0.626
73,0.0003564448228912679,73,0.1557321692943573,0.6822,,
74,0.00035287858965127696,74,0.15571673215230306,0.679,0.16676920715967813,0.644
75,0.0003492869726586949,75,0.15496659593582154,0.6848,,
76,0.0003456708580912722,76,0.15234733266830444,0.6808,0.16433936524391174,0.639
77,0.00034203113817116924,77,0.15301507012049356,0.6858,,
78,0.000338368710944814,78,0.15389164204597472,0.684,0.16402041069666545,0.641
79,0.0003346844800613226,79,0.15219982166290283,0.686,,
80,0.00033097935454953704,80,0.1523325811704,0.6896,0.16371064551671347,0.643
81,0.00032725424859373655,81,0.15087593603134156,0.6914,,
82,0.0003235100813080757,82,0.1500413480122884,0.6932,0.16433015036582946,0.642
83,0.0003197477765098071,83,0.15062880226771036,0.6928,,
84,0.0003159682624913429,84,0.15015092356999715,0.6966,0.16227614704767862,0.637
85,0.0003121724717912134,85,0.1499082025527954,0.694,,
86,0.0003083613409639761,86,0.149398700205485,0.6982,0.16163801876703898,0.653
87,0.00030453581034913543,87,0.1488552301088969,0.6946,,
88,0.0003006968238391279,88,0.14632903629938762,0.7002,0.159864098072052,0.646
89,0.000296845328646431,89,0.14650343815485636,0.7004,,
90,0.00029298227506985216,90,0.14731097696622214,0.6978,0.16027850421269735,0.649
91,0.0002891086162600575,91,0.14624465688069663,0.7014,,
92,0.0002852253079843955,92,0.14540387724240622,0.7032,0.15625487383206685,0.655
93,0.0002813333083910759,93,0.1446772411028544,0.7078,,
94,0.0002774335777727611,94,0.14386368905703226,0.7084,0.15549573834737143,0.652
95,0.00027352707832962835,95,0.14243737092018127,0.708,,
96,0.000269614773931961,96,0.14190778098106385,0.7066,0.158240203777949,0.655
97,0.0002656976298823281,97,0.14067747300465902,0.7176,,
98,0.0002617766126774104,98,0.14100676606496176,0.7142,0.15564591550827026,0.664
99,0.00025785268976953184,99,0.14177281850179035,0.7144,,
100,0.00025392682932795496,100,0.14139607631365458,0.7088,0.15501475437482198,0.652
101,0.0002499999999999998,101,0.14078056395848593,0.7166,,
102,0.00024607317067204467,102,0.1398245431582133,0.7142,0.15427694288889568,0.67
103,0.0002421473102304677,103,0.13849573378562927,0.7176,,
104,0.00023822338732258912,104,0.13800052553812664,0.7172,0.15332132093111675,0.672
105,0.00023430237011767144,105,0.13936372699737548,0.72,,
106,0.00023038522606803858,106,0.13806885863939922,0.724,0.15442924666404725,0.661
107,0.0002264729216703712,107,0.13828018372853598,0.719,,
108,0.0002225664222272385,108,0.13760615622202554,0.7184,0.15285440587997437,0.666
109,0.00021866669160892376,109,0.13585543518066406,0.7278,,
110,0.0002147746920156042,110,0.13710446920394898,0.7254,0.15355805071194967,0.66
111,0.0002108913837399421,111,0.13511318798065186,0.73,,
112,0.00020701772493014742,112,0.13479341138203937,0.727,0.15342906951904298,0.658
113,0.0002031546713535687,113,0.13526093692779542,0.7242,,
114,0.00019930317616087176,114,0.1340015647570292,0.7326,0.15069066627820332,0.676
115,0.0001954641896508643,115,0.1332708384990692,0.7286,,
116,0.0001916386590360235,116,0.13379019883473714,0.7276,0.1534102463722229,0.669
117,0.00018782752820878617,117,0.1327042568206787,0.7394,,
118,0.00018403173750865666,118,0.13245131731033324,0.7328,0.15004654280344645,0.671
119,0.00018025222349019257,119,0.13174423106511435,0.738,,
120,0.0001764899186919239,120,0.13117966979344686,0.7354,0.14982440408070882,0.672
121,0.0001727457514062631,121,0.13130750748316447,0.7396,,
122,0.00016902064545046253,122,0.12994122126897176,0.7328,0.14772516743342082,0.67
123,0.00016531551993867705,123,0.12977246220906574,0.7354,,
124,0.00016163128905518563,124,0.12923292977015177,0.7476,0.1495821012655894,0.666
125,0.00015796886182883044,125,0.12947529123624166,0.7412,,
126,0.0001543291419087275,126,0.12856660493214925,0.7412,0.14812956714630127,0.673
127,0.0001507130273413047,127,0.1282227079709371,0.7472,,
128,0.0001471214103487227,128,0.1282313480536143,0.7444,0.1465532350540161,0.68
129,0.00014355517710873172,129,0.12746178038915,0.7416,,
130,0.0001400152075360211,130,0.12810644737879434,0.7398,0.14823287240664165,0.671
131,0.0001365023750651132,131,0.12765003320376078,0.7436,,
132,0.0001330175464348566,132,0.12678630005518596,0.7426,0.14574735347429912,0.678
133,0.00012956158147457104,133,0.12628774471282958,0.7474,,
134,0.00012613533289189798,134,0.12577078830401103,0.7544,0.14669060651461283,0.678
135,0.00012273964606240704,135,0.1260974744796753,0.7484,,
136,0.00011937535882101267,136,0.12514230114618938,0.753,0.14575943930943808,0.677
137,0.00011604330125525064,137,0.12489537003835043,0.7578,,
138,0.0001127442955004669,138,0.12569393065770468,0.7518,0.14689973068237305,0.679
139,0.0001094791555369672,139,0.12390268122355143,0.7578,,
140,0.00010624868698918024,140,0.12378113352457683,0.7572,0.14631078807512918,0.677
141,0.00010305368692688163,141,0.12273599020640055,0.7576,,
142,0.00009989494366852891,142,0.12423163647651672,0.754,0.14500557533899944,0.69
143,0.00009677323658675574,143,0.12235468621253967,0.7596,,
144,0.00009368933591607359,144,0.12159271608988444,0.7642,0.1459051184654236,0.679
145,0.00009064400256282745,145,0.12166455472310383,0.7604,,
146,0.00008763798791745401,146,0.12225753431320191,0.7546,0.14568339149157206,0.67
147,0.00008467203366908697,147,0.12244924379984538,0.7556,,
148,0.00008174687162255655,148,0.12197981672286988,0.7606,0.14500070309638977,0.675
149,0.00007886322351782772,149,0.12115677585601807,0.7612,,
150,0.00007602180085192133,150,0.12140465669631959,0.7574,0.14525519800186157,0.673
151,0.00007322330470336305,151,0.11977299588521322,0.77,,
152,0.00007046842555920274,152,0.12047213033040365,0.7634,0.14366780638694762,0.674
153,0.00006775784314464707,153,0.12002932227452597,0.7646,,
154,0.00006509222625534746,154,0.1191084182103475,0.7672,0.14337252902984618,0.684
155,0.00006247223259238502,155,0.11992445538838704,0.7656,,
156,0.00005989850859999219,156,0.11978721625010172,0.7664,0.14363413977622985,0.69
157,0.000057371689306052636,157,0.11862981837590536,0.7672,,
158,0.00005489239816541753,158,0.11891867796579997,0.765,0.14416617751121522,0.683
159,0.00005246124690607732,159,0.11936325146357218,0.7618,,
160,0.000050078835378227284,160,0.11934430227279663,0.7662,0.14339634354909261,0.682
161,0.000047745751406263096,161,0.11821949726740519,0.7732,,
162,0.00004546257064374411,162,0.11824371374448141,0.7706,0.14262326860427857,0.692
163,0.00004322985643135951,163,0.11805041917165121,0.7696,,
164,0.00004104815965793243,164,0.11843259382247925,0.7684,0.1434437117576599,0.68
165,0.00003891801862449623,165,0.11785343268712362,0.7742,,
166,0.00003683995891147696,166,0.11734932476679484,0.7694,0.14323821918169657,0.683
167,0.00003481449324901401,167,0.11733039894104004,0.7742,,
168,0.00003284212139045212,168,0.11763476079305013,0.7714,0.14320434045791625,0.675
169,0.00003092332998903406,169,0.11728139464060465,0.7676,,
170,0.00002905859247782659,170,0.1165924459139506,0.7742,0.14227549823125205,0.683
171,0.000027248368952908014,171,0.11656997098922729,0.7776,,
172,0.00002549310605984608,172,0.1165026281674703,0.772,0.14332124336560567,0.678
173,0.000023793236883495127,173,0.11677423604329427,0.7776,,
174,0.000022149180841138702,174,0.11628354457219442,0.7782,0.14340338277816772,0.674
175,0.000020561343579004743,175,0.11683263661066691,0.7772,,
176,0.000019030116872178343,176,0.11744551979700724,0.7716,0.1434415605068207,0.683
177,0.000017555878527937136,177,0.11605188026428223,0.7758,,
178,0.000016138992292533132,178,0.116391073290507,0.7754,0.1427720410823822,0.677
179,0.000014779807761443615,179,0.11677330878575642,0.7774,,
180,0.000013478660293113657,180,0.11557073102792104,0.7762,0.14233172416687012,0.681
181,0.0000122358709262116,181,0.11681154648462931,0.7714,,
182,0.000011051746300417455,182,0.11681847635904948,0.7752,0.14228010948499042,0.679
183,9.926578580764248e-6,183,0.11608519268035888,0.7774,,
184,8.860645385550496e-6,184,0.11609234453837076,0.7768,0.14374312567710876,0.677
185,7.854209717842249e-6,185,0.11674871152242025,0.7704,,
186,6.907519900580852e-6,186,0.11543821444511414,0.7718,0.1420667813618978,0.683
187,6.0208095153131615e-6,187,0.11615210488637288,0.7704,,
188,5.1942973445585285e-6,188,0.11637999507586161,0.7706,0.14258390935262044,0.68
189,4.4281873178278145e-6,189,0.11629650834401449,0.7722,,
190,3.7226684613065283e-6,190,0.11536060851414999,0.7788,0.14157468446095783,0.684
