step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.3026599467277527,0.417,,
2,0.0004999950652140343,2,0.24637183650334676,0.5356,,
3,0.0004999802610509541,3,0.22230213317871095,0.5746,,
4,0.0004999555880952023,4,0.20851226986249288,0.6034,,
5,0.000499921047320825,5,0.1974981837908427,0.6174,0.20238119061787924,0.566
6,0.0004998766400914329,6,0.18787663542429606,0.637,,
7,0.0004998223681601473,7,0.18187089940706888,0.643,,
8,0.0004997582336695312,8,0.17209099884033202,0.6542,,
9,0.0004996842391515044,9,0.16928563035329183,0.6668,,
10,0.0004996003875272438,10,0.16457726885477703,0.6756,0.17286900027592977,0.657
11,0.0004995066821070679,11,0.162919846312205,0.6794,,
12,0.0004994031265903063,12,0.15846664237976074,0.6882,,
13,0.0004992897250651535,13,0.1550132404009501,0.6882,,
14,0.0004991664820085074,14,0.1463555269877116,0.7078,,
15,0.0004990334022857932,15,0.14600056759516397,0.7028,0.15978245385487874,0.658
16,0.0004988904911507701,16,0.14705507071812948,0.7082,,
17,0.0004987377542453251,17,0.14055248827139535,0.7192,,
18,0.0004985751975992498,18,0.13621295557022095,0.7274,,
19,0.0004984028276300022,19,0.13979637155532837,0.7218,,
20,0.0004982206511424535,20,0.13771831754048666,0.7246,0.1462056299050649,0.679
21,0.0004980286753286196,21,0.13456497446695964,0.733,,
22,0.0004978269077673767,22,0.1278795377254486,0.7394,,
23,0.0004976153564241628,23,0.13093337348302206,0.7428,,
24,0.0004973940296506627,24,0.13045741378466288,0.727,,
25,0.0004971629361844785,25,0.12626538918813068,0.7458,0.14067999672889708,0.707
26,0.0004969220851487844,26,0.1202467490196228,0.7576,,
27,0.000496671486051967,27,0.12259160338242849,0.7484,,
28,0.0004964111487872495,28,0.1186540465037028,0.7618,,
29,0.0004961410836323014,29,0.11675335315068563,0.7616,,
30,0.0004958613012488324,30,0.11917800105412801,0.7508,0.14189556296666464,0.693
31,0.0004955718126821722,31,0.11887785399754842,0.7618,,
32,0.0004952726293608335,32,0.11744789040883383,0.758,,
33,0.0004949637630960617,33,0.11469682591756185,0.7662,,
34,0.000494645226081368,34,0.11354717071851095,0.7688,,
35,0.0004943170308920483,35,0.11311213208834331,0.7656,0.1236415417989095,0.737
36,0.0004939791904846868,36,0.110457235511144,0.775,,
37,0.0004936317181966442,37,0.10912108805974324,0.7778,,
38,0.0004932746277455316,38,0.10911069294611613,0.7724,,
39,0.0004929079332286684,39,0.1104481104850769,0.7718,,
40,0.0004925316491225263,40,0.10537262105941772,0.786,0.12194604849815369,0.744
41,0.0004921457902821576,41,0.10591854368845621,0.7806,,
42,0.0004917503719406085,42,0.11187688131332398,0.7726,,
43,0.0004913454097083182,43,0.10906847448349,0.769,,
44,0.0004909309195725022,44,0.10366877296765645,0.7862,,
45,0.0004905069178965212,45,0.10006599779129029,0.7982,0.1188609500726064,0.761
46,0.0004900734214192355,46,0.1034428781191508,0.785,,
47,0.0004896304472543437,47,0.09996884530385336,0.7992,,
48,0.0004891780128897074,48,0.10271879154841106,0.7908,,
49,0.0004887161361866605,49,0.10574927450815837,0.7776,,
50,0.00048824483537930445,50,0.10879057216644288,0.7724,0.12838104597727457,0.722
51,0.00048776412907378813,51,0.10340537423292796,0.7888,,
52,0.00048727403624757335,52,0.09768417352040609,0.8016,,
53,0.0004867745762486857,53,0.10073168058395386,0.7966,,
54,0.0004862657687949508,54,0.09682961735725402,0.803,,
55,0.00048574763397321574,55,0.0942755446434021,0.8098,0.11271534729003906,0.755
56,0.000485220192238556,56,0.09526655820210775,0.8046,,
57,0.00048468346441346815,57,0.09752974179585774,0.7952,,
58,0.00048413747168704775,58,0.0994727340221405,0.8038,,
59,0.0004835822356141526,59,0.09442142092386882,0.8046,,
60,0.0004830177781145523,60,0.0921430158774058,0.8064,0.11456455453236898,0.759
61,0.00048244412147206245,61,0.09051612449487051,0.817,,
62,0.00048186128833366493,62,0.08876204929351807,0.8204,,
63,0.0004812693017086141,63,0.08987019494374593,0.814,,
64,0.0004806681849675283,64,0.08924823487599691,0.8142,,
65,0.0004800579618414672,65,0.09186182769139607,0.8142,0.1179825648466746,0.744
66,0.00047943865642099487,66,0.09615346219539643,0.7992,,
67,0.00047881029315522897,67,0.08814922145207724,0.8216,,
68,0.0004781728968508753,68,0.08623159756660462,0.824,,
69,0.0004775264926712485,69,0.08969179693857829,0.8124,,
70,0.0004768711061352788,70,0.09022798744837443,0.813,0.11464017264048258,0.757
71,0.00047620676311650446,71,0.08869788958231609,0.8174,,
72,0.00047553348984205027,72,0.08754127720991771,0.8182,,
73,0.00047485131289159234,73,0.08397507006327311,0.825,,
74,0.00047416025919630857,74,0.08491380310058594,0.828,,
75,0.00047346035603781553,75,0.08828874223232269,0.818,0.10740924541155497,0.767
76,0.0004727516310470915,76,0.08202755454381307,0.8364,,
77,0.0004720341122033857,77,0.0859136721611023,0.822,,
78,0.0004713078278331134,78,0.08468073601722717,0.8292,,
79,0.0004705728066087379,79,0.07981762382189433,0.8358,,
80,0.0004698290775476386,80,0.0761905624071757,0.8442,0.10555554095904032,0.757
