step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,4.6605622093200685,0.0192,,
2,0.0004999922894111975,2,4.430614823532104,0.0338,,
3,0.0004999691581204152,3,4.179691105270385,0.0506,,
4,0.0004999306075545002,4,4.024883149337769,0.063,4.163190169906616,0.0691
5,0.000499876640091433,5,3.895928896331787,0.0872,,
6,0.0004998072590601809,6,3.8556498176574707,0.092,,
7,0.0004997224687404927,7,3.772942882537842,0.1032,,
8,0.0004996222743626346,8,3.6811765380859374,0.1216,3.878087901306152,0.1147
9,0.000499506682107068,9,3.596085647201538,0.139,,
10,0.0004993756991040677,10,3.5298358207702636,0.1388,,
11,0.0004992293334332822,11,3.4540100646972656,0.1588,,
12,0.0004990675941232355,12,3.414238243484497,0.1614,3.796736074066162,0.1351
13,0.0004988904911507702,13,3.3263489570617675,0.1814,,
14,0.0004986980354404318,14,3.2456179580688476,0.1878,,
15,0.0004984902388637952,15,3.2214598888397217,0.2012,,
16,0.0004982671142387318,16,3.1336262786865237,0.2104,3.8523681694030762,0.1574
17,0.0004980286753286197,17,3.0786564544677733,0.2204,,
18,0.0004977749368414939,18,3.0475675548553465,0.2282,,
19,0.0004975059144291396,19,2.9266519828796387,0.2516,,
20,0.0004972216246861263,20,2.826956085205078,0.2682,3.568328120803833,0.1859
21,0.0004969220851487846,21,2.7910184524536135,0.2716,,
22,0.0004966073142941241,22,2.807819478225708,0.2786,,
23,0.0004962773315386937,23,2.662059644317627,0.296,,
24,0.0004959321572373842,24,2.5992743923187254,0.317,3.7913589538574217,0.1903
25,0.0004955718126821724,25,2.593212451171875,0.3092,,
26,0.0004951963201008078,26,2.461140800476074,0.3466,,
27,0.0004948057026554416,27,2.3828708465576174,0.3646,,
28,0.0004943999844411979,28,2.3587009616851806,0.3686,3.5881826782226565,0.2172
29,0.000493979190484687,29,2.2900619575500487,0.3804,,
30,0.0004935433467424626,30,2.2718867198944093,0.3814,,
31,0.0004930924800994193,31,2.182966986465454,0.4018,,
32,0.0004926266183671357,32,2.1725658252716062,0.4066,3.7986595848083495,0.2094
33,0.0004921457902821579,33,2.0646311233520507,0.4294,,
34,0.0004916500255042269,34,1.959194438934326,0.4498,,
35,0.0004911393546144496,35,1.9305828136444092,0.4586,,
36,0.0004906138091134119,36,1.9372567016601563,0.4618,3.6553176445007325,0.2323
37,0.0004900734214192358,37,1.7468511802673339,0.4962,,
38,0.0004895182248655798,38,1.7921307373046875,0.4904,,
39,0.0004889482536995825,39,1.707372536468506,0.5082,,
40,0.0004883635430797503,40,1.5308645401000978,0.5484,3.931938854598999,0.2343
41,0.00048776412907378846,41,1.508667151260376,0.5684,,
42,0.0004871500486563762,42,1.531586545753479,0.5596,,
43,0.0004865213397068864,43,1.4259956016540527,0.5892,,
44,0.0004858780410070485,44,1.3512489814758302,0.601,4.051416430664062,0.2291
45,0.0004852201922385565,45,1.414917815208435,0.59,,
46,0.00048454783398062116,46,1.2768269798278808,0.6206,,
47,0.00048386100770746697,47,1.263096463394165,0.6288,,
