step,lr,epoch,train_loss
1,0.001,1,0.5871569514274597
2,0.001,2,0.8658196926116943
3,0.001,3,0.6414449214935303
4,0.001,4,0.35295289754867554
5,0.001,5,0.31631234288215637
6,0.001,6,0.290952205657959
7,0.001,7,0.25703561305999756
8,0.001,8,0.24016548693180084
9,0.001,9,0.22862322628498077
10,0.001,10,0.2164023369550705
11,0.001,11,0.20622257888317108
12,0.001,12,0.19757777452468872
13,0.001,13,0.18719643354415894
14,0.001,14,0.1799541711807251
15,0.001,15,0.17430664598941803
16,0.001,16,0.16706667840480804
17,0.001,17,0.1600663810968399
18,0.001,18,0.15413840115070343
19,0.001,19,0.14855337142944336
20,0.001,20,0.1424632966518402
21,0.001,21,0.13651184737682343
22,0.001,22,0.13088108599185944
23,0.001,23,0.12496937066316605
24,0.001,24,0.11920136958360672
25,0.001,25,0.11374356597661972
26,0.001,26,0.10790545493364334
27,0.001,27,0.10199785232543945
28,0.001,28,0.0964791402220726
29,0.001,29,0.09059420973062515
30,0.001,30,0.0847046822309494
31,0.001,31,0.07893288135528564
32,0.001,32,0.07345511764287949
33,0.001,33,0.06790193915367126
34,0.001,34,0.06255193054676056
35,0.001,35,0.057249970734119415
36,0.001,36,0.05207780748605728
37,0.001,37,0.04716447740793228
38,0.001,38,0.04280652850866318
39,0.001,39,0.03945384547114372
40,0.001,40,0.04377374053001404
41,0.001,41,0.10450863093137741
42,0.001,42,0.2695828080177307
43,0.001,43,0.05989091098308563
44,0.001,44,0.12164314091205597
45,0.001,45,0.03617873042821884
46,0.001,46,0.059170912951231
47,0.001,47,0.06896980851888657
48,0.001,48,0.05545812472701073
49,0.001,49,0.04211808368563652
50,0.001,50,0.034844279289245605
51,0.001,51,0.0323764868080616
52,0.001,52,0.02979865111410618
53,0.001,53,0.02714819833636284
54,0.001,54,0.02804211527109146
55,0.001,55,0.028696047142148018
56,0.001,56,0.028003480285406113
57,0.001,57,0.026110175997018814
58,0.001,58,0.025121349841356277
59,0.001,59,0.02440199814736843
60,0.001,60,0.024334384128451347
61,0.001,61,0.02510790340602398
62,0.001,62,0.02640269324183464
63,0.001,63,0.0308710727840662
64,0.001,64,0.03892810642719269
65,0.001,65,0.04581242427229881
66,0.001,66,0.04318990930914879
67,0.001,67,0.03586190566420555
68,0.001,68,0.03633760288357735
69,0.001,69,0.03334156051278114
70,0.001,70,0.027880528941750526
71,0.001,71,0.024783508852124214
72,0.001,72,0.02408265508711338
73,0.001,73,0.023360516875982285
74,0.001,74,0.021906767040491104
75,0.001,75,0.020653830841183662
76,0.001,76,0.020924745127558708
77,0.001,77,0.01923011615872383
78,0.001,78,0.019318077713251114
79,0.001,79,0.018931450322270393
80,0.001,80,0.017714181914925575
81,0.001,81,0.018236946314573288
82,0.001,82,0.017219459637999535
83,0.001,83,0.016972441226243973
84,0.001,84,0.017412222921848297
85,0.001,85,0.016264306381344795
86,0.001,86,0.016692085191607475
87,0.001,87,0.016356950625777245
88,0.001,88,0.01593516580760479
89,0.001,89,0.01590288057923317
90,0.001,90,0.015745654702186584
91,0.001,91,0.015454446896910667
92,0.001,92,0.015345578081905842
93,0.001,93,0.015223437920212746
94,0.001,94,0.015074849128723145
95,0.001,95,0.014837770722806454
96,0.001,96,0.014874466694891453
97,0.001,97,0.01464453898370266
98,0.001,98,0.014507133513689041
99,0.001,99,0.01436928566545248
100,0.001,100,0.014313222840428352
