step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,1.788922889328003,0.3395,,
2,0.0004999691581204152,2,1.5221865386962892,0.4451,1.5056407421112061,0.4487
3,0.0004998766400914329,3,1.4312500877380372,0.4715,,
4,0.0004997224687404926,4,1.3250735719680786,0.5174,1.262591909790039,0.5394
5,0.0004995066821070679,5,1.2449862266540528,0.5483,,
6,0.000499229333433282,6,1.185159511756897,0.5689,1.1956736867904663,0.5718
7,0.00049889049115077,7,1.1297550870895385,0.5965,,
8,0.0004984902388637949,8,1.0784801538467408,0.6107,1.1698137168884277,0.5951
9,0.0004980286753286195,9,1.037781159210205,0.6341,,
10,0.0004975059144291394,10,0.9882483894348144,0.647,1.1667866755485534,0.6035
11,0.0004969220851487844,11,0.9626146039962769,0.6589,,
12,0.0004962773315386935,12,0.9114534326553345,0.6765,1.0898137922286988,0.6431
13,0.0004955718126821722,13,0.8836897956848144,0.6858,,
14,0.0004948057026554414,14,0.8597247468948365,0.693,0.9970192394256592,0.6649
15,0.0004939791904846868,15,0.815683391571045,0.7135,,
16,0.0004930924800994191,16,0.7787379438400268,0.7251,0.9630750468254089,0.6817
17,0.0004921457902821577,17,0.7629339294433594,0.73,,
18,0.0004911393546144495,18,0.7273313323020935,0.7408,0.8508588668823243,0.714
19,0.0004900734214192357,19,0.6912309419631958,0.7563,,
20,0.0004889482536995824,20,0.6810881642341614,0.7598,0.8978803527832031,0.7064
21,0.0004877641290737883,21,0.6448278062820435,0.7767,,
22,0.00048652133970688617,22,0.6358444836616516,0.771,0.9237926588058472,0.7084
23,0.0004852201922385562,23,0.6111171014785767,0.7863,,
24,0.0004838610077074667,24,0.60174888381958,0.7861,0.869812606048584,0.7093
25,0.00048244412147206266,25,0.5824182483196259,0.7933,,
26,0.0004809698831278215,26,0.5541087882041931,0.804,0.8818218371391296,0.7282
27,0.00047943865642099503,27,0.5410199513435364,0.8141,,
28,0.00047785081915886106,28,0.5255317987680436,0.8177,0.840521066570282,0.7369
29,0.0004762067631165046,29,0.5037888246059418,0.824,,
30,0.00047450689394015364,30,0.493815669631958,0.829,0.827680658531189,0.7413
31,0.0004727516310470917,31,0.46753526935577394,0.8383,,
32,0.00047094140752217313,32,0.4497756519317627,0.8417,0.8860309144973755,0.7384
33,0.00046907667001096557,33,0.45443920164108276,0.8408,,
34,0.00046715787860954753,34,0.43196057567596435,0.8475,1.016056106185913,0.7056
35,0.00046518550675098564,35,0.4245657907485962,0.8541,,
36,0.0004631600410885228,36,0.43322952494621275,0.8455,0.8486124351501465,0.7436
37,0.0004610819813755035,37,0.4123240430831909,0.8544,,
38,0.00045895184034206734,38,0.40882438192367554,0.853,0.8652894090652465,0.7436
39,0.00045677014356864016,39,0.38222984337806704,0.8624,,
40,0.0004545374293562556,40,0.3438366238594055,0.8821,0.8406683933258057,0.752
41,0.0004522542485937366,41,0.3406240015029907,0.8782,,
42,0.0004499211646217724,42,0.3448354467391968,0.8766,0.9403998783111572,0.7472
43,0.0004475387530939223,43,0.3319237103939056,0.8833,,
44,0.00044510760183458215,44,0.302709236907959,0.8933,0.8855412887573242,0.7527
45,0.000442628310693947,45,0.3138979377746582,0.8881,,
46,0.00044010149140000747,46,0.2994915590763092,0.8914,0.8555388208389282,0.767
47,0.0004375277674076146,47,0.2908380710124969,0.897,,
48,0.00043490777374465206,48,0.2861291968345642,0.8965,0.9380025985717774,0.7496
49,0.00043224215685535255,49,0.2868195821762085,0.8975,,
50,0.0004295315744407969,50,0.2510407780647278,0.9131,0.9105395149230957,0.7515
51,0.00042677669529663653,51,0.24039774250984192,0.9157,,
52,0.0004239781991480782,52,0.2544254974246025,0.9094,0.8513747505903244,0.7665
53,0.00042113677648217187,53,0.23358502252101898,0.917,,
54,0.000418253128377443,54,0.2347251702785492,0.9183,0.9473031494140625,0.7577
55,0.00041532796633091264,55,0.23314411721229553,0.9183,,
56,0.0004123620120825456,56,0.22727618894577026,0.9191,0.90897321434021,0.7644
57,0.0004093559974371721,57,0.22829101467132568,0.9183,,
58,0.000406310664083926,58,0.2423226547718048,0.9154,0.9243126706361771,0.763
59,0.0004032267634132438,59,0.19539700107574462,0.9303,,
60,0.00040010505633147073,60,0.21502922027111054,0.9256,0.8590630470275878,0.7786
