step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.33522057298024494,0.2728,,
2,0.0004999691581204152,2,0.3025068481763204,0.3494,0.30224401760101316,0.309125
3,0.0004998766400914329,3,0.289355219523112,0.3722,,
4,0.0004997224687404926,4,0.28189306716918944,0.3944,0.2721252937316895,0.390625
5,0.0004995066821070679,5,0.2739591318766276,0.4012,,
6,0.000499229333433282,6,0.271462779712677,0.4182,0.26809206962585447,0.407875
7,0.00049889049115077,7,0.26629684953689575,0.4314,,
8,0.0004984902388637949,8,0.2610771078745524,0.4452,0.2603116426467896,0.4185
9,0.0004980286753286195,9,0.2554531505584717,0.453,,
10,0.0004975059144291394,10,0.251724235979716,0.4604,0.25584744437535606,0.416
11,0.0004969220851487844,11,0.2526230656305949,0.4584,,
12,0.0004962773315386935,12,0.24875529276529948,0.4766,0.25876561641693113,0.42875
13,0.0004955718126821722,13,0.2456311855951945,0.4702,,
14,0.0004948057026554414,14,0.24259713856379192,0.4738,0.24333814811706542,0.453
15,0.0004939791904846868,15,0.2369735392888387,0.4896,,
16,0.0004930924800994191,16,0.2388647407213847,0.4962,0.24847837702433268,0.45675
17,0.0004921457902821577,17,0.23418578160603842,0.493,,
18,0.0004911393546144495,18,0.23033542963663736,0.508,0.2411585159301758,0.46475
19,0.0004900734214192357,19,0.2291333532969157,0.5104,,
20,0.0004889482536995824,20,0.22626167256037394,0.5134,0.23846460898717245,0.468625
21,0.0004877641290737883,21,0.22239635944366454,0.5176,,
22,0.00048652133970688617,22,0.22099993527730305,0.52,0.23550617345174155,0.479375
23,0.0004852201922385562,23,0.22277475287119547,0.52,,
24,0.0004838610077074667,24,0.2201543090502421,0.5166,0.22625122292836508,0.495875
25,0.00048244412147206266,25,0.2189537055651347,0.5298,,
26,0.0004809698831278215,26,0.21438932275772093,0.5416,0.22414447832107545,0.499875
27,0.00047943865642099503,27,0.21243538599014283,0.5412,,
28,0.00047785081915886106,28,0.21382639799118042,0.5356,0.22323457892735799,0.499125
29,0.0004762067631165046,29,0.20921334762573243,0.546,,
30,0.00047450689394015364,30,0.21339165646235148,0.535,0.2340064493815104,0.498875
31,0.0004727516310470917,31,0.208346968015035,0.5466,,
32,0.00047094140752217313,32,0.20439790538152058,0.5622,0.21753608385721843,0.5275
33,0.00046907667001096557,33,0.20627315343221028,0.5518,,
