step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.32519546718597414,0.2654,,
2,0.0004999691581204152,2,0.29312666702270507,0.3446,0.3320276912053426,0.279875
3,0.0004998766400914329,3,0.28414755414326986,0.3688,,
4,0.0004997224687404926,4,0.275599728234609,0.3874,0.2738835048675537,0.385125
5,0.0004995066821070679,5,0.2676330430984497,0.402,,
6,0.000499229333433282,6,0.2666292718251546,0.404,0.28229417991638184,0.372875
7,0.00049889049115077,7,0.2568053669611613,0.4304,,
8,0.0004984902388637949,8,0.25442792040507,0.4336,0.2726276146570841,0.38525
9,0.0004980286753286195,9,0.2523035983721415,0.443,,
10,0.0004975059144291394,10,0.2492076023419698,0.4454,0.2577281182607015,0.409
11,0.0004969220851487844,11,0.2443705776532491,0.4538,,
12,0.0004962773315386935,12,0.23765392983754477,0.4788,0.26466526714960736,0.41675
13,0.0004955718126821722,13,0.23745685958862306,0.4644,,
14,0.0004948057026554414,14,0.2342936955134074,0.4886,0.27786760425567625,0.401125
15,0.0004939791904846868,15,0.2349994195620219,0.4832,,
16,0.0004930924800994191,16,0.23297915137608846,0.4878,0.24586700582504273,0.456
17,0.0004921457902821577,17,0.22539834330876668,0.5048,,
18,0.0004911393546144495,18,0.22571508458455403,0.4978,0.2510350953737895,0.437375
19,0.0004900734214192357,19,0.2232878065745036,0.5098,,
20,0.0004889482536995824,20,0.21827455155054729,0.5208,0.25559686597188314,0.44
21,0.0004877641290737883,21,0.21985109221140545,0.5106,,
22,0.00048652133970688617,22,0.21604831422170004,0.5248,0.24401086028416952,0.47125
23,0.0004852201922385562,23,0.21453801275889078,0.5328,,
24,0.0004838610077074667,24,0.2109045815785726,0.5362,0.2337666120529175,0.47625
25,0.00048244412147206266,25,0.20551938002904258,0.5508,,
26,0.0004809698831278215,26,0.20544650373458861,0.5528,0.2428511300086975,0.4595
27,0.00047943865642099503,27,0.2081085763613383,0.5452,,
28,0.00047785081915886106,28,0.2104784868558248,0.5424,0.24783886655171714,0.469125
29,0.0004762067631165046,29,0.20577678791681925,0.5528,,
30,0.00047450689394015364,30,0.19861790838241578,0.5664,0.23413618818918863,0.48775
31,0.0004727516310470917,31,0.1984989745457967,0.568,,
32,0.00047094140752217313,32,0.19576031659444174,0.5736,0.22802764336268108,0.501375
33,0.00046907667001096557,33,0.20076641969680786,0.5576,,
34,0.00046715787860954753,34,0.19506646671295166,0.5778,0.22590792973836263,0.50425
35,0.00046518550675098564,35,0.19637093776067097,0.5632,,
36,0.0004631600410885228,36,0.19110625964005787,0.5826,0.2190900354385376,0.52575
37,0.0004610819813755035,37,0.18569072475433349,0.583,,
38,0.00045895184034206734,38,0.1865015518506368,0.5902,0.22757705990473429,0.502125
39,0.00045677014356864016,39,0.1843894162495931,0.5992,,
40,0.0004545374293562556,40,0.18772789872487386,0.591,0.23056963777542114,0.498375
41,0.0004522542485937366,41,0.18552218290964761,0.5962,,
42,0.0004499211646217724,42,0.1806188235918681,0.6068,0.22705958064397175,0.511375
43,0.0004475387530939223,43,0.17731033261617024,0.6102,,
44,0.00044510760183458215,44,0.17986070931752524,0.6132,0.21301342821121216,0.53925
45,0.000442628310693947,45,0.1861397507985433,0.597,,
46,0.00044010149140000747,46,0.18366394430796304,0.6036,0.21076870807011922,0.53825
47,0.0004375277674076146,47,0.17461721296310426,0.6248,,
48,0.00043490777374465206,48,0.17617049932479859,0.6094,0.21625285895665486,0.535625
49,0.00043224215685535255,49,0.16815020484924317,0.6334,,
50,0.0004295315744407969,50,0.17059083665211996,0.6306,0.20931689055760702,0.548625
51,0.00042677669529663653,51,0.16465952138900758,0.6448,,
52,0.0004239781991480782,52,0.16442488740285238,0.6362,0.2147172746658325,0.539625
53,0.00042113677648217187,53,0.17175730527242025,0.6244,,
54,0.000418253128377443,54,0.16581394793192544,0.6448,0.2110431206226349,0.543375
55,0.00041532796633091264,55,0.1647094911257426,0.6446,,
56,0.0004123620120825456,56,0.15874078222910562,0.6596,0.21111064370473226,0.542
57,0.0004093559974371721,57,0.15541980616251627,0.6686,,
58,0.000406310664083926,58,0.15943072721163432,0.658,0.22547370926539104,0.521875
