step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.38601593176523846,0.0
2,0.0004999999722361857,2,0.37857107321421307,0.6666666666666666
3,0.0004999998889447489,3,0.3686402638753255,1.0
4,0.000499999750125708,4,0.36249156792958576,1.0
5,0.0004999995557790939,5,0.35398733615875244,1.0
6,0.0004999993059049497,6,0.34271466732025146,1.0
7,0.0004999990005033311,7,0.33188289403915405,1.0
8,0.0004999986395743058,8,0.3208964665730794,1.0
9,0.0004999982231179539,9,0.3146410981814067,1.0
10,0.000499997751134368,10,0.29438988367716473,1.0
11,0.0004999972236236529,11,0.2937835653622945,1.0
12,0.0004999966405859257,12,0.2791759173075358,1.0
13,0.000499996002021316,13,0.2936391234397888,1.0
14,0.0004999953079299655,14,0.2704225579897563,1.0
15,0.0004999945583120286,15,0.2641190091768901,1.0
16,0.0004999937531676716,16,0.24817484617233276,1.0
17,0.0004999928924970733,17,0.24701776107152304,1.0
18,0.000499991976300425,18,0.24993310372034708,1.0
19,0.0004999910045779302,19,0.22977413733800253,1.0
20,0.0004999899773298047,20,0.224311093489329,1.0
21,0.0004999888945562765,21,0.21594882011413574,1.0
22,0.0004999877562575864,22,0.21707385778427124,1.0
23,0.000499986562433987,23,0.20267051458358765,1.0
24,0.0004999853130857434,24,0.19998836517333984,1.0
25,0.0004999840082131334,25,0.2015241583188375,1.0
