step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.005,1,0.6857225000858307,0.2566,0.8769535794854164,0.177125
2,0.0049987664009143295,2,0.5731201152006785,0.3542,0.5597806926816702,0.36
3,0.00499506682107068,3,0.5363758186499278,0.3926,0.5475537435462078,0.34675
4,0.004988904911507701,4,0.5126351982355117,0.4134,0.525701005011797,0.421875
5,0.004980286753286196,5,0.49379368623097736,0.4482,0.5914270766079426,0.350125
6,0.004969220851487845,6,0.4845171978076299,0.4502,0.505139434710145,0.427875
7,0.004955718126821723,7,0.471733217438062,0.4784,0.4694850320617358,0.467625
8,0.004939791904846869,8,0.4663302689790726,0.4766,0.48081607557833195,0.459625
9,0.004921457902821578,9,0.4568648189306259,0.4866,0.47342037099103135,0.471375
10,0.004900734214192358,10,0.45102064112822216,0.4988,0.47123643818000954,0.47525
11,0.004877641290737884,11,0.44264617562294006,0.5044,0.5195780160526434,0.439875
12,0.004852201922385563,12,0.4396049122015635,0.5062,0.4542460689942042,0.493125
13,0.004824441214720628,13,0.43480565448602043,0.5198,0.458449383576711,0.49475
14,0.004794386564209952,14,0.42955750922362007,0.5286,0.4660207238048315,0.468875
15,0.004762067631165048,15,0.4242017537355423,0.5314,0.45880244796474773,0.489
16,0.004727516310470919,16,0.42187363902727765,0.5324,0.44454642074803513,0.5025
17,0.0046907667001096585,17,0.421577125787735,0.5346,0.46468235614399117,0.488875
18,0.004651855067509859,18,0.4152488221724828,0.5346,0.47148552909493446,0.485125
19,0.004610819813755038,19,0.4124649484952291,0.543,0.45550735170642537,0.49925
20,0.004567701435686405,20,0.4088737924893697,0.5452,0.45077101948360604,0.506
21,0.004522542485937369,21,0.40485088527202606,0.5504,0.4155091028660536,0.537
22,0.004475387530939226,22,0.4036188006401062,0.5558,0.4653430338948965,0.495125
23,0.004426283106939473,23,0.39735587139924367,0.5594,0.4216476461539666,0.535
24,0.004375277674076149,24,0.39830645819505056,0.5518,0.4296779489765565,0.532875
25,0.00432242156855353,25,0.39408539632956185,0.5692,0.41153512491534155,0.55
26,0.004267766952966369,26,0.3913041576743126,0.5702,0.428024015078942,0.529875
27,0.004211367764821722,27,0.38586502323548,0.577,0.44124063663184643,0.522
28,0.00415327966330913,28,0.3818692207336426,0.5788,0.4275704299410184,0.532
29,0.004093559974371725,29,0.3796344722310702,0.5786,0.40864762539664906,0.550875
30,0.004032267634132442,30,0.37782742182413737,0.59,0.40659494542827207,0.554875
31,0.003969463130731184,31,0.37814029504855473,0.5862,0.40918528847396374,0.552125
32,0.0039052084446303276,32,0.3732016717394193,0.5904,0.4057160721470912,0.550875
33,0.0038395669874474922,33,0.3734522630771001,0.5868,0.4131966369847457,0.555875
34,0.003772603539375929,34,0.3667142460743586,0.599,0.4068664765606324,0.5625
35,0.003704384185254289,35,0.36869677652915317,0.5966,0.41250088935097057,0.560375
36,0.0036349762493488678,36,0.3629626174767812,0.5982,0.40264149258534115,0.567
37,0.0035644482289126827,37,0.36210646977027255,0.6016,0.4109439890210827,0.55825
38,0.0034928697265869525,38,0.35604918549458187,0.6092,0.39593108650296926,0.57525
39,0.0034203113817116966,39,0.3589638223250707,0.608,0.393901080203553,0.57975
40,0.00334684480061323,40,0.3551294684410095,0.6122,0.3866322599351406,0.579625
41,0.00327254248593737,41,0.35218749890724815,0.612,0.38787586707621813,0.5865
42,0.003197477765098075,42,0.3499891007939974,0.6086,0.3930670252690713,0.57825
43,0.003121724717912138,43,0.3497059841950734,0.6112,0.39367946330457926,0.575125
44,0.003045358103491358,44,0.34611872732639315,0.6144,0.3791033277908961,0.592625
45,0.0029684532864643134,45,0.3485031952460607,0.6104,0.38082886828730506,0.588875
46,0.002891086162600579,46,0.3423913950721423,0.617,0.3873498570173979,0.58525
47,0.0028133330839107628,47,0.3428804775079091,0.6192,0.3848224136357506,0.585375
48,0.0027352707832962874,48,0.33956673741340637,0.6302,0.3897992266962926,0.583625
49,0.0026569762988232853,49,0.3376481056213379,0.6226,0.38356495679666597,0.584625
50,0.0025785268976953224,50,0.33576206117868423,0.6322,0.3825529133901,0.592125
51,0.002500000000000002,51,0.33394051243861517,0.6362,0.376586211224397,0.60025
52,0.002421473102304681,52,0.3391357908646266,0.6322,0.37603142329802114,0.596875
53,0.0023430237011767183,53,0.32878682961066563,0.6448,0.373062826693058,0.601
54,0.002264729216703716,54,0.32976006865501406,0.6426,0.3778188123057286,0.60025
55,0.0021866669160892412,55,0.3311412746707598,0.6386,0.38059548040231067,0.596875
56,0.0021089138373994246,56,0.3245817566911379,0.6496,0.3806106100479762,0.595625
57,0.00203154671353569,57,0.3216742401321729,0.6516,0.37686466332525015,0.596625
58,0.001954641896508646,58,0.3257325972119967,0.6462,0.37056361231952906,0.61025
59,0.0018782752820878643,59,0.3233106310168902,0.6446,0.37249979097396135,0.6025
60,0.0018025222349019286,60,0.32246082375446955,0.6546,0.37018342843900126,0.607625
61,0.0017274575140626336,61,0.3211017871896426,0.6582,0.37318152903268736,0.606875
62,0.001653155199386773,62,0.31828831086556114,0.6514,0.3657437218353152,0.611625
63,0.0015796886182883072,63,0.3128428280353546,0.663,0.36405283119529486,0.617625
64,0.0015071302734130493,64,0.3117296874523163,0.6602,0.36926030460745096,0.608125
65,0.0014355517710873194,65,0.31367040127515794,0.654,0.36832779087126255,0.613875
66,0.001365023750651134,66,0.3138873100280762,0.6582,0.3612055368721485,0.618375
67,0.0012956158147457123,67,0.31205216497182847,0.6666,0.36466534435749054,0.614625
68,0.0012273964606240725,68,0.3093956554929415,0.6698,0.36297961759070557,0.618375
69,0.0011604330125525085,69,0.3062089482943217,0.6718,0.3606690748905142,0.619
70,0.001094791555369674,70,0.31066415359576544,0.6626,0.36358913965523243,0.617875
71,0.001030536869268818,71,0.30645015388727187,0.6682,0.36708494431028765,0.614125
72,0.000967732365867559,72,0.30602885981400807,0.6748,0.3617665069177747,0.619
73,0.0009064400256282761,73,0.3091750000913938,0.6664,0.36277981537083787,0.618
74,0.0008467203366908712,74,0.3070341726144155,0.671,0.36090601421892643,0.621
75,0.0007886322351782786,75,0.2990729610125224,0.6736,0.36027322212855023,0.61925
76,0.0007322330470336318,76,0.3038734843333562,0.6782,0.36170323348293704,0.621
77,0.000677578431446472,77,0.30016971478859583,0.6742,0.36041139904409647,0.618625
78,0.0006247223259238514,78,0.30414703736702603,0.663,0.3579978132620454,0.622375
79,0.0005737168930605275,79,0.2972183624903361,0.6846,0.35876911971718073,0.62325
80,0.0005246124690607743,80,0.29724640945593517,0.6844,0.35977625629554194,0.620875
81,0.00047745751406263196,81,0.29863572617371875,0.6816,0.36071267755081254,0.621625
82,0.000432298564313596,82,0.29773789942264556,0.6752,0.3574408522496621,0.625125
83,0.0003891801862449631,83,0.30020865152279536,0.6816,0.36001976517339546,0.623625
84,0.00034814493249014087,84,0.29643347958723704,0.686,0.3602778635298212,0.62175
85,0.00030923329989034125,85,0.2961157167951266,0.6782,0.35833866118143004,0.62375
86,0.0002724836895290807,86,0.2896791929999987,0.6796,0.3590600276365876,0.62125
87,0.00023793236883495176,87,0.29294074724117913,0.6858,0.35716168706615764,0.623
88,0.00020561343579004784,88,0.2944993063807487,0.6854,0.35697532755633193,0.62325
89,0.00017555878527937175,89,0.2929236590862274,0.6864,0.35845565143972635,0.622625
90,0.00014779807761443648,90,0.29373906205097833,0.679,0.35689030898114044,0.624375
91,0.00012235870926211625,91,0.2952529812852542,0.6832,0.3559980134790142,0.6245
92,0.00009926578580764268,92,0.2866665263970693,0.6858,0.356138630459706,0.626125
93,0.00007854209717842264,93,0.29207221666971844,0.6802,0.3566059209406376,0.624625
94,0.00006020809515313173,94,0.2924782484769821,0.6808,0.3570469009379546,0.625375
95,0.00004428187317827823,95,0.2901387045780818,0.6852,0.35765923156092566,0.62575
96,0.00003077914851215587,96,0.29163533051808677,0.6852,0.35711691435426474,0.624
97,0.0000197132467138056,97,0.29059200286865233,0.6894,0.357059961805741,0.624
98,0.000011095088492300017,98,0.28778454462687175,0.6886,0.35710435422758263,0.624875
99,4.933178929321106e-6,99,0.29475330213705697,0.6764,0.35709943156689405,0.621625
100,1.2335990856710008e-6,100,0.29143151044845583,0.6878,0.3562981653958559,0.625
