step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,4.6972702018737795,0.007,4.672222055053711,0.0086
2,0.000503096979328554,2,4.635914723205566,0.0126,4.625786408233642,0.0128
3,0.0005030969793285496,3,4.596165533447266,0.0174,4.598999300384522,0.0189
4,0.0005030969793285499,4,4.566928531646728,0.0264,4.575361769104004,0.0246
5,0.0005030969793285771,5,4.542001219177246,0.0278,4.551922504425049,0.0281
6,0.000503096979328554,6,4.518750505828858,0.0354,4.528304083251953,0.0302
7,0.0005030969793285316,7,4.488713003540039,0.037,4.506596238708496,0.0303
8,0.0005030969793285817,8,4.461927782440186,0.0388,4.485328914642334,0.0346
9,0.0005030969793285814,9,4.4429694885253905,0.044,4.46740492401123,0.037
10,0.0005030969793285815,10,4.424631216430664,0.042,4.451555116271972,0.0369
11,0.0005030969793285861,11,4.405739117431641,0.044,4.435239176940918,0.0382
12,0.0005030969793285861,12,4.389423719787597,0.0468,4.416505085754395,0.0427
13,0.0005030969793285403,13,4.368291326904297,0.0502,4.398197485351562,0.0416
14,0.0005030969793285906,14,4.347310859680176,0.0514,4.384537098693848,0.0447
15,0.0005030969793285451,15,4.329635456085205,0.051,4.367013857269287,0.0443
16,0.0005030969793285907,16,4.315391876983643,0.0542,4.3525699028015135,0.0474
17,0.0005030969793285501,17,4.298986522674561,0.0558,4.335674292755127,0.0487
18,0.0005030969793285041,18,4.283326990509033,0.057,4.320071789550782,0.0489
19,0.0005030969793285496,19,4.262543821716308,0.0616,4.306068496704102,0.0502
20,0.0005030969793285087,20,4.247087348175048,0.0616,4.294890691375732,0.0502
