run_id,model_arc,train_dataset,val_dataset,num_classes,train_trans,val_trans,train_num,val_num,epochs,max_lr,batch_size,iters/epoch,params,loss_func,optimizer,scheduler,lr,epoch,train_loss,train_acc,val_loss,val_acc
0,models.resnet_1ch resnet18,mnist_train,mnist_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],60000,10000,100,0.001,128,469,11175370,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.001     lr: 0.001     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.001] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),2.467198171342e-7,100,0.005797517366806666,0.99045,0.01067848894968629,0.9847
1,models.resnet_1ch resnet18,mnist_train,mnist_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],60000,10000,100,0.003,128,469,11175370,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.003     lr: 0.003     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.003] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),7.401594514025998e-7,100,0.005954895440638065,0.9895,0.011739008617401124,0.9813
2,models.resnet_1ch resnet18,mnist_train,mnist_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],60000,10000,100,0.005,128,469,11175370,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.005     lr: 0.005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),1.2335990856710008e-6,100,0.005959617101599772,0.9897166666666667,0.012029342936873437,0.9824
3,models.resnet_1ch resnet18,mnist_train,mnist_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],60000,10000,100,0.01,128,469,11175370,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.01     lr: 0.01     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.01] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),2.4671981713420015e-6,100,0.006799281191825867,0.9881333333333333,0.011823631662130355,0.9816
4,models.resnet_1ch resnet18,mnist_train,mnist_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],60000,10000,100,0.03,128,469,11175370,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.03     lr: 0.03     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.03] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),7.401594514026003e-6,100,0.007970871120989322,0.9868833333333333,0.012083444600105285,0.9817
5,models.resnet_1ch resnet18,mnist_train,mnist_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],60000,10000,200,0.001,128,469,11175370,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.001     lr: 0.001     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.001] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),6.168375916970607e-8,200,0.002627766838620106,0.9954333333333333,0.010916388096469455,0.9854
6,models.resnet_1ch resnet18,mnist_train,mnist_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],60000,10000,200,0.003,128,469,11175370,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.003     lr: 0.003     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.003] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),1.850512775091181e-7,200,0.0031283313744018475,0.9941666666666666,0.012121231569030787,0.9845
7,models.resnet_1ch resnet18,mnist_train,mnist_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],60000,10000,200,0.005,128,469,11175370,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.005     lr: 0.005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),3.0841879584853064e-7,200,0.0030791504810005425,0.9943,0.013007878281977027,0.9829
8,models.resnet_1ch resnet18,mnist_train,mnist_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],60000,10000,200,0.01,128,469,11175370,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.01     lr: 0.01     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.01] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),6.168375916970613e-7,200,0.0038242204924921193,0.9928666666666667,0.011853571134209633,0.9843
9,models.resnet_1ch resnet18,mnist_train,mnist_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],60000,10000,200,0.03,128,469,11175370,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.03     lr: 0.03     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.03] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),1.8505127750911846e-6,200,0.00496676260240376,0.9912,0.011182834687829017,0.984
