step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.01,1,0.852146719909668,0.051,0.8082880984497071,0.0769
2,0.009997532801828659,2,0.7515829969482422,0.11312,0.7180382986450196,0.1538
3,0.00999013364214136,3,0.683598978881836,0.17388,0.6834008489990234,0.181
4,0.009977809823015401,4,0.6350618389587402,0.21638,0.8376479681396485,0.1746
5,0.009960573506572392,5,0.5981010119934081,0.25356,0.6118035605621338,0.242
6,0.00993844170297569,6,0.5683626172332764,0.2808,0.606636595916748,0.2531
7,0.009911436253643446,7,0.5436425597076416,0.30664,0.5707093356323242,0.285
8,0.009879583809693738,8,0.5214412933807373,0.3281,0.5962965993499756,0.278
9,0.009842915805643155,9,0.5010925310974121,0.34822,0.5320632678222657,0.3194
10,0.009801468428384716,10,0.4841708589172363,0.36682,0.5542579682159424,0.3104
11,0.009755282581475767,11,0.4643217778167725,0.38612,0.5089315894317626,0.3483
12,0.009704403844771127,12,0.4491553584899902,0.40344,0.4788319633483887,0.3829
13,0.009648882429441256,13,0.43291497429656983,0.42372,0.47533548332214354,0.3841
14,0.009588773128419903,14,0.41918412226104734,0.43666,0.5094276391601562,0.3549
15,0.009524135262330096,15,0.4050078877105713,0.45296,0.49564254806518554,0.3751
16,0.009455032620941838,16,0.3923624684295654,0.46874,0.6215916275024415,0.3114
17,0.009381533400219317,17,0.38029232723999024,0.4818,0.5623916307067871,0.3448
18,0.009303710135019717,18,0.36804853698730466,0.49076,0.4616725108337402,0.4117
19,0.009221639627510075,19,0.3556184526824951,0.50956,0.444669606552124,0.434
20,0.00913540287137281,20,0.34406563849639893,0.52032,0.4507393260192871,0.4301
21,0.009045084971874739,21,0.33384264521026613,0.53384,0.45588156230926513,0.4275
22,0.008950775061878451,22,0.3240097883377075,0.54562,0.44938623832702634,0.4344
23,0.008852566213878947,23,0.31135269429016116,0.56172,0.500347717590332,0.3976
24,0.008750555348152299,24,0.3038904232788086,0.57056,0.453429087600708,0.4413
25,0.00864484313710706,25,0.2919327654724121,0.58544,0.4459301350402832,0.4523
26,0.008535533905932738,26,0.2817591885375977,0.59558,0.4611685775756836,0.4414
27,0.008422735529643444,27,0.27243388484191894,0.60736,0.454439655380249,0.4561
28,0.00830655932661826,28,0.2635252512588501,0.61994,0.45066532455444336,0.4608
29,0.00818711994874345,29,0.2538459662475586,0.62954,0.46520994903564455,0.4556
30,0.008064535268264884,30,0.2429809683532715,0.6449,0.47383438049316406,0.4542
31,0.007938926261462368,31,0.23512081841659546,0.65406,0.47121741912841797,0.4513
32,0.007810416889260655,32,0.22834322215270997,0.66608,0.4723814963531494,0.4611
33,0.0076791339748949845,33,0.2182604363632202,0.6784,0.5359861047363281,0.4284
34,0.007545207078751858,34,0.20816526553344727,0.69154,0.4865753493881226,0.4661
35,0.007408768370508578,35,0.20055721141052246,0.70082,0.4855250405883789,0.4661
36,0.0072699524986977355,36,0.19332414989471436,0.71096,0.5263984590911865,0.45
37,0.007128896457825365,37,0.18741972348022462,0.71824,0.5692027571868896,0.4217
38,0.006985739453173905,38,0.17588448821258545,0.73554,0.52802162940979,0.4454
39,0.006840622763423393,39,0.16972800910949706,0.74304,0.5230510801696777,0.4657
40,0.00669368960122646,40,0.16420867938995362,0.75054,0.5409479357147217,0.4589
41,0.00654508497187474,41,0.15651726267242433,0.76046,0.5236967573547363,0.4685
42,0.00639495553019615,42,0.14923714610290528,0.77152,0.5470105278015137,0.4627
43,0.006243449435824276,43,0.14219319404602052,0.77988,0.5402685240173339,0.4644
44,0.006090716206982716,44,0.13671762100601195,0.78966,0.5529854873275757,0.4662
45,0.005936906572928627,45,0.13031812365722656,0.79664,0.6032462422180176,0.4389
46,0.005782172325201158,46,0.1259160732498169,0.80332,0.5790845816802979,0.4622
47,0.0056266661678215256,47,0.1182022389717102,0.81586,0.5825114111328125,0.4578
48,0.005470541566592575,48,0.1135112749671936,0.82228,0.5979681787872314,0.4625
49,0.0053139525976465705,49,0.10663118573760987,0.83048,0.593143246307373,0.4684
50,0.005157053795390645,50,0.10416522235870361,0.83562,0.6036771360015869,0.4644
51,0.005000000000000004,51,0.09749841625213623,0.84546,0.622099900970459,0.4627
52,0.004842946204609362,52,0.09382612573242187,0.85092,0.6270430229187012,0.4721
53,0.004686047402353437,53,0.08819216995620728,0.85802,0.6468999429321289,0.4567
54,0.004529458433407432,54,0.08289244149208069,0.86652,0.6446408862304688,0.4622
55,0.0043733338321784825,55,0.08103189348220825,0.87008,0.642692747039795,0.4695
56,0.004217827674798849,56,0.07444779885864258,0.87974,0.6476736359405517,0.4707
57,0.00406309342707138,57,0.071841647315979,0.88502,0.673321810913086,0.4722
58,0.003909283793017292,58,0.06794518070602416,0.89106,0.6633259732055664,0.471
59,0.0037565505641757287,59,0.06390123204612731,0.89704,0.6974421263122559,0.4683
60,0.0036050444698038572,60,0.06270279442214965,0.8983,0.6979781593322754,0.4586
