step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,3.5598139139841556,0.2646138646467973,3.8370441086647515,0.22734254992319508
2,0.0004877641290737884,2,3.0066308517069746,0.34332290465997034,3.566662749204035,0.21658986175115208
3,0.0004522542485937368,3,2.7569635596323225,0.37987814918491686,3.0961536815455797,0.3302611367127496
4,0.0003969463130731183,4,2.5846151781890883,0.40803556726494317,2.9541971745762043,0.3521505376344086
5,0.00032725424859373687,5,2.4076795973731446,0.43685163839947305,2.914710454677107,0.35944700460829493
6,0.00025,6,2.2427318907247313,0.4650090564794994,2.569219060390959,0.412826420890937
7,0.00017274575140626317,7,2.0920843695683433,0.4920138317141446,2.6738648938326977,0.412826420890937
8,0.00010305368692688175,8,1.9664496823902404,0.5247818211756957,2.380896559508715,0.4642857142857143
9,0.00004774575140626317,9,1.844560365788375,0.5524452494648444,2.2647170613987653,0.48118279569892475
10,0.000012235870926211617,10,1.7887770980228492,0.5656183105549152,2.251038072296002,0.49001536098310294
