step,lr,epoch,train_loss,train_acc,train_f1
1,0.001,1,1.4611328040305072,0.7274646723966872,0.24967237989781912
2,0.0009999993831498518,2,0.8484121983523938,0.8736181083823621,0.30730736126972147
3,0.0009999975326009292,3,0.7785283908186392,0.8841386881454311,0.32685917721260555
4,0.000999994448357798,4,0.7192980425541484,0.8981353745565925,0.34901117741479587
5,0.0009999901304280686,5,0.6737985192317006,0.8973382323570412,0.35652586037380907
6,0.000999984578822395,6,0.6266253389304146,0.899517949924385,0.35233155219706574
7,0.000999977793554475,7,0.5921607565807308,0.9060802483960186,0.3506652721874665
8,0.0009999697746410508,8,0.5631156747938257,0.9047538099808875,0.35693601533828934
9,0.0009999605221019082,9,0.5470398748893431,0.9020689028716076,0.36023701408869996
10,0.0009999500359598769,10,0.5089455436859522,0.9091961472892389,0.3466438739757602
11,0.0009999383162408303,11,0.5472082652662631,0.900024180070504,0.35181221365808174
12,0.000999925362973686,12,0.4811242154899049,0.9075716147599637,0.3483566670209855
13,0.0009999111761904045,13,0.5065722493357154,0.9067758904523372,0.3586937685207415
14,0.0009998957559259906,14,0.48781481627056117,0.9053007980260789,0.36723670744342335
15,0.000999879102218492,15,0.45279181338270025,0.8991200989831392,0.3675569447139139
16,0.0009998612151090004,16,0.4538426944220178,0.9060184922154034,0.38118373927240107
17,0.0009998420946416501,17,0.39798585178524254,0.913219000371176,0.37816796469788105
18,0.000999821740863619,18,0.41854006311903097,0.9091025771585616,0.3693661565604055
19,0.0009998001538251283,19,0.38377325483628044,0.9135857768723089,0.38909756521764527
20,0.0009997773335794417,20,0.38690921051794774,0.9128925301494111,0.3905908408133965
21,0.0009997532801828658,21,0.3924893140823286,0.9027845941240796,0.4082624130993513
22,0.00099972799369475,22,0.35311582511214556,0.9178077920793085,0.45154912574875145
23,0.0009997014741774863,23,0.3652518317018832,0.9133005074243841,0.3858244201772002
24,0.000999673721696509,24,0.3509731633999013,0.91121594940162,0.38305565187097795
25,0.0009996447363202943,25,0.33769399564348135,0.9197202281007278,0.3896965191591776
26,0.0009996145181203613,26,0.317881242499392,0.9169520689770218,0.46291155051711613
27,0.0009995830671712697,27,0.3251110291140366,0.9058439407234342,0.42890770825695135
28,0.0009995503835506221,28,0.34432916957887566,0.9067480821162293,0.47758531964849926
29,0.000999516467339062,29,0.3143652441947631,0.9185700796450189,0.3767797590677656
30,0.0009994813186202742,30,0.29962699546367627,0.9219769161338136,0.43349455529413694
31,0.0009994449374809847,31,0.30131015027179237,0.9166547088747727,0.48467177337332096
32,0.0009994073240109603,32,0.33812584990357414,0.9184759289284659,0.36585161590971715
33,0.0009993684783030086,33,0.3872535093442479,0.9060446633434993,0.44824031080471055
