step,epoch,lr,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,val_loss,val_acc
1,1,0.005,1.1835011730194092,0.478,1744357759.0558515,2025/04/11 16:49:19,2.9099183082580566,2.9s,,
2,2,0.004999987663004646,0.9542099123001099,0.571,1744357761.3562472,2025/04/11 16:49:21,5.210314035415649,5.2s,,
3,3,0.004999950652140343,0.8852812614440918,0.6165,1744357763.6482997,2025/04/11 16:49:23,7.502366542816162,7.5s,,
4,4,0.004999888967772375,0.8885255737304687,0.603,1744357765.9545698,2025/04/11 16:49:25,9.808636665344238,9.8s,,
5,5,0.004999802610509542,0.8325225667953491,0.6545,1744357768.243635,2025/04/11 16:49:28,12.097701787948608,12.1s,,
6,6,0.004999691581204153,0.7968291397094727,0.6715,1744357770.5397282,2025/04/11 16:49:30,14.393795013427734,14.4s,,
7,7,0.004999555880952024,0.7783196697235107,0.683,1744357772.8389754,2025/04/11 16:49:32,16.693042278289795,16.7s,,
8,8,0.004999395511092462,0.7293378381729126,0.702,1744357775.1652942,2025/04/11 16:49:35,19.01936101913452,19.0s,,
9,9,0.004999210473208251,0.8014354486465454,0.666,1744357777.4815845,2025/04/11 16:49:37,21.335651397705078,21.3s,,
10,10,0.0049990007691256425,0.7198925981521607,0.703,1744357781.313596,2025/04/11 16:49:41,25.167662858963013,25.2s,1.0592393312454225,0.5595
11,11,0.00499876640091433,0.7092334589958191,0.711,1744357784.7977347,2025/04/11 16:49:44,28.651801586151123,28.7s,,
12,12,0.004998507370887434,0.6639858193397522,0.7325,1744357787.118269,2025/04/11 16:49:47,30.972335815429688,31.0s,,
13,13,0.0049982236816014745,0.6596726903915405,0.743,1744357789.3916204,2025/04/11 16:49:49,33.24568724632263,33.2s,,
14,14,0.004997915335856352,0.6420919332504272,0.7415,1744357791.694845,2025/04/11 16:49:51,35.548911809921265,35.5s,,
15,15,0.004997582336695314,0.6620265216827392,0.728,1744357793.9714718,2025/04/11 16:49:53,37.825538635253906,37.8s,,
16,16,0.004997224687404928,0.6110061817169189,0.7615,1744357796.2653291,2025/04/11 16:49:56,40.11939597129822,40.1s,,
17,17,0.0049968423915150465,0.5771138062477111,0.7825,1744357798.537653,2025/04/11 16:49:58,42.391719818115234,42.4s,,
18,18,0.004996435452798776,0.5864445085525513,0.7725,1744357800.8011441,2025/04/11 16:50:00,44.655210971832275,44.7s,,
19,19,0.004996003875272439,0.5559189114570617,0.775,1744357803.0760815,2025/04/11 16:50:03,46.9301483631134,46.9s,,
20,20,0.004995547663195531,0.5755549268722534,0.7835,1744357806.7786007,2025/04/11 16:50:06,50.632667541503906,50.6s,0.6526513996124268,0.73875
21,21,0.00499506682107068,0.5440036697387696,0.7815,1744357810.2838745,2025/04/11 16:50:10,54.13794136047363,54.1s,,
22,22,0.004994561353643605,0.5404635500907898,0.7915,1744357812.6347358,2025/04/11 16:50:12,56.488802671432495,56.5s,,
23,23,0.004994031265903063,0.529738356590271,0.7975,1744357814.906804,2025/04/11 16:50:14,58.760870933532715,58.8s,,
24,24,0.00499347656308081,0.5065746874809265,0.807,1744357817.1852055,2025/04/11 16:50:17,61.03927230834961,1.0m,,
25,25,0.004992897250651535,0.5271632108688354,0.785,1744357819.4486048,2025/04/11 16:50:19,63.302671670913696,1.1m,,
26,26,0.00499229333433282,0.4998939321041107,0.801,1744357821.7360315,2025/04/11 16:50:21,65.59009838104248,1.1m,,
27,27,0.004991664820085074,0.4927787766456604,0.809,1744357824.0305057,2025/04/11 16:50:24,67.88457250595093,1.1m,,
28,28,0.004991011714111481,0.45388047003746035,0.814,1744357826.3722818,2025/04/11 16:50:26,70.22634863853455,1.2m,,
29,29,0.004990334022857932,0.43343709921836854,0.8445,1744357828.6625495,2025/04/11 16:50:28,72.5166163444519,1.2m,,
30,30,0.004989631753012964,0.40388147401809693,0.8405,1744357832.3754318,2025/04/11 16:50:32,76.22949862480164,1.3m,0.7956811809539794,0.75075
31,31,0.0049889049115077,0.41982965898513797,0.83,1744357835.9150286,2025/04/11 16:50:35,79.7690954208374,1.3m,,
32,32,0.00498815350551577,0.47269180870056154,0.818,1744357838.2168615,2025/04/11 16:50:38,82.07092833518982,1.4m,,
33,33,0.00498737754245325,0.4291427900791168,0.825,1744357840.532198,2025/04/11 16:50:40,84.38626480102539,1.4m,,
34,34,0.00498657702997858,0.38875103068351746,0.846,1744357842.8466282,2025/04/11 16:50:42,86.7006950378418,1.4m,,
35,35,0.004985751975992497,0.39275371909141543,0.8465,1744357845.1222892,2025/04/11 16:50:45,88.9763560295105,1.5m,,
36,36,0.004984902388637949,0.3929698965549469,0.8475,1744357847.430451,2025/04/11 16:50:47,91.28451776504517,1.5m,,
37,37,0.004984028276300021,0.35585498094558715,0.863,1744357849.731469,2025/04/11 16:50:49,93.58553576469421,1.6m,,
38,38,0.004983129647605848,0.39587901496887207,0.8415,1744357852.082279,2025/04/11 16:50:52,95.93634581565857,1.6m,,
39,39,0.004982206511424533,0.37822076654434206,0.852,1744357854.362848,2025/04/11 16:50:54,98.21691489219666,1.6m,,
40,40,0.004981258876867059,0.35786240220069887,0.855,1744357858.1015084,2025/04/11 16:50:58,101.95557522773743,1.7m,0.7482385597229004,0.76675
41,41,0.004980286753286194,0.359810670375824,0.8575,1744357861.6618495,2025/04/11 16:51:01,105.51591634750366,1.8m,,
42,42,0.004979290150276407,0.32232201743125916,0.886,1744357863.9858594,2025/04/11 16:51:03,107.83992624282837,1.8m,,
43,43,0.004978269077673765,0.3510436029434204,0.8595,1744357866.2943718,2025/04/11 16:51:06,110.1484386920929,1.8m,,
44,44,0.0049772235455558455,0.3096765971183777,0.8785,1744357868.5678146,2025/04/11 16:51:08,112.42188143730164,1.9m,,
45,45,0.004976153564241626,0.31228026032447814,0.8785,1744357870.8284037,2025/04/11 16:51:10,114.68247056007385,1.9m,,
46,46,0.004975059144291392,0.31259822225570677,0.885,1744357873.077035,2025/04/11 16:51:13,116.93110179901123,1.9m,,
47,47,0.004973940296506624,0.29196643829345703,0.8845,1744357875.349183,2025/04/11 16:51:15,119.20324993133545,2.0m,,
48,48,0.004972797031929902,0.3041619668006897,0.88,1744357877.602387,2025/04/11 16:51:17,121.45645380020142,2.0m,,
49,49,0.004971629361844782,0.2955028672218323,0.8865,1744357879.858474,2025/04/11 16:51:19,123.71254086494446,2.1m,,
50,50,0.004970437297775699,0.3043060746192932,0.881,1744357883.5404751,2025/04/11 16:51:23,127.39454197883606,2.1m,0.6914066076278687,0.7635
51,51,0.004969220851487842,0.29579211699962615,0.888,1744357887.0468087,2025/04/11 16:51:27,130.9008755683899,2.2m,,
52,52,0.004967980034987046,0.29290405464172364,0.881,1744357889.3245687,2025/04/11 16:51:29,133.178635597229,2.2m,,
53,53,0.004966714860519667,0.2900332188606262,0.8945,1744357891.6226337,2025/04/11 16:51:31,135.4767005443573,2.3m,,
54,54,0.004965425340572469,0.25808933591842653,0.903,1744357893.8846018,2025/04/11 16:51:33,137.73866868019104,2.3m,,
55,55,0.004964111487872492,0.2547544481754303,0.8975,1744357896.268365,2025/04/11 16:51:36,140.12243175506592,2.3m,,
56,56,0.004962773315386931,0.2559863109588623,0.8965,1744357898.5858808,2025/04/11 16:51:38,142.43994760513306,2.4m,,
57,57,0.00496141083632301,0.24551246643066407,0.9065,1744357900.9208848,2025/04/11 16:51:40,144.77495169639587,2.4m,,
58,58,0.004960024064127846,0.23282497453689574,0.908,1744357903.2579298,2025/04/11 16:51:43,147.1119966506958,2.5m,,
59,59,0.004958613012488321,0.2287330777645111,0.9165,1744357905.6036925,2025/04/11 16:51:45,149.45775938034058,2.5m,,
60,60,0.004957177695330944,0.24152677965164185,0.9095,1744357909.531878,2025/04/11 16:51:49,153.38594484329224,2.6m,1.003546408891678,0.73925
61,61,0.0049557181268217185,0.25240962612628937,0.907,1744357913.2511635,2025/04/11 16:51:53,157.1052303314209,2.6m,,
62,62,0.004954234321365994,0.24048815393447875,0.9035,1744357915.6343195,2025/04/11 16:51:55,159.48838639259338,2.7m,,
63,63,0.004952726293608331,0.22552856421470643,0.919,1744357918.009124,2025/04/11 16:51:58,161.86319088935852,2.7m,,
64,64,0.004951194058432357,0.21801088094711304,0.9135,1744357920.3623235,2025/04/11 16:52:00,164.21639037132263,2.7m,,
65,65,0.0049496376309606125,0.23343092155456543,0.9135,1744357922.692871,2025/04/11 16:52:02,166.54693794250488,2.8m,,
66,66,0.00494805702655441,0.2060164396762848,0.9175,1744357925.0250263,2025/04/11 16:52:05,168.87909317016602,2.8m,,
67,67,0.004946452260813676,0.20127145195007323,0.926,1744357927.4050841,2025/04/11 16:52:07,171.25915098190308,2.9m,,
68,68,0.0049448233495768,0.19305725371837615,0.9255,1744357929.6916976,2025/04/11 16:52:09,173.54576444625854,2.9m,,
69,69,0.004943170308920479,0.20733184838294982,0.9275,1744357931.947749,2025/04/11 16:52:11,175.80181574821472,2.9m,,
70,70,0.004941493155159557,0.16456477212905884,0.94,1744357935.6206186,2025/04/11 16:52:15,179.47468543052673,3.0m,0.6735710716247558,0.7925
71,71,0.004939791904846864,0.16386722099781037,0.941,1744357939.113932,2025/04/11 16:52:19,182.96799874305725,3.0m,,
72,72,0.0049380665747730534,0.1589441609978676,0.941,1744357941.3733392,2025/04/11 16:52:21,185.22740602493286,3.1m,,
73,73,0.004936317181966438,0.1752022569179535,0.93,1744357943.6334758,2025/04/11 16:52:23,187.48754262924194,3.1m,,
74,74,0.004934543743692817,0.20168538045883178,0.923,1744357945.92151,2025/04/11 16:52:25,189.77557682991028,3.2m,,
75,75,0.004932746277455311,0.1806535849571228,0.9325,1744357948.1743877,2025/04/11 16:52:28,192.02845454216003,3.2m,,
76,76,0.004930924800994186,0.17869534015655517,0.93,1744357950.4652357,2025/04/11 16:52:30,194.31930255889893,3.2m,,
77,77,0.004929079332286679,0.18500727844238282,0.9235,1744357952.7464561,2025/04/11 16:52:32,196.60052299499512,3.3m,,
78,78,0.004927209889546822,0.16872071027755736,0.936,1744357955.0132663,2025/04/11 16:52:35,198.86733317375183,3.3m,,
