step,epoch,lr,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt
1,1,0.005,0.24805236005783082,0.904,0.527190890789032,0.8265,1744267651.8929331,2025/04/10 15:47:31,12.713623523712158,12.7s
2,2,0.0049987664009143295,0.1832837840259075,0.9269,0.22475420236587523,0.9305,1744267663.5956495,2025/04/10 15:47:43,24.416339874267578,24.4s
3,3,0.00499506682107068,0.16288319392204284,0.9377,0.38336167359352114,0.868,1744267675.2643764,2025/04/10 15:47:55,36.08506679534912,36.1s
4,4,0.004988904911507701,0.15090856890678406,0.9411,0.12955696058273317,0.948,1744267686.932921,2025/04/10 15:48:06,47.75361132621765,47.8s
5,5,0.004980286753286196,0.13451975803375243,0.9504,0.11164908230304718,0.954,1744267698.6982272,2025/04/10 15:48:18,59.51891756057739,59.5s
6,6,0.004969220851487845,0.13001369975432753,0.9502,0.10164580300450325,0.9615,1744267710.48227,2025/04/10 15:48:30,71.30296039581299,1.2m
7,7,0.004955718126821723,0.11370263596773147,0.9563,0.0714598517715931,0.973,1744267722.2688823,2025/04/10 15:48:42,83.08957266807556,1.4m
8,8,0.004939791904846869,0.1012063759803772,0.9616,0.08567360192537307,0.969,1744267734.1010954,2025/04/10 15:48:54,94.92178583145142,1.6m
9,9,0.004921457902821578,0.10242083506584168,0.961,0.06436200022697448,0.9755,1744267745.901491,2025/04/10 15:49:05,106.72218132019043,1.8m
10,10,0.004900734214192358,0.09761958266496658,0.9633,0.054338626444339753,0.982,1744267757.6790776,2025/04/10 15:49:17,118.49976801872253,2.0m
11,11,0.004877641290737884,0.08944402373433114,0.9666,0.054464896440505985,0.9785,1744267769.560122,2025/04/10 15:49:29,130.38081240653992,2.2m
12,12,0.004852201922385563,0.08163896794319153,0.9677,0.06895885778963566,0.974,1744267781.3975217,2025/04/10 15:49:41,142.21821212768555,2.4m
