step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.005,1,0.307564697095326,0.225,0.34907399650130955,0.2587
2,0.004999987663004646,2,0.26895540399210793,0.2964,0.2963991831455912,0.2783
3,0.004999950652140343,3,0.26303330872740066,0.3174,0.2808068973677499,0.3122
4,0.004999888967772375,4,0.2517004200390407,0.3398,0.24543744644948415,0.3658
5,0.004999802610509542,5,0.24161813471998486,0.3706,0.24635282435587474,0.3797
6,0.004999691581204153,6,0.2313234099320003,0.3944,0.2291190498641559,0.4026
7,0.004999555880952024,7,0.22884809587682997,0.3974,0.22932809591293335,0.4248
8,0.004999395511092462,8,0.21911202371120453,0.4262,0.24121652096509932,0.4151
9,0.004999210473208251,9,0.2136360824108124,0.4518,0.23301753274032047,0.3914
10,0.0049990007691256425,10,0.2035183983189719,0.4676,0.20577581524848937,0.4803
11,0.00499876640091433,11,0.1984862983226776,0.4946,0.1965024173259735,0.4941
12,0.004998507370887434,12,0.1917877869946616,0.5174,0.20714304872921535,0.4808
13,0.0049982236816014745,13,0.18649138382502964,0.52,0.2118550860456058,0.4966
14,0.004997915335856352,14,0.18401940933295657,0.536,0.1966931756053652,0.5116
15,0.004997582336695314,15,0.1772567744765963,0.5478,0.19764532553298134,0.4979
16,0.004997224687404928,16,0.167474174286638,0.5804,0.19931087685482843,0.5101
17,0.0049968423915150465,17,0.16365183166095187,0.5886,0.18462750400815692,0.5544
18,0.004996435452798776,18,0.15901809952088763,0.6,0.19077411804880415,0.5376
19,0.004996003875272439,19,0.15511843115091323,0.609,0.17012378775647707,0.5876
20,0.004995547663195531,20,0.1502323125089918,0.6268,0.1978865890630654,0.5496
21,0.00499506682107068,21,0.14522733858653478,0.6334,0.19099888993161065,0.5535
22,0.004994561353643605,22,0.14099839606455394,0.6496,0.17037554787737982,0.5852
23,0.004994031265903063,23,0.1354402182357652,0.6642,0.1638421797326633,0.6057
24,0.00499347656308081,24,0.13235991873911448,0.6664,0.16258163760815347,0.6107
25,0.004992897250651535,25,0.1334834315947124,0.6642,0.17540002944214003,0.5916
26,0.00499229333433282,26,0.1277381637266704,0.6734,0.19098923206329346,0.579
27,0.004991664820085074,27,0.11994666116578238,0.7016,0.18446941482169288,0.6033
28,0.004991011714111481,28,0.1186500779220036,0.6976,0.1812049243066992,0.6072
29,0.004990334022857932,29,0.11427520236798695,0.709,0.15020606560366495,0.6482
30,0.004989631753012964,30,0.11144873457295554,0.7236,0.16974024048873357,0.6164
31,0.0049889049115077,31,0.10770272271973746,0.7296,0.17093557342886925,0.6352
32,0.00498815350551577,32,0.10229325784104211,0.7428,0.16384588267121997,0.6434
33,0.00498737754245325,33,0.09675732446568353,0.7568,0.161500674699034,0.6403
34,0.00498657702997858,34,0.09528916850686073,0.7618,0.1803983819271837,0.6208
35,0.004985751975992497,35,0.08960420042276382,0.7786,0.17966674555625234,0.6431
36,0.004984902388637949,36,0.09147480172770364,0.7718,0.17838588846581324,0.6443
37,0.004984028276300021,37,0.08457680035914694,0.7862,0.177816033576216,0.6553
38,0.004983129647605848,38,0.08209991838250841,0.7944,0.18877612043704306,0.6219
39,0.004982206511424533,39,0.08168780771749361,0.7924,0.15828094918813024,0.6726
40,0.004981258876867059,40,0.07404648629682405,0.8114,0.1612673927630697,0.673
41,0.004980286753286194,41,0.07458177251475198,0.8152,0.1593754399035658,0.6722
42,0.004979290150276407,42,0.07222033707158906,0.8184,0.1812959909439087,0.6426
43,0.004978269077673765,43,0.06639116693820273,0.8262,0.17832142487168312,0.6692
44,0.0049772235455558455,44,0.06830105643187251,0.8312,0.17916557309882983,0.6649
45,0.004976153564241626,45,0.06788387362446104,0.8298,0.18773078258548465,0.6528
46,0.004975059144291392,46,0.05844763623816626,0.8554,0.17363849984748023,0.6837
47,0.004973940296506624,47,0.05977859656725611,0.85,0.1684219780777182,0.69
48,0.004972797031929902,48,0.053171200730970924,0.8702,0.2293024942278862,0.619
49,0.004971629361844782,49,0.056526210318718635,0.8602,0.17635526465518134,0.6923
50,0.004970437297775699,50,0.047402678004332954,0.876,0.19441776839750155,0.6808
51,0.004969220851487842,51,0.04669007749429771,0.8864,0.1907176558460508,0.6833
52,0.004967980034987046,52,0.04650772394878524,0.8852,0.21366047241858074,0.666
53,0.004966714860519667,53,0.04601240786058562,0.8828,0.19715032247560366,0.6783
54,0.004965425340572469,54,0.0412597260837044,0.8952,0.19563059168202537,0.6887
55,0.004964111487872492,55,0.04204084452773844,0.8922,0.2053631404680865,0.6773
56,0.004962773315386931,56,0.04004079923033714,0.8978,0.1921057641506195,0.703
57,0.00496141083632301,57,0.03536367054496493,0.9108,0.1964801172060626,0.6819
58,0.004960024064127846,58,0.031464352911072115,0.9234,0.20698562764695713,0.6908
59,0.004958613012488321,59,0.03351581205746957,0.9194,0.22309505684035166,0.6716
60,0.004957177695330944,60,0.03380621490733964,0.918,0.21116277490343366,0.6804
61,0.0049557181268217185,61,0.04014899586992604,0.9016,0.19516490974596568,0.6869
62,0.004954234321365994,62,0.030403992240982395,0.923,0.19548137315682002,0.7012
63,0.004952726293608331,63,0.029905669843511923,0.9226,0.20108186432293484,0.6897
64,0.004951194058432357,64,0.028445156663656233,0.9304,0.20342840871640613,0.6925
65,0.0049496376309606125,65,0.02508444357663393,0.937,0.21081586969750268,0.6927
66,0.00494805702655441,66,0.025271318586809293,0.9422,0.22351418797458922,0.6915
67,0.004946452260813676,67,0.025101109194968427,0.9402,0.2408074717436518,0.6801
68,0.0049448233495768,68,0.024088810996285508,0.9408,0.2239653468132019,0.6983
69,0.004943170308920479,69,0.020930795504578523,0.9474,0.21619161771876472,0.7068
70,0.004941493155159557,70,0.02313330112291234,0.9458,0.2203350692987442,0.6924
71,0.004939791904846864,71,0.022620493306645326,0.9426,0.2505743356687682,0.6739
72,0.0049380665747730534,72,0.02488984630576202,0.9356,0.23394337339060647,0.6997
73,0.004936317181966438,73,0.023243404951478752,0.9418,0.22075268977454732,0.6974
74,0.004934543743692817,74,0.02225502992847136,0.9442,0.23075506037899426,0.7045
75,0.004932746277455311,75,0.019946396869740316,0.9504,0.2256295382976532,0.6943
76,0.004930924800994186,76,0.015480107148843153,0.9618,0.22136014944740703,0.7095
77,0.004929079332286679,77,0.014178420909281288,0.9662,0.25484410471149854,0.6933
78,0.004927209889546822,78,0.016812796877431018,0.961,0.24802057487624032,0.6911
79,0.004925316491225259,79,0.01987117857539228,0.9528,0.25671109280415944,0.6822
80,0.004923399156009067,80,0.020799924805760383,0.9504,0.2344261391886643,0.6938
81,0.004921457902821572,81,0.017437799594232015,0.9554,0.22437501017536435,0.7147
82,0.004919492750822158,82,0.015777124537687218,0.9614,0.2153564208320209,0.7169
83,0.004917503719406082,83,0.015349289868026972,0.9618,0.24644817965371268,0.701
84,0.00491549082820428,84,0.01704448621187891,0.9598,0.23385370246001652,0.712
85,0.0049134540970831786,85,0.017647654456751687,0.9556,0.23711087022508895,0.6999
86,0.004911393546144489,86,0.018218203101839338,0.954,0.28087177872657776,0.6894
87,0.004909309195725018,87,0.014991614342268025,0.9628,0.21899491410170283,0.7176
88,0.004907201066396463,88,0.01412913321650454,0.9638,0.23733618642602647,0.7095
89,0.004905069178965208,89,0.015493041103971856,0.963,0.2440169381243842,0.716
90,0.004902913554472123,90,0.015720417284007582,0.9624,0.23252781672137124,0.71
91,0.004900734214192351,91,0.01275731864651399,0.9704,0.23593019268342427,0.7062
92,0.0048985311796351004,92,0.014563345835943308,0.9656,0.2607848750693457,0.6899
93,0.004896304472543433,93,0.01389420713697161,0.9674,0.24887727073260715,0.7058
94,0.004894054114894048,94,0.010889223670320851,0.974,0.236714731156826,0.7167
95,0.004891780128897069,95,0.013528007242296422,0.9676,0.2506701190556799,0.696
96,0.004889482536995818,96,0.017869190858410936,0.9584,0.25923501827887124,0.6963
97,0.0048871613618666,97,0.013651978517217295,0.966,0.2584219504679952,0.7057
98,0.004884816626418476,98,0.011343489673786929,0.9716,0.23470812759229115,0.7103
99,0.00488244835379304,99,0.011331724940932222,0.9716,0.2504384700741087,0.7175
100,0.004880056567364185,100,0.012515381404331753,0.9716,0.2656254666192191,0.7093
101,0.004877641290737878,101,0.012218998911391412,0.97,0.24517524508493288,0.706
102,0.004875202547751922,102,0.011188455631158181,0.9712,0.2373885635818754,0.7167
103,0.0048727403624757295,103,0.010736470596332636,0.9736,0.24521229224545615,0.707
104,0.0048702547592100725,104,0.008522228643830334,0.9798,0.25374614319631034,0.7121
105,0.004867745762486853,105,0.010727105848491191,0.9734,0.27365423036473135,0.7088
106,0.004865213397068855,106,0.010433083240474974,0.975,0.25602798887661526,0.7053
107,0.004862657687949504,107,0.01023043525139136,0.9742,0.27329635577542444,0.7138
108,0.004860078660352617,108,0.010062388929405383,0.976,0.25691038231764524,0.7136
109,0.004857476339732153,109,0.009901035723409482,0.975,0.2810277134180069,0.7045
110,0.004854850751771968,110,0.010577707724379642,0.9758,0.27150692088263373,0.7075
111,0.004852201922385556,111,0.013097186892160348,0.9672,0.27494111316544667,0.6996
112,0.0048495298777157915,112,0.013271733985415526,0.9694,0.26629422924348284,0.692
113,0.004846834644134678,113,0.011201281852221915,0.9754,0.2572237110563687,0.7003
114,0.004844116248243082,114,0.010622590873390436,0.977,0.27121102341583797,0.6945
115,0.004841374716870474,115,0.010403685963579587,0.974,0.25301166879279274,0.7151
116,0.004838610077074662,116,0.009141539808894907,0.978,0.2647602983883449,0.7167
117,0.004835822356141523,117,0.010046479169146291,0.976,0.2558431902102062,0.709
118,0.0048330115815847395,118,0.008930920882682715,0.9768,0.26249984800815584,0.7056
119,0.00483017778114552,119,0.00995161809925256,0.9768,0.2582825415900775,0.7151
120,0.004827320982792332,120,0.009387514693662525,0.9768,0.2596398239689214,0.7055
121,0.004824441214720621,121,0.008562316028733872,0.9798,0.27216624170541764,0.7059
122,0.004821538505352536,122,0.009570261443565998,0.9786,0.2655873239040375,0.7039
123,0.004818612883336646,123,0.010713852556156261,0.9736,0.28012165597506933,0.7001
124,0.00481566437754766,124,0.010941283903749925,0.9756,0.25339555931942803,0.7176
125,0.004812693017086138,125,0.009946212338815843,0.9778,0.2574351916355746,0.7195
126,0.00480969883127821,126,0.007510520963530456,0.9826,0.25415449738502505,0.7147
127,0.00480668184967528,127,0.005982940377933638,0.9846,0.2805682293006352,0.7068
128,0.004803642102053739,128,0.007321526554213571,0.9822,0.28393819502421785,0.7025
129,0.0048005796184146686,129,0.008712783502414823,0.9794,0.2707400013293539,0.7217
130,0.004797494428983546,130,0.009271981658613575,0.9782,0.2758115596004895,0.7074
131,0.0047943865642099456,131,0.008656345008473312,0.9798,0.2660522612077849,0.7216
132,0.004791256054767237,132,0.008618868252129427,0.9788,0.2811058380774089,0.7151
133,0.0047881029315522865,133,0.007888543951724256,0.9796,0.2824839298214231,0.715
134,0.0047849272256851455,134,0.0069148807453789886,0.9806,0.27164882783378874,0.7183
135,0.0047817289685087505,135,0.00742990366416052,0.9824,0.2685207173228264,0.7161
136,0.004778508191588607,136,0.008387868249389743,0.9814,0.3132686878953661,0.6993
137,0.004775264926712483,137,0.008908469622422541,0.9784,0.3136166398014341,0.6894
138,0.004771999205890095,138,0.013193440310923116,0.9714,0.2619699241859572,0.709
139,0.004768711061352786,139,0.010713466995262674,0.9738,0.2667759842106274,0.7178
140,0.0047654005255532185,140,0.009263234061654657,0.9788,0.2745963120034763,0.7082
141,0.004762067631165043,141,0.00767792302316853,0.9806,0.276146970476423,0.709
142,0.004758712411082581,142,0.007435742453006762,0.9812,0.29309166286672866,0.701
143,0.004755334898420501,143,0.006896318741408842,0.983,0.2822087040969304,0.7113
144,0.0047519351265134895,144,0.006875851025272693,0.9844,0.263340539591653,0.7184
145,0.004748513128915922,145,0.007139410198267017,0.9834,0.2644351570733956,0.7204
146,0.004745068939401534,146,0.007211357202114803,0.9808,0.28059988085712706,0.7131
147,0.0047416025919630855,147,0.0072891441905604945,0.9802,0.2752390859382493,0.719
148,0.004738114120812024,148,0.006008289405144751,0.986,0.2704217974628721,0.7215
149,0.004734603560378155,149,0.004991850150482995,0.9872,0.2854158680353846,0.7147
150,0.0047310709453092905,150,0.0066580525699204635,0.9862,0.2706790415304048,0.7218
151,0.004727516310470915,151,0.008134918277417975,0.9806,0.2829315104654857,0.7196
152,0.00472393969094584,152,0.0074873242926384725,0.9814,0.28425615770476204,0.7104
153,0.004720341122033856,153,0.007409250363707542,0.983,0.283156142277377,0.7171
154,0.004716720639251387,154,0.006696004077925213,0.9858,0.27056640631386214,0.7203
155,0.004713078278331133,155,0.005301878850774041,0.9874,0.28708038947411946,0.7092
156,0.004709414075221729,156,0.007622681594719845,0.9794,0.2958590002996581,0.701
157,0.004705728066087379,157,0.006977174471830949,0.9826,0.27029762353215897,0.7235
158,0.0047020202873075045,158,0.005992958205752075,0.9862,0.26693889583860125,0.7253
159,0.004698290775476386,159,0.004840348950321121,0.989,0.2748531780072621,0.715
160,0.0046945395674028,160,0.006282236636616289,0.9856,0.274361980174269,0.7172
161,0.004690766700109655,161,0.0069114767164657155,0.9832,0.2789049887231418,0.7224
162,0.0046869722108336285,162,0.005618845039446439,0.9874,0.2852181941270828,0.7171
163,0.004683156137024797,163,0.006811336640800749,0.984,0.28464694491454534,0.7085
164,0.004679318516346269,164,0.007852767783749317,0.9808,0.30155261137655803,0.7136
165,0.004675459386673811,165,0.009891619949069405,0.9762,0.28231211985860555,0.7211
166,0.004671578786095475,166,0.007638655306904444,0.9806,0.26328130279268536,0.7215
167,0.004667676752911222,167,0.005698151101491281,0.9842,0.2942095507468496,0.7069
168,0.004663753325632545,168,0.005719980133497822,0.9848,0.2734657589878355,0.7172
169,0.004659808542982085,169,0.004418245739569621,0.9886,0.2957768031529018,0.7082
170,0.0046558424438932575,170,0.0041636702039146,0.99,0.3050983233111245,0.7162
171,0.004651855067509857,171,0.004430302773003599,0.9908,0.30266941211053305,0.7207
172,0.004647846453185679,172,0.006138765670558704,0.9848,0.32184091678687504,0.7005
173,0.004643816640484129,173,0.008612600186773177,0.98,0.28821625315717286,0.7179
174,0.004639765669177831,174,0.0055206492277128354,0.986,0.2873768625514848,0.713
175,0.004635693579248236,175,0.004842589612651084,0.99,0.2846098818949291,0.7172
176,0.004631600410885228,176,0.005243734798360882,0.9872,0.29039759401764187,0.7162
177,0.004627486204486727,177,0.008622045003409897,0.98,0.30440516748598645,0.7035
178,0.004623351000658288,178,0.008475445219249065,0.982,0.28622045133795054,0.7147
179,0.004619194840212705,179,0.006822094853435244,0.9828,0.298775461103235,0.703
180,0.0046150177641696025,180,0.004875358017826719,0.9888,0.28418375615562713,0.7186
181,0.004610819813755035,181,0.004370594965959234,0.9886,0.2845813018935067,0.7218
182,0.0046066010304010785,182,0.003683577827177942,0.992,0.2798481632556234,0.7326
183,0.004602361455745421,183,0.002559526187334476,0.994,0.29280701215778077,0.7254
184,0.004598101131630952,184,0.004621506159725998,0.989,0.31193251609802247,0.7137
185,0.004593820100105353,185,0.0034439004334022422,0.9902,0.31402563452720644,0.7188
186,0.004589518403420674,186,0.005223144486080855,0.9876,0.3247724371297019,0.7109
187,0.004585196084032927,187,0.006487612657448543,0.983,0.33908028474875856,0.705
188,0.004580853184601658,188,0.006137275303314839,0.986,0.2979279914072582,0.7131
189,0.004576489747989531,189,0.008519879375983561,0.9804,0.2854143998452595,0.7166
190,0.004572105817261904,190,0.007648284543704774,0.9816,0.2792074080024447,0.7188
191,0.004567701435686403,191,0.006226475299003401,0.9852,0.29092846385070253,0.7127
192,0.004563276646732498,192,0.007633662283686655,0.982,0.3052451623337609,0.7008
193,0.004558831494071067,193,0.00661106198593708,0.9856,0.28433110426579206,0.7153
194,0.004554366021573974,194,0.00631732151045331,0.9842,0.2848959122385297,0.7179
195,0.00454988027331363,195,0.00483714749570936,0.9904,0.3033715586577143,0.7237
196,0.004545374293562557,196,0.004219402998153652,0.9894,0.3028622092945235,0.7209
197,0.004540848126792958,197,0.004561523444551442,0.9894,0.3081305914691516,0.7168
198,0.004536301817676272,198,0.005663147018224533,0.986,0.30236356258392333,0.7195
199,0.004531735411082732,199,0.006504024403901505,0.9848,0.28710709597383227,0.716
200,0.004527148952080931,200,0.004766459531882512,0.989,0.2893823076571737,0.7215
201,0.004522542485937366,201,0.004746853132798735,0.9882,0.3095847338438034,0.7211
202,0.0045179160581159976,202,0.005208096843645243,0.9892,0.2777383742587907,0.7297
203,0.004513269714277801,203,0.005946570789507989,0.9866,0.2969757948602949,0.726
204,0.004508603500280316,204,0.004926668591464737,0.9884,0.30338467700140814,0.718
205,0.0045039174621771885,205,0.0075776597052546486,0.9846,0.27563968864934785,0.7236
206,0.004499211646217724,206,0.004913163832056203,0.9888,0.27770208077771324,0.7212
207,0.004494486098846425,207,0.004061981555839468,0.991,0.2688328017081533,0.7303
208,0.004489740866702537,208,0.0030436098267922975,0.9932,0.2640617270554815,0.7414
209,0.004484975996619585,209,0.0031454344147018023,0.9932,0.28661051520279474,0.7311
210,0.004480191535624915,210,0.004288536279429016,0.9904,0.28895899653434753,0.724
211,0.004475387530939222,211,0.004117183373974902,0.9906,0.294845983173166,0.7272
212,0.004470564029976096,212,0.0038059505392863814,0.9908,0.30726646993841444,0.7181
213,0.004465721080341543,213,0.004798268978317667,0.9886,0.30930068407739914,0.7175
214,0.004460858729833521,214,0.004247813296803672,0.9902,0.3243803535188947,0.7176
215,0.004455977026441465,215,0.005130549681572509,0.988,0.294930918940476,0.7157
216,0.00445107601834582,216,0.004371367226121947,0.9888,0.29422981355871475,0.7276
217,0.0044461557539175545,217,0.004126697964966297,0.99,0.2974262984735625,0.7186
218,0.004441216281717692,218,0.004472941565992577,0.9904,0.3078256587897028,0.7158
219,0.004436257650496831,219,0.004696707846181068,0.9888,0.3096346921154431,0.7238
220,0.004431279909194657,220,0.00625542132350217,0.9868,0.32784857686076846,0.7087
221,0.004426283106939468,221,0.005102675565285608,0.9868,0.3205240956374577,0.7123
222,0.004421267293047687,222,0.005128253971426082,0.9862,0.33648560898644586,0.7065
223,0.00441623251702337,223,0.0061262131402535095,0.985,0.291710019324507,0.7245
224,0.004411178828557725,224,0.006249184731859714,0.988,0.31425212493964605,0.713
225,0.0044061062775286155,225,0.003934121749729716,0.9916,0.30175608737128123,0.7217
226,0.0044010149140000735,226,0.003594022218437333,0.9926,0.29250894082444057,0.7327
227,0.004395904788221801,227,0.004444207934180408,0.9894,0.2862190576536315,0.7285
228,0.004390775950628676,228,0.00301758222548025,0.9916,0.2858223061476435,0.7278
229,0.004385628451840256,229,0.0024722025205846875,0.9944,0.307963416831834,0.7199
230,0.004380462342660274,230,0.004709327803409126,0.9888,0.31584080585411617,0.7184
231,0.004375277674076145,231,0.007066614861001394,0.9856,0.32413758443934576,0.7114
232,0.004370074497258452,232,0.003792824795735734,0.9908,0.30190539572920116,0.7264
233,0.004364852863560451,233,0.003429266791291801,0.9926,0.3167186422007425,0.725
234,0.004359612824517558,234,0.004047638590314559,0.99,0.31278387584856576,0.7271
235,0.004354354431846843,235,0.005006169930233487,0.9888,0.33597192295960016,0.7137
236,0.0043490777374465195,236,0.005472737419352468,0.9866,0.3276862738387925,0.709
237,0.00434378279339543,237,0.006147117733157107,0.9864,0.31607732474803923,0.7185
238,0.0043384696519525355,238,0.004982365275334035,0.9866,0.32036234523568835,0.7207
239,0.004333138365556396,239,0.006572860994908426,0.9856,0.31189808355910437,0.7166
240,0.004327788986824657,240,0.004375525561460693,0.9894,0.27684168964624406,0.7325
241,0.0043224215685535245,241,0.0030820754522989905,0.9922,0.29619483947753905,0.7267
242,0.004317036163717253,242,0.003189866056033809,0.9918,0.3107369757124356,0.7247
