step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.005,1,0.2723390072584152,0.3064,0.24721352905035018,0.3513
2,0.0049987664009143295,2,0.23114717049258096,0.4114,0.25226648215736663,0.3977
3,0.00499506682107068,3,0.21847879503454481,0.451,0.2871915587357112,0.3619
4,0.004988904911507701,4,0.20419576508658274,0.4878,0.22886761873960496,0.4443
5,0.004980286753286196,5,0.19604509089674269,0.5114,0.2154505797794887,0.4608
6,0.004969220851487845,6,0.1898533638034548,0.5302,0.1989679875118392,0.5167
7,0.004955718126821723,7,0.1827139948095594,0.5464,0.18992347291537692,0.5293
8,0.004939791904846869,8,0.17439062893390656,0.56,0.21666132254259926,0.4743
9,0.004921457902821578,9,0.17116293822016035,0.5748,0.2038967366729464,0.5094
10,0.004900734214192358,10,0.16573162078857423,0.5882,0.21860073336533137,0.4876
11,0.004877641290737884,11,0.15910992856536593,0.597,0.18078349658421108,0.5437
12,0.004852201922385563,12,0.15414657699210302,0.6278,0.19222744330763816,0.5425
13,0.004824441214720628,13,0.15206028499773572,0.6234,0.17022023605448858,0.5771
14,0.004794386564209952,14,0.1477281853556633,0.6334,0.2067092533622469,0.5369
15,0.004762067631165048,15,0.14291076553719384,0.6468,0.16696289266858783,0.594
16,0.004727516310470919,16,0.13815242158515112,0.6572,0.17815597110560963,0.5669
17,0.0046907667001096585,17,0.13790975574936185,0.6602,0.17070168554782866,0.5974
18,0.004651855067509859,18,0.13156970058168685,0.677,0.1631689999784742,0.6067
19,0.004610819813755038,19,0.1293328862105097,0.6804,0.16131331409726823,0.6152
20,0.004567701435686405,20,0.1260433750493186,0.6904,0.15746422058769635,0.6202
21,0.004522542485937369,21,0.12286703267267772,0.6948,0.16445087481822288,0.6133
22,0.004475387530939226,22,0.11882031730243138,0.7046,0.1600204739187445,0.6173
23,0.004426283106939473,23,0.11683048648493631,0.7072,0.15483128822275571,0.6273
24,0.004375277674076149,24,0.11582867524453572,0.7116,0.15574758340205466,0.6326
25,0.00432242156855353,25,0.11034751938922065,0.7284,0.15477325799209732,0.6299
26,0.004267766952966369,26,0.1080993680017335,0.7352,0.1570777344916548,0.6366
