step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.005,1,0.3422813215520647,0.21125333333333332,0.3282040943702062,0.2576
2,0.0048776412907378846,2,0.3122648772266176,0.28616,0.3006510267655055,0.3149
3,0.0045225424859373685,3,0.30138758798440296,0.31333333333333335,0.30432443420092264,0.3208
4,0.003969463130731183,4,0.2919640756315655,0.3448,0.2789081409573555,0.3673
5,0.0032725424859373687,5,0.2856683631075753,0.3604,0.2759688585996628,0.3889
6,0.0025,6,0.28088423689206443,0.37765333333333334,0.2690148800611496,0.4043
7,0.0017274575140626316,7,0.277819648914867,0.38533333333333336,0.26434702600042026,0.4183
8,0.0010305368692688174,8,0.27467559423711563,0.39341333333333334,0.261069901039203,0.4234
9,0.00047745751406263163,9,0.27330955300066206,0.39842666666666665,0.26398235335946085,0.4173
10,0.00012235870926211617,10,0.27350914465056525,0.39741333333333334,0.2610574781894684,0.4248
