step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,2.3016880489349365,0.2605,,
2,0.0004999691581204152,2,2.299605025482178,0.2991,2.2989726707458495,0.2844
3,0.0004998766400914329,3,2.2971447525024415,0.2971,,
4,0.0004997224687404926,4,2.2942820755004885,0.2942,2.2896657356262207,0.26
5,0.0004995066821070679,5,2.290808112335205,0.2976,,
6,0.000499229333433282,6,2.2871359565734863,0.2924,2.284845101928711,0.303
7,0.00049889049115077,7,2.2825569229125975,0.2999,,
8,0.0004984902388637949,8,2.2778505031585694,0.3031,2.2739258659362793,0.3237
9,0.0004980286753286195,9,2.27223839302063,0.3061,,
10,0.0004975059144291394,10,2.266844002151489,0.3048,2.2601821041107177,0.3053
11,0.0004969220851487844,11,2.2607025333404542,0.3058,,
12,0.0004962773315386935,12,2.2536204635620116,0.3149,2.250761414718628,0.3304
13,0.0004955718126821722,13,2.2471742374420165,0.3116,,
14,0.0004948057026554414,14,2.239222587585449,0.3162,2.236133779525757,0.3402
15,0.0004939791904846868,15,2.2314723236083984,0.315,,
16,0.0004930924800994191,16,2.223960911178589,0.3196,2.212965308380127,0.305
17,0.0004921457902821577,17,2.215946063995361,0.3176,,
18,0.0004911393546144495,18,2.2065203330993652,0.3224,2.20033603515625,0.3116
19,0.0004900734214192357,19,2.1977086051940917,0.3259,,
20,0.0004889482536995824,20,2.1887195014953615,0.3284,2.1807807235717775,0.3314
21,0.0004877641290737883,21,2.17978810005188,0.3275,,
22,0.00048652133970688617,22,2.1701909408569335,0.3257,2.1655289867401124,0.3254
23,0.0004852201922385562,23,2.160054736709595,0.3305,,
24,0.0004838610077074667,24,2.1512191730499266,0.3306,2.1424961570739747,0.3346
25,0.00048244412147206266,25,2.141274029159546,0.3352,,
26,0.0004809698831278215,26,2.130682183456421,0.3376,2.122172061920166,0.3345
27,0.00047943865642099503,27,2.1217851821899414,0.3381,,
28,0.00047785081915886106,28,2.109329401397705,0.3398,2.107004797363281,0.3508
29,0.0004762067631165046,29,2.099876829147339,0.3434,,
30,0.00047450689394015364,30,2.090729067993164,0.3411,2.0804330699920652,0.3429
31,0.0004727516310470917,31,2.0789034336090086,0.3476,,
32,0.00047094140752217313,32,2.06933832321167,0.3456,2.0697928718566896,0.3366
33,0.00046907667001096557,33,2.05999718208313,0.344,,
34,0.00046715787860954753,34,2.0487720153808593,0.3461,2.041344179916382,0.3569
35,0.00046518550675098564,35,2.0406548225402834,0.35,,
36,0.0004631600410885228,36,2.03072712059021,0.3519,2.027313560295105,0.3484
37,0.0004610819813755035,37,2.019248313522339,0.3511,,
38,0.00045895184034206734,38,2.0089076766967775,0.3544,2.0007051696777345,0.353
39,0.00045677014356864016,39,1.997718474006653,0.3564,,
40,0.0004545374293562556,40,1.9886711666107177,0.3614,1.9907380096435547,0.3479
41,0.0004522542485937366,41,1.9777944622039796,0.3618,,
42,0.0004499211646217724,42,1.9696027227401733,0.3573,1.9649827823638917,0.3424
43,0.0004475387530939223,43,1.9583035877227783,0.3648,,
44,0.00044510760183458215,44,1.9515283796310425,0.3624,1.9534812931060792,0.337
45,0.000442628310693947,45,1.9421735851287842,0.3671,,
46,0.00044010149140000747,46,1.9337428268432617,0.3662,1.9334794792175294,0.3684
47,0.0004375277674076146,47,1.9243364574432373,0.3674,,
48,0.00043490777374465206,48,1.912039306640625,0.3745,1.9191363637924195,0.3586
49,0.00043224215685535255,49,1.901804133796692,0.3756,,
50,0.0004295315744407969,50,1.8930085430145263,0.3777,1.8951739976882935,0.3613
51,0.00042677669529663653,51,1.8818079429626464,0.3791,,
52,0.0004239781991480782,52,1.8749882501602173,0.3831,1.8756646524429321,0.3567
53,0.00042113677648217187,53,1.8661183570861817,0.4069,,
54,0.000418253128377443,54,1.859350881767273,0.4196,1.8696136390686036,0.4195
55,0.00041532796633091264,55,1.848198955154419,0.431,,
56,0.0004123620120825456,56,1.8422686141967775,0.4369,1.8599562564849854,0.4338
57,0.0004093559974371721,57,1.8341935474395752,0.4439,,
58,0.000406310664083926,58,1.822477861213684,0.4493,1.8386387826919555,0.42
59,0.0004032267634132438,59,1.8134986640930175,0.4524,,
60,0.00040010505633147073,60,1.8060050157546996,0.4576,1.8214935073852538,0.4275
61,0.000396946313073118,61,1.7998788019180298,0.4609,,
62,0.0003937513130108194,62,1.7892838502883912,0.4621,1.8179551290512086,0.4311
63,0.00039052084446303243,63,1.7840616874694823,0.4641,,
64,0.0003872557044995327,64,1.774325673675537,0.4642,1.802017537879944,0.4279
65,0.0003839566987447489,65,1.7694695539474488,0.4661,,
66,0.00038062464117898695,66,1.7587600984573364,0.4738,1.7834828273773193,0.442
67,0.0003772603539375926,67,1.7516805244445801,0.4738,,
68,0.0003738646671081017,68,1.7445066907882691,0.4775,1.7767915775299072,0.443
69,0.00037043841852542857,69,1.7371221725463868,0.4769,,
70,0.00036698245356514314,70,1.7362134740829467,0.4741,1.7637773389816285,0.442
71,0.00036349762493488645,71,1.7240077590942382,0.481,,
72,0.0003599847924639785,72,1.7154910482406616,0.4787,1.7478085346221923,0.4455
73,0.0003564448228912679,73,1.7084241687774657,0.4852,,
74,0.00035287858965127696,74,1.704086771774292,0.4832,1.7421217489242553,0.4544
75,0.0003492869726586949,75,1.6956184957504272,0.4857,,
76,0.0003456708580912722,76,1.6893434944152832,0.4882,1.7283690441131592,0.4489
77,0.00034203113817116924,77,1.6860167449951171,0.487,,
78,0.000338368710944814,78,1.6784755990982057,0.4885,1.7168316898345948,0.4495
79,0.0003346844800613226,79,1.6738066080093383,0.4876,,
80,0.00033097935454953704,80,1.6631783582687378,0.4946,1.7018218620300294,0.4585
81,0.00032725424859373655,81,1.6570834817886353,0.4963,,
82,0.0003235100813080757,82,1.6500435277938843,0.4971,1.6979700366973878,0.4506
83,0.0003197477765098071,83,1.6458263511657716,0.5013,,
84,0.0003159682624913429,84,1.6414353757858275,0.4941,1.6970514673233033,0.448
85,0.0003121724717912134,85,1.6330289543151855,0.5014,,
86,0.0003083613409639761,86,1.6304609521865845,0.5018,1.6740951070785521,0.4515
87,0.00030453581034913543,87,1.6207825206756592,0.502,,
88,0.0003006968238391279,88,1.6168755294799804,0.4989,1.6681170993804932,0.4651
89,0.000296845328646431,89,1.611725361251831,0.5028,,
90,0.00029298227506985216,90,1.6024890642166139,0.5063,1.6696770807266235,0.4494
91,0.0002891086162600575,91,1.5986203998565673,0.5023,,
92,0.0002852253079843955,92,1.592437388420105,0.5055,1.6482003526687623,0.4531
93,0.0002813333083910759,93,1.5880021478652955,0.5062,,
94,0.0002774335777727611,94,1.584136345100403,0.5054,1.6478654119491578,0.455
95,0.00027352707832962835,95,1.577409029006958,0.5066,,
96,0.000269614773931961,96,1.5723232793807984,0.512,1.6336754312515258,0.4553
97,0.0002656976298823281,97,1.5655848308563232,0.5095,,
98,0.0002617766126774104,98,1.5689185117721558,0.5036,1.6365838233947754,0.455
99,0.00025785268976953184,99,1.5602712562561034,0.5069,,
100,0.00025392682932795496,100,1.5550002853393554,0.5132,1.6305544511795045,0.4556
101,0.0002499999999999998,101,1.549751647377014,0.5116,,
102,0.00024607317067204467,102,1.5427420204162599,0.5115,1.6088900804519652,0.4586
103,0.0002421473102304677,103,1.5423898885726928,0.5113,,
104,0.00023822338732258912,104,1.5373306652069092,0.5149,1.6110457719802855,0.4562
105,0.00023430237011767144,105,1.5276162315368653,0.5153,,
106,0.00023038522606803858,106,1.5246779819488525,0.5122,1.5977134696960449,0.4615
107,0.0002264729216703712,107,1.5210748147964477,0.5135,,
108,0.0002225664222272385,108,1.5146187294006348,0.5129,1.598276482963562,0.4625
109,0.00021866669160892376,109,1.5133990442276002,0.5177,,
110,0.0002147746920156042,110,1.5073052436828613,0.518,1.5891105373382568,0.4608
111,0.0002108913837399421,111,1.5069355575561523,0.5151,,
112,0.00020701772493014742,112,1.4999880029678345,0.5173,1.5765953374862671,0.4634
113,0.0002031546713535687,113,1.4982977375030517,0.517,,
114,0.00019930317616087176,114,1.4988292667388916,0.512,1.5695162040710449,0.4576
115,0.0001954641896508643,115,1.4904460750579833,0.5177,,
116,0.0001916386590360235,116,1.482815595817566,0.52,1.5679037260055542,0.47
117,0.00018782752820878617,117,1.4817867307662964,0.521,,
118,0.00018403173750865666,118,1.477220160484314,0.5203,1.561929114151001,0.47
119,0.00018025222349019257,119,1.4731567253112794,0.5213,,
120,0.0001764899186919239,120,1.4700478384017945,0.5255,1.5559107833862305,0.4642
121,0.0001727457514062631,121,1.4681752382278443,0.5236,,
122,0.00016902064545046253,122,1.4667309936523438,0.5213,1.5574091066360474,0.4673
123,0.00016531551993867705,123,1.4624027084350586,0.5244,,
124,0.00016163128905518563,124,1.4569226722717286,0.5328,1.549259906578064,0.4716
125,0.00015796886182883044,125,1.4560644290924072,0.5257,,
126,0.0001543291419087275,126,1.45220040473938,0.529,1.5424157962799072,0.4724
127,0.0001507130273413047,127,1.4496788604736328,0.5288,,
128,0.0001471214103487227,128,1.446972312927246,0.5308,1.5389519590377807,0.475
129,0.00014355517710873172,129,1.4417019689559936,0.5317,,
130,0.0001400152075360211,130,1.4388404079437256,0.5366,1.5354680513381957,0.4713
131,0.0001365023750651132,131,1.4358129304885865,0.5352,,
132,0.0001330175464348566,132,1.433404525756836,0.5393,1.5333110845565796,0.4794
133,0.00012956158147457104,133,1.4344563695907593,0.5393,,
134,0.00012613533289189798,134,1.429278046798706,0.5376,1.5310565774917602,0.4799
135,0.00012273964606240704,135,1.4248227628707886,0.5466,,
136,0.00011937535882101267,136,1.4250581638336182,0.5417,1.5308299240112304,0.4955
137,0.00011604330125525064,137,1.4240394731521606,0.5446,,
138,0.0001127442955004669,138,1.4201921306610108,0.5449,1.5193591213226318,0.4891
139,0.0001094791555369672,139,1.416458306312561,0.5501,,
140,0.00010624868698918024,140,1.4147331689834595,0.5518,1.5182087419509889,0.5009
141,0.00010305368692688163,141,1.4118861074447633,0.5529,,
142,0.00009989494366852891,142,1.4095803722381592,0.5585,1.513910284614563,0.4919
143,0.00009677323658675574,143,1.4067878274917602,0.5566,,
144,0.00009368933591607359,144,1.4069388093948365,0.5592,1.5107918664932252,0.5054
145,0.00009064400256282745,145,1.4043251747131347,0.5557,,
146,0.00008763798791745401,146,1.4041346893310547,0.5635,1.5099206247329713,0.5067
147,0.00008467203366908697,147,1.4052782224655151,0.5632,,
148,0.00008174687162255655,148,1.39836554145813,0.5627,1.5057997833251953,0.5125
149,0.00007886322351782772,149,1.398056319999695,0.5656,,
150,0.00007602180085192133,150,1.3955164501190185,0.565,1.5003184181213378,0.5027
151,0.00007322330470336305,151,1.3946963794708251,0.5649,,
152,0.00007046842555920274,152,1.3897427110671996,0.5701,1.5023191450119018,0.5174
153,0.00006775784314464707,153,1.3915908504486083,0.5752,,
154,0.00006509222625534746,154,1.3888926765441894,0.5703,1.4943088178634643,0.5198
155,0.00006247223259238502,155,1.3884264404296875,0.576,,
156,0.00005989850859999219,156,1.388435089302063,0.5716,1.4997709772109986,0.5201
157,0.000057371689306052636,157,1.3859965446472169,0.5747,,
158,0.00005489239816541753,158,1.383655125427246,0.5784,1.493013988494873,0.5182
159,0.00005246124690607732,159,1.3831609657287598,0.5769,,
160,0.000050078835378227284,160,1.3829320207595825,0.5803,1.4949883745193482,0.516
161,0.000047745751406263096,161,1.3814478483200072,0.5793,,
162,0.00004546257064374411,162,1.3794887868881225,0.5779,1.4931025606155395,0.5186
163,0.00004322985643135951,163,1.3780778596878052,0.5809,,
164,0.00004104815965793243,164,1.3775631475448609,0.5826,1.4924792518615724,0.5257
165,0.00003891801862449623,165,1.3783051877975463,0.5809,,
166,0.00003683995891147696,166,1.3779794700622559,0.5803,1.4893352537155151,0.5172
167,0.00003481449324901401,167,1.376940453529358,0.582,,
168,0.00003284212139045212,168,1.375142893409729,0.5803,1.4893038885116576,0.5279
169,0.00003092332998903406,169,1.3758666559219361,0.5855,,
170,0.00002905859247782659,170,1.3734293090820313,0.5871,1.4935818384170532,0.5264
171,0.000027248368952908014,171,1.3727000247955323,0.587,,
172,0.00002549310605984608,172,1.371682018661499,0.5886,1.4858858308792113,0.5258
173,0.000023793236883495127,173,1.3719789577484132,0.5885,,
174,0.000022149180841138702,174,1.3716253461837769,0.5866,1.4886436260223388,0.5284
175,0.000020561343579004743,175,1.3721044816970824,0.5885,,
176,0.000019030116872178343,176,1.370639154624939,0.5873,1.4856237470626832,0.5224
177,0.000017555878527937136,177,1.3709158246994018,0.5839,,
178,0.000016138992292533132,178,1.3686485569000244,0.5885,1.4828041009902955,0.5265
179,0.000014779807761443615,179,1.3700169136047364,0.5905,,
180,0.000013478660293113657,180,1.3676014902114868,0.5899,1.4838104740142821,0.5204
181,0.0000122358709262116,181,1.3680283496856689,0.5925,,
182,0.000011051746300417455,182,1.3679860734939575,0.588,1.4839823707580566,0.528
183,9.926578580764248e-6,183,1.367365203666687,0.5916,,
184,8.860645385550496e-6,184,1.3677493242263794,0.5948,1.4847711233139038,0.5236
185,7.854209717842249e-6,185,1.3690186321258544,0.5896,,
186,6.907519900580852e-6,186,1.3672882261276245,0.591,1.4861704231262207,0.5301
187,6.0208095153131615e-6,187,1.3671188795089722,0.5917,,
188,5.1942973445585285e-6,188,1.3669765613555909,0.5934,1.4813240476608276,0.5258
189,4.4281873178278145e-6,189,1.36890393409729,0.5895,,
190,3.7226684613065283e-6,190,1.3677687019348144,0.5922,1.4832556028366088,0.5191
191,3.0779148512155813e-6,191,1.3674637594223022,0.5872,,
192,2.494085570860613e-6,192,1.3665889825820923,0.5942,1.4846517780303956,0.5297
193,1.9713246713805566e-6,193,1.3668162385940552,0.5934,,
194,1.5097611362050993e-6,194,1.3659493204116822,0.5908,1.4821600372314454,0.5269
195,1.1095088492299995e-6,195,1.3666255798339844,0.591,,
196,7.706665667180081e-7,196,1.367011393547058,0.5921,1.4862211587905885,0.5283
197,4.933178929321097e-7,197,1.3657375911712646,0.5924,,
198,2.7753125950752376e-7,198,1.3663330816268922,0.5935,1.481735146522522,0.5221
199,1.2335990856709983e-7,199,1.3676304014205933,0.5922,,
200,3.084187958485303e-8,200,1.3671232334136962,0.5915,1.4834771165847778,0.5335
