step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,1.8896484516143799,0.2994,,
2,0.0004999691581204152,2,1.6920282627105714,0.3898,1.919689751625061,0.316875
3,0.0004998766400914329,3,1.6515050785064698,0.3976,,
4,0.0004997224687404926,4,1.561959006881714,0.44,1.758389479637146,0.366875
5,0.0004995066821070679,5,1.5289053770065308,0.4512,,
6,0.000499229333433282,6,1.4999106525421142,0.453,1.5572776756286622,0.42075
7,0.00049889049115077,7,1.4554479183197022,0.475,,
8,0.0004984902388637949,8,1.43525415725708,0.4824,1.5200598106384278,0.438
9,0.0004980286753286195,9,1.4070560659408569,0.4956,,
10,0.0004975059144291394,10,1.365971812057495,0.51,1.5047963161468505,0.45525
11,0.0004969220851487844,11,1.341263973236084,0.5128,,
12,0.0004962773315386935,12,1.3413246263504028,0.518,1.4983919610977172,0.44475
13,0.0004955718126821722,13,1.3161691286087036,0.5278,,
14,0.0004948057026554414,14,1.2822960624694824,0.5392,1.3417457904815673,0.50875
15,0.0004939791904846868,15,1.2610804637908934,0.5508,,
16,0.0004930924800994191,16,1.2562328092575072,0.5466,1.539761570930481,0.457625
17,0.0004921457902821577,17,1.270133854866028,0.5422,,
18,0.0004911393546144495,18,1.2272918029785156,0.5612,1.4481266622543334,0.475
19,0.0004900734214192357,19,1.193837222290039,0.571,,
20,0.0004889482536995824,20,1.2118090446472167,0.5736,1.4502649202346802,0.476125
21,0.0004877641290737883,21,1.1970686616897583,0.569,,
22,0.00048652133970688617,22,1.1678813465118407,0.5806,1.3329240388870238,0.513875
23,0.0004852201922385562,23,1.1658226816177368,0.5836,,
24,0.0004838610077074667,24,1.1457779209136962,0.5898,1.2769572067260742,0.52875
25,0.00048244412147206266,25,1.1431880825042724,0.5902,,
26,0.0004809698831278215,26,1.1091615978240967,0.6006,1.30066184425354,0.53425
27,0.00047943865642099503,27,1.097255584335327,0.6074,,
28,0.00047785081915886106,28,1.091605266571045,0.6136,1.30954354095459,0.521625
29,0.0004762067631165046,29,1.0941904842376708,0.6032,,
30,0.00047450689394015364,30,1.0855527320861817,0.6064,1.3040511283874512,0.5235
31,0.0004727516310470917,31,1.0621736717224122,0.6206,,
32,0.00047094140752217313,32,1.0656725557327271,0.6224,1.2495320529937743,0.5495
33,0.00046907667001096557,33,1.0439857339859009,0.629,,
34,0.00046715787860954753,34,1.0314765926361085,0.6322,1.201177963256836,0.569125
35,0.00046518550675098564,35,1.027550957775116,0.636,,
36,0.0004631600410885228,36,0.9859129011154175,0.6452,1.1679387168884277,0.580875
37,0.0004610819813755035,37,0.9837505054473877,0.6506,,
38,0.00045895184034206734,38,0.9919670600891113,0.6464,1.16155149269104,0.576875
39,0.00045677014356864016,39,0.9685303997039795,0.6528,,
40,0.0004545374293562556,40,0.9748671747207641,0.6562,1.1542152919769286,0.57975
41,0.0004522542485937366,41,0.9923433116912842,0.652,,
42,0.0004499211646217724,42,0.98004326171875,0.6552,1.2268781661987305,0.5625
43,0.0004475387530939223,43,0.9565648260116577,0.6632,,
44,0.00044510760183458215,44,0.9263344057083129,0.6744,1.2078708143234254,0.564125
45,0.000442628310693947,45,0.9180111810684204,0.6794,,
46,0.00044010149140000747,46,0.9125896339416504,0.6762,1.1872890272140504,0.577
47,0.0004375277674076146,47,0.9464942189216614,0.6652,,
48,0.00043490777374465206,48,0.8935997898101806,0.679,1.139123589515686,0.591125
49,0.00043224215685535255,49,0.9015776405334472,0.6814,,
50,0.0004295315744407969,50,0.8943113355636597,0.6856,1.1417334880828858,0.589125
51,0.00042677669529663653,51,0.8862239610671997,0.6794,,
52,0.0004239781991480782,52,0.9072716535568237,0.6804,1.1692886610031128,0.5835
53,0.00042113677648217187,53,0.8727040563583374,0.691,,
54,0.000418253128377443,54,0.8653717267990112,0.6916,1.135628752708435,0.593875
55,0.00041532796633091264,55,0.8554991729736328,0.6972,,
56,0.0004123620120825456,56,0.8702740161895752,0.692,1.1891380863189698,0.580625
57,0.0004093559974371721,57,0.8443759052276611,0.7064,,
58,0.000406310664083926,58,0.8327435485839844,0.7048,1.1369474363327026,0.591375
59,0.0004032267634132438,59,0.8199048637390137,0.711,,
60,0.00040010505633147073,60,0.8362753547668457,0.7044,1.1576197938919068,0.589625
61,0.000396946313073118,61,0.8366081039428711,0.7072,,
62,0.0003937513130108194,62,0.8264960509300232,0.7084,1.2212438902854919,0.57225
63,0.00039052084446303243,63,0.804806335067749,0.7146,,
64,0.0003872557044995327,64,0.7850336391448974,0.726,1.1201546506881714,0.60275
65,0.0003839566987447489,65,0.7963935537338257,0.7176,,
66,0.00038062464117898695,66,0.783748355102539,0.7292,1.1519199652671814,0.594375
67,0.0003772603539375926,67,0.7635883464813232,0.7318,,
68,0.0003738646671081017,68,0.7645056648254395,0.7336,1.1586856298446655,0.586875
69,0.00037043841852542857,69,0.7795066278457642,0.7254,,
70,0.00036698245356514314,70,0.7658728309631347,0.7362,1.128299186706543,0.603375
71,0.00036349762493488645,71,0.7634399383544922,0.7322,,
72,0.0003599847924639785,72,0.7748485311508179,0.728,1.1391696968078613,0.5975
73,0.0003564448228912679,73,0.7397858659744263,0.741,,
74,0.00035287858965127696,74,0.758357455444336,0.7288,1.1271288223266602,0.605375
75,0.0003492869726586949,75,0.7552386083602906,0.735,,
76,0.0003456708580912722,76,0.7448700744628907,0.7446,1.1346364517211913,0.60575
77,0.00034203113817116924,77,0.7260957893371582,0.7468,,
78,0.000338368710944814,78,0.7137395350456238,0.758,1.0991396970748901,0.6195
79,0.0003346844800613226,79,0.6817210475921631,0.7604,,
80,0.00033097935454953704,80,0.6851119906425476,0.7676,1.096216139793396,0.616
81,0.00032725424859373655,81,0.6917669157028198,0.7586,,
82,0.0003235100813080757,82,0.6742861431121826,0.763,1.121859441757202,0.607625
83,0.0003197477765098071,83,0.6944377851486206,0.7628,,
84,0.0003159682624913429,84,0.661262449836731,0.7724,1.147805950164795,0.604875
85,0.0003121724717912134,85,0.6592657411575318,0.768,,
86,0.0003083613409639761,86,0.6281253597259522,0.7818,1.1310771884918214,0.611875
87,0.00030453581034913543,87,0.632469677066803,0.7896,,
88,0.0003006968238391279,88,0.6208604566574096,0.7856,1.0954575777053832,0.62375
89,0.000296845328646431,89,0.6214906929016113,0.7874,,
90,0.00029298227506985216,90,0.6336821890830994,0.7806,1.1151198663711548,0.620375
91,0.0002891086162600575,91,0.5995021203994751,0.7984,,
92,0.0002852253079843955,92,0.5932739929199219,0.804,1.1319300489425659,0.621625
93,0.0002813333083910759,93,0.622160092163086,0.7924,,
94,0.0002774335777727611,94,0.6075619400978088,0.792,1.1210131540298462,0.621375
95,0.00027352707832962835,95,0.5844860507965088,0.7986,,
96,0.000269614773931961,96,0.5860893880844116,0.7982,1.095310709476471,0.623375
97,0.0002656976298823281,97,0.5654202470779419,0.8054,,
98,0.0002617766126774104,98,0.5682971530914307,0.8078,1.126356671333313,0.617375
99,0.00025785268976953184,99,0.5732311288833618,0.8056,,
100,0.00025392682932795496,100,0.5685070148468018,0.8054,1.1166320161819459,0.62
101,0.0002499999999999998,101,0.535785548210144,0.821,,
102,0.00024607317067204467,102,0.5426656017303467,0.817,1.1049555215835571,0.6245
103,0.0002421473102304677,103,0.559545357131958,0.8068,,
104,0.00023822338732258912,104,0.5503458515167237,0.8156,1.1055642652511597,0.62475
105,0.00023430237011767144,105,0.5041039705276489,0.833,,
106,0.00023038522606803858,106,0.5318075498580933,0.8238,1.094909450531006,0.631125
107,0.0002264729216703712,107,0.5030476681709289,0.8342,,
108,0.0002225664222272385,108,0.5026993222236633,0.8318,1.0821472091674804,0.63575
109,0.00021866669160892376,109,0.47287280321121217,0.844,,
110,0.0002147746920156042,110,0.4871593331336975,0.8398,1.0931776056289673,0.634625
111,0.0002108913837399421,111,0.4958347808837891,0.8406,,
112,0.00020701772493014742,112,0.4826143672943115,0.842,1.1059500169754028,0.6265
113,0.0002031546713535687,113,0.4895499823570251,0.8362,,
114,0.00019930317616087176,114,0.4739499237060547,0.8456,1.1195103797912598,0.624375
115,0.0001954641896508643,115,0.4882806310653687,0.844,,
116,0.0001916386590360235,116,0.48014210453033446,0.8466,1.0976792116165162,0.63075
117,0.00018782752820878617,117,0.45499832878112795,0.8538,,
118,0.00018403173750865666,118,0.4537143459320068,0.856,1.1237247228622436,0.630375
119,0.00018025222349019257,119,0.47197705612182617,0.846,,
120,0.0001764899186919239,120,0.4493066177368164,0.8522,1.1353645343780518,0.627125
121,0.0001727457514062631,121,0.44504444007873534,0.8556,,
122,0.00016902064545046253,122,0.4511682077407837,0.8552,1.1136805305480957,0.62475
123,0.00016531551993867705,123,0.4429091693878174,0.8586,,
124,0.00016163128905518563,124,0.4355303903579712,0.861,1.1069216384887695,0.633375
125,0.00015796886182883044,125,0.41050055274963376,0.8726,,
126,0.0001543291419087275,126,0.4161300542831421,0.8678,1.10190070438385,0.634125
127,0.0001507130273413047,127,0.4124025804519653,0.8688,,
128,0.0001471214103487227,128,0.41721430282592775,0.8678,1.1060646615028382,0.634125
129,0.00014355517710873172,129,0.4076972082138062,0.8694,,
130,0.0001400152075360211,130,0.3848268491744995,0.8788,1.1141314554214476,0.63175
131,0.0001365023750651132,131,0.38963699378967287,0.8762,,
132,0.0001330175464348566,132,0.3988190326690674,0.8706,1.119079713821411,0.633375
133,0.00012956158147457104,133,0.38191466770172117,0.8864,,
134,0.00012613533289189798,134,0.37216896743774414,0.8886,1.1021431589126587,0.6355
135,0.00012273964606240704,135,0.3828858409881592,0.8866,,
136,0.00011937535882101267,136,0.3604059844970703,0.8924,1.0986678795814515,0.63575
137,0.00011604330125525064,137,0.36547385025024415,0.887,,
138,0.0001127442955004669,138,0.3568113640785217,0.89,1.1212329559326173,0.63775
139,0.0001094791555369672,139,0.35124362087249755,0.8934,,
140,0.00010624868698918024,140,0.3535158557891846,0.8956,1.1154971981048585,0.642375
141,0.00010305368692688163,141,0.35383532600402834,0.891,,
142,0.00009989494366852891,142,0.3380705058097839,0.8946,1.1077025709152222,0.639875
143,0.00009677323658675574,143,0.33491021423339845,0.8986,,
144,0.00009368933591607359,144,0.34897188301086424,0.8924,1.1219648971557616,0.633625
145,0.00009064400256282745,145,0.329807782459259,0.9044,,
146,0.00008763798791745401,146,0.3314323955535889,0.902,1.0980235538482666,0.64425
147,0.00008467203366908697,147,0.3282306309700012,0.9016,,
148,0.00008174687162255655,148,0.3216069519042969,0.91,1.1408312568664551,0.631125
149,0.00007886322351782772,149,0.32454387798309325,0.907,,
150,0.00007602180085192133,150,0.31093004570007327,0.9108,1.117051236152649,0.644
151,0.00007322330470336305,151,0.30736539478302,0.9114,,
152,0.00007046842555920274,152,0.3102021077156067,0.9146,1.1060151453018188,0.638375
153,0.00006775784314464707,153,0.30350918788909914,0.915,,
154,0.00006509222625534746,154,0.3093325824737549,0.91,1.1225913343429565,0.638625
155,0.00006247223259238502,155,0.30973397445678713,0.9112,,
156,0.00005989850859999219,156,0.29686988868713376,0.9174,1.120591269493103,0.63775
157,0.000057371689306052636,157,0.30153680572509767,0.9166,,
158,0.00005489239816541753,158,0.3007134552001953,0.9132,1.133167869567871,0.6345
159,0.00005246124690607732,159,0.29710208530426024,0.9164,,
160,0.000050078835378227284,160,0.28984655933380127,0.9228,1.123266489982605,0.635375
161,0.000047745751406263096,161,0.29195611362457274,0.9222,,
162,0.00004546257064374411,162,0.2876772142410278,0.9232,1.1270669937133788,0.6355
163,0.00004322985643135951,163,0.28731551027297975,0.9222,,
164,0.00004104815965793243,164,0.2804472213745117,0.9244,1.1181737241744996,0.6405
165,0.00003891801862449623,165,0.2786086051940918,0.93,,
166,0.00003683995891147696,166,0.2701133773803711,0.928,1.1101489572525025,0.64275
167,0.00003481449324901401,167,0.27427344341278076,0.9268,,
168,0.00003284212139045212,168,0.27869780025482177,0.9268,1.1105430965423584,0.646625
169,0.00003092332998903406,169,0.26271478023529055,0.9338,,
170,0.00002905859247782659,170,0.2839550785064697,0.9244,1.1290851373672486,0.63775
171,0.000027248368952908014,171,0.2650149995803833,0.927,,
172,0.00002549310605984608,172,0.27063564376831056,0.9288,1.1103103275299073,0.642375
173,0.000023793236883495127,173,0.2597897099494934,0.9356,,
174,0.000022149180841138702,174,0.2613586884498596,0.9358,1.1124558906555175,0.645
175,0.000020561343579004743,175,0.2574067366600037,0.9388,,
176,0.000019030116872178343,176,0.2658368637084961,0.9314,1.1053319854736328,0.643875
177,0.000017555878527937136,177,0.2506047045707703,0.9386,,
178,0.000016138992292533132,178,0.2537907078742981,0.9354,1.1199972162246703,0.640625
179,0.000014779807761443615,179,0.25554699630737304,0.937,,
180,0.000013478660293113657,180,0.25695582790374755,0.9382,1.1322417984008788,0.640375
