"Name","State","Notes","User","Tags","Created","Runtime","Sweep","T","batch_size","dataname","div","ensembles","epochs","max_lr","modelname","num_gpus","optimizer","scheduler","smooth","test_acc","test_loss","train_acc","train_loss"
"resnet50_20.78461_4_12","running","-","","","2024-10-31T02:51:33.000Z","3031","","20.78461","32","gtsrb","4","12","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.6845605700712589","0.03299230572635563","0.7576951951951952","0.024960813457677672"
"resnet50_20.78461_4_12","finished","-","","","2024-10-31T01:26:35.000Z","5092","","20.78461","32","oxfordpet","4","12","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.633687653311529","0.038008596501385494","0.9625","0.009081097210393003"
"resnet50_20.78461_4_12","finished","-","","","2024-10-31T00:43:01.000Z","2607","","20.78461","32","dtd","4","12","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.41117021276595744","0.07189798976512665","0.9452127659574469","0.014139905548159111"
"resnet50_20.78461_4_12","finished","-","","","2024-10-30T23:43:28.000Z","3567","","20.78461","32","flowers102","4","12","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.5215482192226378","0.06311329291213487","1","0.0026672783581649555"
"resnet50_20.78461_4_12","finished","-","","","2024-10-30T21:47:10.000Z","6971","","20.78461","32","caltech101","4","12","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.7914746543778802","0.026889526532725437","0.9700312860200888","0.010811015364857969"
"resnet50_14.69694_2_3","finished","-","","","2024-10-30T19:47:04.000Z","7197","","14.69694","32","gtsrb","2","3","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.9205859065716548","0.00973866024509556","0.9963588588588588","0.0015415967808471427"
"resnet50_14.69694_2_3","finished","-","","","2024-10-30T19:04:20.000Z","2559","","14.69694","32","oxfordpet","2","3","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.7181793404197329","0.029688248832695614","0.9994565217391304","0.0017964065216643655"
"resnet50_14.69694_2_3","finished","-","","","2024-10-30T18:42:24.000Z","1311","","14.69694","32","dtd","2","3","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.449468085106383","0.06954590548226174","0.9787234042553192","0.0067937761386658285"
"resnet50_14.69694_2_3","finished","-","","","2024-10-30T18:12:58.000Z","1761","","14.69694","32","flowers102","2","3","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.5371605139047","0.060527375380204626","1","0.001655210003110708"
"resnet50_14.69694_2_3","finished","-","","","2024-10-30T17:15:17.000Z","3453","","14.69694","32","caltech101","2","3","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.8502304147465438","0.019761682478010013","1","0.00226163963264165"
"resnet50_12.0_4_12","finished","-","","","2024-10-29T23:32:07.000Z","25299","","12","32","gtsrb","4","12","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.004750593824228029","NaN","0.00563063063063063","NaN"
"resnet50_12.0_4_12","finished","-","","","2024-10-29T22:06:12.000Z","5150","","12","32","oxfordpet","4","12","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.6492232215862633","0.03761560401431739","0.9918478260869564","0.004112852883079778"
"resnet50_12.0_4_12","finished","-","","","2024-10-29T21:22:03.000Z","2643","","12","32","dtd","4","12","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.42606382978723406","0.07080267195371871","0.9632978723404256","0.009946586548330937"
"resnet50_12.0_4_12","finished","-","","","2024-10-29T20:22:35.000Z","3560","","12","32","flowers102","4","12","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.530980647259717","0.0627623960687186","1","0.0013103199940101772"
"resnet50_12.0_4_12","finished","-","","","2024-10-29T18:24:36.000Z","7073","","12","32","caltech101","4","12","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.8076036866359447","0.023677545661155347","0.9851803062736704","0.006903181003126618"
"resnet50_3.0_2_3","finished","-","","","2024-10-29T16:23:17.000Z","7270","","3","32","gtsrb","2","3","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.9072050673000792","0.01120291538035124","0.9990990990990992","0.0004373332563516413"
"resnet50_3.0_2_3","finished","-","","","2024-10-29T15:40:33.000Z","2560","","3","32","oxfordpet","2","3","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.6347778686290543","0.04203558181767634","0.9991847826086956","0.0007693747577318193"
"resnet50_3.0_2_3","finished","-","","","2024-10-29T15:18:39.000Z","1309","","3","32","dtd","2","3","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.37872340425531914","0.10099148344486318","0.9920212765957448","0.002378682134316323"
"resnet50_3.0_2_3","finished","-","","","2024-10-29T14:48:53.000Z","1782","","3","32","flowers102","2","3","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.4911367702065377","0.07773948896747185","1","0.0008198340569494986"
"resnet50_3.0_2_3","finished","-","","","2024-10-29T13:50:30.000Z","3499","","3","32","caltech101","2","3","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.8421658986175116","0.019231686915074993","1","0.000935565466795803"
"resnet50_12.0_1_1","finished","-","","","2024-10-29T12:50:35.000Z","3587","","12","32","gtsrb","1","1","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.9170229612034838","0.011688720998564411","0.9983108108108107","0.0009422051062731928"
"resnet50_12.0_1_1","finished","-","","","2024-10-29T12:12:15.000Z","2295","","12","32","oxfordpet","1","1","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.7964022894521668","0.023889110939164484","1","0.0010444971024180236"
"resnet50_12.0_1_1","finished","-","","","2024-10-29T11:52:23.000Z","1179","","12","32","dtd","1","1","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.40797872340425534","0.08499099165201188","0.9973404255319148","0.0020190316272225787"
