step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.29602333081563315,0.437,,
2,0.0004999691581204152,2,0.2353973883628845,0.5628,0.22558649873733522,0.565
3,0.0004998766400914329,3,0.21375991023381552,0.6022,,
4,0.0004997224687404926,4,0.1963885466893514,0.6344,0.19312822850545247,0.616
5,0.0004995066821070679,5,0.18643009386062623,0.6466,,
6,0.000499229333433282,6,0.17895208613077798,0.6636,0.20806263637542724,0.582
7,0.00049889049115077,7,0.16973726030985514,0.6814,,
8,0.0004984902388637949,8,0.1603404038588206,0.6894,0.16333485158284505,0.668
9,0.0004980286753286195,9,0.1538594561100006,0.7048,,
10,0.0004975059144291394,10,0.15180425066947936,0.7098,0.1616351927916209,0.676
11,0.0004969220851487844,11,0.14651417452494303,0.7252,,
12,0.0004962773315386935,12,0.14467861903508505,0.7228,0.15737621784210204,0.669
13,0.0004955718126821722,13,0.1415577178955078,0.725,,
14,0.0004948057026554414,14,0.13692411185900372,0.7392,0.15983828600247701,0.667
15,0.0004939791904846868,15,0.13490823828379314,0.739,,
16,0.0004930924800994191,16,0.13171449767748514,0.7528,0.13998531341552733,0.72
17,0.0004921457902821577,17,0.12517230037053426,0.7592,,
18,0.0004911393546144495,18,0.12078684067726135,0.7684,0.13670628094673157,0.709
19,0.0004900734214192357,19,0.11751563409169515,0.7758,,
20,0.0004889482536995824,20,0.11630930099487305,0.7758,0.1410746222337087,0.72
21,0.0004877641290737883,21,0.1177632733186086,0.7716,,
22,0.00048652133970688617,22,0.11252281217575073,0.7748,0.130932102282842,0.742
23,0.0004852201922385562,23,0.11247183818817139,0.7816,,
24,0.0004838610077074667,24,0.11228396719296774,0.7784,0.12632909440994264,0.74
25,0.00048244412147206266,25,0.10906724332173666,0.7882,,
26,0.0004809698831278215,26,0.10769049123128255,0.788,0.12944509291648865,0.734
27,0.00047943865642099503,27,0.10823082663218181,0.7828,,
28,0.00047785081915886106,28,0.10676208527882894,0.7938,0.124454860607783,0.749
29,0.0004762067631165046,29,0.1068867558479309,0.7856,,
30,0.00047450689394015364,30,0.10525434877077738,0.7874,0.11732154250144959,0.767
31,0.0004727516310470917,31,0.10126487112045288,0.804,,
32,0.00047094140752217313,32,0.10069680503209431,0.7982,0.12349294487635294,0.754
33,0.00046907667001096557,33,0.0961698538462321,0.8022,,
34,0.00046715787860954753,34,0.09988235674699147,0.807,0.1189203397432963,0.756
35,0.00046518550675098564,35,0.09272819267908732,0.8182,,
36,0.0004631600410885228,36,0.09424067907333374,0.816,0.12010527578989665,0.757
37,0.0004610819813755035,37,0.09334332027435303,0.8178,,
38,0.00045895184034206734,38,0.09235586326917013,0.8192,0.11932986664772034,0.769
39,0.00045677014356864016,39,0.09412500106493632,0.809,,
40,0.0004545374293562556,40,0.08860777775446574,0.8192,0.12020557308197022,0.754
41,0.0004522542485937366,41,0.09338396085103352,0.812,,
42,0.0004499211646217724,42,0.09205684719085694,0.8176,0.1104285531838735,0.773
43,0.0004475387530939223,43,0.09356429017384847,0.8138,,
44,0.00044510760183458215,44,0.09227672758102418,0.8186,0.11244334204991659,0.771
45,0.000442628310693947,45,0.08716177571614583,0.8258,,
46,0.00044010149140000747,46,0.08609183680216471,0.8312,0.11092023491859436,0.781
47,0.0004375277674076146,47,0.08521897530555725,0.8318,,
48,0.00043490777374465206,48,0.08301050383249918,0.8336,0.10650338745117187,0.785
49,0.00043224215685535255,49,0.08370406924883525,0.8326,,
50,0.0004295315744407969,50,0.0803031847000122,0.8424,0.10695184874534606,0.779
51,0.00042677669529663653,51,0.08217044534683228,0.8428,,
52,0.0004239781991480782,52,0.08005818112691243,0.8388,0.10846103437741597,0.786
53,0.00042113677648217187,53,0.0778005110581716,0.846,,
54,0.000418253128377443,54,0.07521999613444011,0.8554,0.10446550973256429,0.782
55,0.00041532796633091264,55,0.07705981699625651,0.844,,
56,0.0004123620120825456,56,0.08043315089543661,0.8364,0.10165865898132324,0.787
57,0.0004093559974371721,57,0.07699707309405009,0.8426,,
58,0.000406310664083926,58,0.07441210195223491,0.852,0.10157819263140361,0.785
59,0.0004032267634132438,59,0.0720652148882548,0.8602,,
60,0.00040010505633147073,60,0.07831407910982768,0.8406,0.11111417388916016,0.778
61,0.000396946313073118,61,0.07280682172775269,0.8532,,
62,0.0003937513130108194,62,0.07320403874715169,0.856,0.11131416034698487,0.769
