step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.2774739013671875,0.3966,,
2,0.0004999950652140343,2,0.24014670813878378,0.488,,
3,0.0004999802610509541,3,0.22279739656448364,0.5354,,
4,0.0004999555880952023,4,0.2152990914662679,0.5528,,
5,0.000499921047320825,5,0.20584280074437458,0.5678,0.21684784634908041,0.558
6,0.0004998766400914329,6,0.19898049856821695,0.5856,,
7,0.0004998223681601473,7,0.1897966704686483,0.6074,,
8,0.0004997582336695312,8,0.19363445097605386,0.585,,
9,0.0004996842391515044,9,0.18046728407541912,0.6258,,
10,0.0004996003875272438,10,0.17639660930633544,0.6314,0.18852105752627055,0.625
11,0.0004995066821070679,11,0.1758835600535075,0.6316,,
12,0.0004994031265903063,12,0.16685197092692058,0.6524,,
13,0.0004992897250651535,13,0.16719090894063313,0.6512,,
14,0.0004991664820085074,14,0.16720869868596394,0.6548,,
15,0.0004990334022857932,15,0.15849225373268128,0.6682,0.21316252867380778,0.578
16,0.0004988904911507701,16,0.15542018845876057,0.6822,,
17,0.0004987377542453251,17,0.1648107801357905,0.6658,,
18,0.0004985751975992498,18,0.1488822604974111,0.6898,,
19,0.0004984028276300022,19,0.1459948161125183,0.6928,,
20,0.0004982206511424535,20,0.14892027349472045,0.694,0.1657558581829071,0.666
21,0.0004980286753286196,21,0.14307885427474976,0.7058,,
22,0.0004978269077673767,22,0.13862691914240519,0.7086,,
23,0.0004976153564241628,23,0.14326853202184042,0.7012,,
24,0.0004973940296506627,24,0.1429309641202291,0.7012,,
25,0.0004971629361844785,25,0.13483343504269918,0.7174,0.16854950666427612,0.676
26,0.0004969220851487844,26,0.13514371948242188,0.7164,,
27,0.000496671486051967,27,0.13377531960805258,0.7256,,
28,0.0004964111487872495,28,0.12927708263397217,0.7326,,
29,0.0004961410836323014,29,0.13144538590113322,0.7308,,
30,0.0004958613012488324,30,0.12857075519561767,0.7334,0.1561230431397756,0.683
31,0.0004955718126821722,31,0.11677410888671876,0.759,,
32,0.0004952726293608335,32,0.1176263378461202,0.7586,,
33,0.0004949637630960617,33,0.12941577529907228,0.7316,,
34,0.000494645226081368,34,0.12311413764953613,0.742,,
35,0.0004943170308920483,35,0.13012983938852946,0.725,0.14951743284861246,0.701
36,0.0004939791904846868,36,0.1095849330107371,0.7716,,
37,0.0004936317181966442,37,0.11059282805124919,0.7756,,
38,0.0004932746277455316,38,0.11016902230580648,0.7726,,
39,0.0004929079332286684,39,0.11041554053624471,0.7712,,
40,0.0004925316491225263,40,0.10926650783220927,0.7722,0.16466944599151612,0.684
41,0.0004921457902821576,41,0.10120447025299072,0.7858,,
42,0.0004917503719406085,42,0.10842935269673665,0.7744,,
43,0.0004913454097083182,43,0.1125624994913737,0.7698,,
