step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,6.875231789398193,0.0468,,
2,0.0004999691581204152,2,5.340606899261474,0.0763,6.426853769683838,0.0809
3,0.0004998766400914329,3,4.959986326599121,0.0931,,
4,0.0004997224687404926,4,4.596670999908447,0.1218,5.051526249694824,0.1073
5,0.0004995066821070679,5,4.175626182556153,0.149,,
6,0.000499229333433282,6,4.046286281585694,0.1654,4.177779894256592,0.1802
7,0.00049889049115077,7,3.8205108116149904,0.1924,,
8,0.0004984902388637949,8,3.609230319213867,0.2123,3.8789965213775637,0.2144
9,0.0004980286753286195,9,3.4228849868774414,0.2366,,
10,0.0004975059144291394,10,3.3387632053375245,0.2418,4.078312339019775,0.2031
11,0.0004969220851487844,11,3.2281594398498537,0.2619,,
12,0.0004962773315386935,12,3.1000690452575683,0.2788,3.831242681121826,0.2372
13,0.0004955718126821722,13,3.000869947052002,0.2988,,
14,0.0004948057026554414,14,2.930588088989258,0.3039,3.7079465427398683,0.2713
15,0.0004939791904846868,15,2.8488096714019777,0.3214,,
16,0.0004930924800994191,16,2.7159667219161987,0.3434,3.4550133766174316,0.2809
17,0.0004921457902821577,17,2.6522581077575684,0.3477,,
18,0.0004911393546144495,18,2.625882851409912,0.3612,3.495627272796631,0.2811
19,0.0004900734214192357,19,2.552742265319824,0.3711,,
20,0.0004889482536995824,20,2.477381274032593,0.3848,3.6982945682525634,0.2729
21,0.0004877641290737883,21,2.4528409858703615,0.3947,,
22,0.00048652133970688617,22,2.372900796127319,0.4011,3.5151389457702638,0.2974
23,0.0004852201922385562,23,2.303922888183594,0.4166,,
24,0.0004838610077074667,24,2.259184809112549,0.4255,3.4878000633239745,0.3122
25,0.00048244412147206266,25,2.1424683532714845,0.4448,,
26,0.0004809698831278215,26,2.0811596466064453,0.4542,3.6262755897521974,0.2991
27,0.00047943865642099503,27,2.0908319301605225,0.4577,,
28,0.00047785081915886106,28,2.071638507080078,0.4709,3.563128913116455,0.3056
29,0.0004762067631165046,29,1.975370105743408,0.4735,,
30,0.00047450689394015364,30,1.9616979904174805,0.4843,3.5007649490356445,0.3347
31,0.0004727516310470917,31,1.913026169204712,0.4901,,
32,0.00047094140752217313,32,1.8464441436767578,0.5046,3.5366096004486085,0.3309
33,0.00046907667001096557,33,1.7685002656936646,0.5213,,
34,0.00046715787860954753,34,1.7696952880859376,0.5274,3.494350819396973,0.3364
35,0.00046518550675098564,35,1.6750997783660888,0.5439,,
36,0.0004631600410885228,36,1.7188099613189698,0.5278,3.618971403503418,0.3308
37,0.0004610819813755035,37,1.618951427078247,0.5527,,
