step,lr,epoch,train_loss
1,0.01,1,0.011658290217121442
2,0.01,2,0.0027927745446562767
3,0.01,3,0.002570355183382829
4,0.01,4,0.0024481516549984613
5,0.01,5,0.0022998110216856005
6,0.01,6,0.0022767564701040586
7,0.01,7,0.0023001737299064794
8,0.01,8,0.0022978642977277437
9,0.01,9,0.0022728556913634143
10,0.01,10,0.002294551458656788
11,0.01,11,0.002237886606603861
12,0.01,12,0.0022625670870641866
13,0.01,13,0.0022496643445889153
14,0.01,14,0.002241148301412662
15,0.01,15,0.0022431016753117245
16,0.01,16,0.002213808451940616
17,0.01,17,0.002237937337309122
18,0.01,18,0.0022659213270743686
19,0.01,19,0.002223664729843537
20,0.01,20,0.0022293872557083766
21,0.01,21,0.002198711430430412
22,0.01,22,0.0022431986723840235
23,0.01,23,0.0022059026061495147
24,0.01,24,0.002209124929706256
25,0.01,25,0.002198641475588083
26,0.01,26,0.0022304243897398315
27,0.01,27,0.0022070506700376667
28,0.01,28,0.0022174169833461444
29,0.01,29,0.002212869454920292
30,0.01,30,0.0022149717164039614
31,0.01,31,0.002206650886386633
32,0.01,32,0.00219538519958655
33,0.01,33,0.002219137061635653
34,0.01,34,0.0022478084674974284
35,0.01,35,0.0022066320305565994
36,0.01,36,0.0021632608360548813
37,0.01,37,0.0021695160184800623
38,0.01,38,0.002156695483227571
39,0.01,39,0.002159946145315965
40,0.01,40,0.0021517954480151334
41,0.01,41,0.002146335519303878
42,0.01,42,0.0021454794124762216
43,0.01,43,0.0021648518360654514
44,0.01,44,0.0021596887457867465
45,0.01,45,0.002161091537028551
46,0.01,46,0.0021483923796812693
47,0.01,47,0.0021580921937028566
48,0.01,48,0.002182400818516811
49,0.01,49,0.002123351371785005
50,0.01,50,0.0021481051566203434
51,0.01,51,0.002165546369155248
52,0.01,52,0.0021572886761526268
53,0.01,53,0.002123056521912416
54,0.01,54,0.0021795696107049785
55,0.01,55,0.0021256315862139066
56,0.01,56,0.002176226653009653
57,0.01,57,0.0021347886601090433
58,0.01,58,0.002186265325297912
59,0.01,59,0.0021064486192166804
60,0.01,60,0.002148130983312925
61,0.01,61,0.0021307121560474236
62,0.01,62,0.0021300364472468694
63,0.01,63,0.0021643758070965607
64,0.01,64,0.002103193512360255
65,0.01,65,0.0021544209749499955
66,0.01,66,0.0021304863961040975
67,0.01,67,0.0021704624231656394
68,0.01,68,0.0021158181142310302
69,0.01,69,0.002126529125769933
70,0.01,70,0.0021438754011690615
71,0.01,71,0.0021164843123654526
72,0.01,72,0.0021346113677322863
73,0.01,73,0.002134911026308934
74,0.01,74,0.0021499621205031873
75,0.01,75,0.002127914777348439
76,0.01,76,0.00212245824277401
77,0.01,77,0.0021073008668919405
78,0.01,78,0.0021249883222579954
79,0.01,79,0.0021475085906187694
80,0.01,80,0.0021305027977128826
81,0.01,81,0.002109280393868685
82,0.01,82,0.002102273875127236
83,0.01,83,0.002131282412111759
84,0.01,84,0.0021028237378100554
85,0.01,85,0.0021148839835325875
86,0.01,86,0.0021329487287501496
87,0.01,87,0.0021087478143473467
88,0.01,88,0.002118248408585787
89,0.01,89,0.0021026943718890348
90,0.01,90,0.0021226878397663435
91,0.01,91,0.0021176259727279344
92,0.01,92,0.0021268929523726304
93,0.01,93,0.0021073037668069205
94,0.01,94,0.0021075465524196626
95,0.01,95,0.0021194473069906235
96,0.01,96,0.0021102683236201604
97,0.01,97,0.0020667130119601885
98,0.01,98,0.002145878251691659
99,0.01,99,0.0020855531075100104
100,0.01,100,0.002129255328128735
