step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,1.8358691194534302,0.364,,
2,0.0004999691581204152,2,1.479082874107361,0.4932,1.474076374053955,0.506
3,0.0004998766400914329,3,1.3616788314819337,0.5354,,
4,0.0004997224687404926,4,1.2447742738723755,0.5766,1.2881758670806884,0.578
5,0.0004995066821070679,5,1.1761312286376953,0.5972,,
6,0.000499229333433282,6,1.1053247032165527,0.6202,1.083928812980652,0.635
7,0.00049889049115077,7,1.0289180461883545,0.6452,,
8,0.0004984902388637949,8,0.9998832359313965,0.662,1.093850375175476,0.644
9,0.0004980286753286195,9,0.9339174007415771,0.677,,
10,0.0004975059144291394,10,0.8990369789123536,0.6876,1.0519290027618409,0.645
11,0.0004969220851487844,11,0.840047338104248,0.711,,
12,0.0004962773315386935,12,0.8575766262054443,0.7018,0.9055669093132019,0.696
13,0.0004955718126821722,13,0.7991855560302734,0.727,,
14,0.0004948057026554414,14,0.808087665939331,0.7246,0.8769220132827759,0.708
15,0.0004939791904846868,15,0.7547247045516968,0.7438,,
16,0.0004930924800994191,16,0.7179810148715973,0.749,0.826099997997284,0.739
17,0.0004921457902821577,17,0.6317577621459961,0.7818,,
18,0.0004911393546144495,18,0.6588955451965332,0.779,0.9676674404144288,0.695
19,0.0004900734214192357,19,0.616539974451065,0.7864,,
20,0.0004889482536995824,20,0.5992221213340759,0.7934,0.791971761226654,0.748
21,0.0004877641290737883,21,0.5715709935188293,0.8028,,
22,0.00048652133970688617,22,0.5284332277297974,0.824,0.7871185936927796,0.754
23,0.0004852201922385562,23,0.5414963884353637,0.8116,,
24,0.0004838610077074667,24,0.5321537607192993,0.8194,0.8346063995361328,0.749
25,0.00048244412147206266,25,0.5381984155654908,0.817,,
26,0.0004809698831278215,26,0.5167374747276307,0.8246,0.7409066486358643,0.772
27,0.00047943865642099503,27,0.4701931279182434,0.8342,,
28,0.00047785081915886106,28,0.4628424748420715,0.8396,0.7417929558753967,0.775
29,0.0004762067631165046,29,0.4177504987716675,0.8558,,
30,0.00047450689394015364,30,0.46585967206954954,0.835,0.828716881275177,0.753
31,0.0004727516310470917,31,0.49030812435150145,0.8298,,
32,0.00047094140752217313,32,0.49821219749450685,0.8298,0.7134783959388733,0.774
33,0.00046907667001096557,33,0.42987740144729614,0.847,,
34,0.00046715787860954753,34,0.39511645669937134,0.8576,0.8045882062911988,0.774
35,0.00046518550675098564,35,0.3563147689819336,0.881,,
36,0.0004631600410885228,36,0.4196248388290405,0.8518,0.8305688762664795,0.752
37,0.0004610819813755035,37,0.35445588722229004,0.8744,,
38,0.00045895184034206734,38,0.39904117393493654,0.8628,0.7560047965049743,0.772
39,0.00045677014356864016,39,0.36241786088943484,0.878,,
40,0.0004545374293562556,40,0.42524980635643006,0.8538,0.7266367192268371,0.781
41,0.0004522542485937366,41,0.3350853964805603,0.8844,,
42,0.0004499211646217724,42,0.33350403985977173,0.8822,0.7864004344940185,0.784
43,0.0004475387530939223,43,0.33967662467956544,0.882,,
44,0.00044510760183458215,44,0.2810072678565979,0.9022,0.675648775100708,0.81
45,0.000442628310693947,45,0.24479338679313659,0.9136,,
46,0.00044010149140000747,46,0.25525932874679563,0.9146,0.6873376512527466,0.806
47,0.0004375277674076146,47,0.25988615379333496,0.911,,
48,0.00043490777374465206,48,0.27685352821350095,0.9048,0.7814043526649475,0.792
49,0.00043224215685535255,49,0.32877592182159426,0.8846,,
50,0.0004295315744407969,50,0.3488983134150505,0.8792,0.7748874235153198,0.805
51,0.00042677669529663653,51,0.23002627582550048,0.92,,
52,0.0004239781991480782,52,0.2829344264984131,0.9016,0.8715313329696656,0.766
53,0.00042113677648217187,53,0.3117589620113373,0.893,,
54,0.000418253128377443,54,0.24364995579719542,0.9206,0.7180647115707397,0.817
55,0.00041532796633091264,55,0.20404869537353515,0.9318,,
56,0.0004123620120825456,56,0.25014466524124146,0.9146,0.7244329323768616,0.807
57,0.0004093559974371721,57,0.2530826874256134,0.9148,,
58,0.000406310664083926,58,0.19133744592666627,0.9324,0.6525939855575561,0.826
59,0.0004032267634132438,59,0.22634475190639497,0.9222,,
60,0.00040010505633147073,60,0.164074174785614,0.9448,0.753748445034027,0.807
61,0.000396946313073118,61,0.22986481380462648,0.92,,
