step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.3295279757181803,0.266,,
2,0.0004999802610509541,2,0.29734917751948037,0.33475,,
3,0.0004999210473208251,3,0.28309096590677896,0.36325,0.3197186560630798,0.320125
4,0.0004998223681601474,4,0.27556387440363567,0.3845,,
5,0.0004996842391515044,5,0.26980004278818764,0.4015,0.2890494081179301,0.36175
6,0.0004995066821070679,6,0.2629853366216024,0.419,,
7,0.0004992897250651535,7,0.2582009606361389,0.42925,,
8,0.0004990334022857932,8,0.25236536423365274,0.44325,0.2778765041033427,0.384625
9,0.0004987377542453251,9,0.2467892279624939,0.46,,
10,0.0004984028276300022,10,0.2430007898012797,0.4675,0.2604616096814473,0.41675
11,0.0004980286753286196,11,0.2398066266377767,0.4615,,
12,0.0004976153564241628,12,0.23563258091608683,0.4825,,
13,0.0004971629361844786,13,0.23575627247492473,0.47575,0.26184516445795697,0.430375
14,0.0004966714860519671,14,0.23158568509419758,0.48925,,
15,0.0004961410836323015,15,0.23037159125010173,0.49075,0.24685266478856405,0.454625
16,0.0004955718126821723,16,0.22495341539382935,0.50575,,
17,0.0004949637630960619,17,0.22136023696263632,0.51275,,
18,0.0004943170308920486,18,0.22076352723439535,0.51775,0.25101946338017783,0.449875
19,0.0004936317181966445,19,0.21487885395685832,0.536,,
20,0.0004929079332286687,20,0.21760505628585816,0.52,0.24620492013295492,0.4655
21,0.000492145790282158,21,0.21067851320902506,0.542,,
22,0.0004913454097083187,22,0.21157449515660604,0.53125,,
23,0.0004905069178965217,23,0.20956628974278768,0.53325,0.249700887521108,0.454875
24,0.0004896304472543443,24,0.2035269432067871,0.55,,
25,0.0004887161361866611,25,0.2026983470916748,0.5485,0.2545088874499003,0.455125
26,0.00048776412907378867,26,0.2039709636370341,0.54125,,
27,0.0004867745762486863,27,0.19897872177759807,0.5635,,
28,0.0004857476339732164,28,0.19740115356445312,0.5655,0.23507619126637777,0.488375
29,0.0004846834644134688,29,0.19474577728907266,0.5755,,
30,0.0004835822356141533,30,0.19395593007405598,0.5785,0.23727263832092285,0.4785
31,0.0004824441214720631,31,0.1898561930656433,0.59275,,
32,0.00048126930170861473,32,0.18675577195485432,0.589,,
33,0.00048005796184146784,33,0.18752913888295492,0.5875,0.2581476502418518,0.460125
34,0.0004788102931552296,34,0.18667702881495157,0.59125,,
35,0.00047752649267124916,35,0.18215656677881878,0.603,0.24781918350855509,0.478875
36,0.00047620676311650517,36,0.183005646387736,0.6035,,
37,0.00047485131289159304,37,0.18284306367238362,0.599,,
38,0.0004734603560378162,38,0.17947143983840944,0.6035,0.24554848432540893,0.479625
39,0.0004720341122033864,39,0.17331371895472208,0.61925,,
40,0.0004705728066087386,40,0.17452976910273235,0.6185,0.2450328582127889,0.493875
41,0.00046907667001096616,41,0.17273091236750285,0.62625,,
42,0.0004675459386673817,42,0.17252031294504802,0.62725,,
43,0.00046598085429820906,43,0.16651914326349895,0.63475,0.23363535531361898,0.512375
44,0.00046438166404841335,44,0.16625433389345806,0.63125,,
45,0.00046274862044867326,45,0.16320452690124512,0.6475,0.24404769643147786,0.48425
46,0.00046108198137550404,46,0.16536998716990153,0.642,,
47,0.00045938201001053574,47,0.1634581430753072,0.6465,,
48,0.0004576489747989535,48,0.15858129437764484,0.65825,0.2265083440144857,0.521625
49,0.0004558831494071071,49,0.15557940816879273,0.65725,,
50,0.00045408481267929625,50,0.1524979058901469,0.674,0.2418223506609599,0.514625
51,0.0004522542485937371,51,0.15613444248835245,0.6575,,
52,0.00045039174621771936,52,0.15580380487442017,0.66125,,
53,0.000448497599661959,53,0.14967291021347046,0.67975,0.2416650244394938,0.50775
54,0.00044657210803415487,54,0.1477485318183899,0.6765,,
55,0.00044461557539175604,55,0.14434576463699342,0.6935,0.23728835916519164,0.509375
56,0.00044262831069394744,56,0.14299806586901348,0.694,,
57,0.00044061062775286214,57,0.1468244591554006,0.682,,
58,0.0004385628451840262,58,0.14166569868723553,0.697,0.24313886944452923,0.50975
59,0.0004364852863560458,59,0.1375378376642863,0.70325,,
60,0.0004343782793395437,60,0.13399703979492186,0.7175,0.25416501744588216,0.496
61,0.0004322421568553531,61,0.13799592208862305,0.7035,,
62,0.00043007725622197686,62,0.13650001295407613,0.70975,,
63,0.00042788391930232155,63,0.1373783363501231,0.701,0.24085971800486247,0.51525
64,0.00042566249244971246,64,0.12827444044748942,0.731,,
65,0.00042341332645320136,65,0.12838168946901957,0.72325,0.2559686811765035,0.505375
66,0.0004211367764821723,66,0.12765740036964415,0.72175,,
67,0.0004188332020302562,67,0.12770358562469483,0.73,,
68,0.00041650296685856306,68,0.12354957540829976,0.739,0.24211663325627644,0.521625
69,0.0004141464389382392,69,0.12262464729944865,0.74175,,
70,0.00041176399039236127,70,0.11900313297907511,0.743,0.242796351591746,0.516375
71,0.0004093559974371726,71,0.12134415968259175,0.7435,,
72,0.00040692284032267526,72,0.11638005471229554,0.749,,
73,0.0004044649032725837,73,0.11556832567850749,0.753,0.25485517660776774,0.5095
74,0.0004019825744236515,74,0.1129212810198466,0.76425,,
75,0.00039947624576437983,75,0.11351401631037394,0.75825,0.25957633876800534,0.506125
76,0.0003969463130731184,76,0.11244088419278463,0.768,,
77,0.00039439317585556697,77,0.10820257377624512,0.769,,
78,0.00039181723728168923,78,0.10808399987220764,0.77125,0.25136852518717445,0.51675
79,0.00038921890412204707,79,0.1041892646153768,0.7845,,
80,0.00038659858668356733,80,0.10793664145469666,0.77225,0.2551725934346517,0.52425
81,0.0003839566987447492,81,0.104191663980484,0.7695,,
82,0.000381293657490324,82,0.10140979210535685,0.79025,,
83,0.0003786098834453767,83,0.10202325733502705,0.78175,0.26175117365519207,0.511
84,0.0003759058004089402,84,0.10020481848716736,0.792,,
85,0.0003731818353870729,85,0.09538892992337544,0.8015,0.2601724236806234,0.519375
86,0.0003704384185254288,86,0.09255643399556478,0.80925,,
87,0.0003676759830413331,87,0.09379579941431682,0.79725,,
88,0.00036489496515537196,88,0.09319413232803345,0.80775,0.26004383103052775,0.529125
89,0.00036209580402250807,89,0.09134489385286967,0.80775,,
90,0.0003592789416627332,90,0.08974009529749552,0.81425,0.26434450642267865,0.51825
91,0.0003564448228912681,91,0.09323264106114705,0.805,,
92,0.00035359389524832103,92,0.08663387354214987,0.82625,,
93,0.0003507266089284156,93,0.08349588799476623,0.82575,0.2628416174252828,0.522125
94,0.00034784341670930055,94,0.08246197835604349,0.82975,,
95,0.00034494477388045025,95,0.08012153323491414,0.83,0.25964276361465455,0.533125
96,0.0003420311381711694,96,0.08039153202374776,0.834,,
97,0.0003391029696783126,97,0.07748064176241556,0.84525,,
98,0.00033616073079362923,98,0.08008106549580891,0.8385,0.2639213724136353,0.542125
99,0.0003332048861307466,99,0.07507949360211691,0.852,,
100,0.0003302359024518023,100,0.07650810821851095,0.842,0.2619006069501241,0.537375
101,0.0003272542485937368,101,0.07313721108436584,0.8555,,
102,0.00032426039539425866,102,0.06906819359461466,0.863,,
103,0.000321254815617494,103,0.06685047435760498,0.862,0.2673148682912191,0.5345
104,0.0003182379838793313,104,0.06918522675832113,0.862,,
105,0.00031521037657247417,105,0.06957037369410198,0.85825,0.2794466431935628,0.517
106,0.0003121724717912136,106,0.06376807816823324,0.87825,,
107,0.00030912474925593115,107,0.06572843333085378,0.86475,,
108,0.0003060676902373453,108,0.06325769623120626,0.873,0.27096628554662067,0.536125
109,0.0003030017774805137,109,0.0590210972627004,0.8855,,
110,0.00029992749512860176,110,0.05943822530905406,0.88375,0.26956240034103396,0.5405
111,0.0002968453286464311,111,0.05920280683040619,0.8865,,
112,0.000293755764743819,112,0.05756205288569133,0.8845,,
113,0.0002906592912987209,113,0.05711893097559611,0.88825,0.279333873907725,0.533125
114,0.0002875563972801892,114,0.0551982725461324,0.8925,,
115,0.0002844475726711595,115,0.05714809576670329,0.89025,0.28362667576471967,0.53225
