step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.37334834575653075,0.218,,
2,0.0004999996915749259,2,0.34673337586720787,0.33,,
3,0.0004999987663004646,3,0.32825500361124677,0.378,,
4,0.000499997224178899,4,0.312971121152242,0.404,,
5,0.0004999950652140343,5,0.3005619850158691,0.43,,
6,0.0004999922894111975,6,0.2907781721750895,0.462,,
7,0.0004999888967772375,7,0.2805691917737325,0.49,,
8,0.0004999848873205254,8,0.27069757159550983,0.5,,
9,0.0004999802610509541,9,0.2604995482762655,0.534,,
10,0.0004999750179799384,10,0.25410406160354615,0.536,,
11,0.0004999691581204152,11,0.24937782700856526,0.562,,
12,0.000499962681486843,12,0.23937780475616455,0.576,,
13,0.0004999555880952023,13,0.23394083833694457,0.59,,
14,0.0004999478779629953,14,0.22789748859405518,0.612,,
15,0.000499939551109246,15,0.22256417973836262,0.606,,
16,0.0004999306075545002,16,0.2157385450998942,0.638,,
17,0.0004999210473208251,17,0.2125528833071391,0.628,,
18,0.0004999108704318095,18,0.20876780780156454,0.632,,
19,0.0004999000769125642,19,0.20426310221354166,0.656,,
20,0.0004998886667897209,20,0.20074410311381022,0.684,0.26839542945226036,0.449
21,0.0004998766400914329,21,0.19646619653701783,0.68,,
22,0.000499863996847375,22,0.1898185132344564,0.698,,
23,0.0004998507370887432,23,0.18792693901062013,0.712,,
24,0.0004998368608482545,24,0.1812650243441264,0.71,,
25,0.0004998223681601471,25,0.17819346793492635,0.732,,
26,0.0004998072590601806,26,0.17323538692792256,0.744,,
27,0.0004997915335856349,27,0.17061715491612753,0.76,,
28,0.0004997751917753111,28,0.1651325979232788,0.76,,
29,0.000499758233669531,29,0.16503892453511557,0.734,,
30,0.0004997406593101371,30,0.1603077642917633,0.77,,
31,0.0004997224687404924,31,0.1594684855143229,0.774,,
32,0.0004997036620054802,32,0.15562156168619792,0.778,,
33,0.0004996842391515043,33,0.15056700984636942,0.79,,
34,0.0004996642002264886,34,0.14803688915570576,0.804,,
35,0.0004996435452798774,35,0.15017383980751037,0.77,,
36,0.0004996222743626344,36,0.14554934509595235,0.786,,
37,0.0004996003875272437,37,0.14138781627019245,0.8,,
38,0.0004995778848277087,38,0.13722382601102193,0.812,,
39,0.0004995547663195529,39,0.1320200483004252,0.836,,
40,0.0004995310320598186,40,0.12941831294695536,0.834,0.24517090352376303,0.483
41,0.0004995066821070678,41,0.12680352290471394,0.826,,
42,0.0004994817165213816,42,0.12496292837460836,0.832,,
43,0.0004994561353643602,43,0.12078570826848348,0.842,,
44,0.0004994299386991225,44,0.11913372238477071,0.85,,
45,0.0004994031265903061,45,0.11940554364522298,0.858,,
46,0.0004993756991040673,46,0.11695547993977864,0.864,,
47,0.0004993476563080807,47,0.11196289269129435,0.862,,
48,0.000499318998271539,48,0.11093923298517863,0.866,,
49,0.0004992897250651532,49,0.11007207997639974,0.862,,
50,0.000499259836761152,50,0.1075999436378479,0.872,,
51,0.0004992293334332818,51,0.10555070281028747,0.872,,
52,0.0004991982151568064,52,0.10289538391431173,0.888,,
53,0.0004991664820085072,53,0.0998168109258016,0.876,,
54,0.0004991341340666826,54,0.10166088636716207,0.886,,
55,0.0004991011714111478,55,0.09783533875147502,0.886,,
56,0.000499067594123235,56,0.0917431226571401,0.9,,
57,0.0004990334022857929,57,0.09127472074826558,0.896,,
58,0.0004989985959831863,58,0.09133285244305929,0.912,,
59,0.0004989631753012962,59,0.08855348062515259,0.91,,
60,0.0004989271403275198,60,0.08337280694643656,0.914,0.23101679515838622,0.515
61,0.0004988904911507698,61,0.0847643605073293,0.888,,
62,0.0004988532278614743,62,0.08111479902267456,0.924,,
63,0.0004988153505515769,63,0.08000237433115641,0.924,,
64,0.000498776859314536,64,0.07881405778725942,0.926,,
65,0.0004987377542453249,65,0.07680886928240459,0.918,,
66,0.0004986980354404314,66,0.07412953448295594,0.926,,
67,0.0004986577029978578,67,0.07393923477331797,0.94,,
68,0.0004986167570171206,68,0.07508213710784913,0.928,,
69,0.0004985751975992496,69,0.07895992048581442,0.914,,
70,0.0004985330248467886,70,0.06809711706638336,0.952,,
71,0.0004984902388637948,71,0.06795263413588205,0.942,,
72,0.0004984468397558383,72,0.06931574177742005,0.934,,
73,0.000498402827630002,73,0.0680640286207199,0.95,,
74,0.0004983582025948815,74,0.06487897352377574,0.952,,
75,0.0004983129647605847,75,0.06361722767353058,0.936,,
76,0.0004982671142387315,76,0.0630512213309606,0.95,,
77,0.0004982206511424533,77,0.06207305490970612,0.948,,
78,0.0004981735755863933,78,0.06609108177820841,0.932,,
79,0.0004981258876867058,79,0.060576897064844766,0.954,,
80,0.0004980775875610559,80,0.059205639958381656,0.948,0.24348354848225912,0.516
81,0.0004980286753286194,81,0.057167281071345014,0.96,,
82,0.0004979791511100822,82,0.055245882829030354,0.964,,
83,0.0004979290150276406,83,0.054536147514979046,0.962,,
84,0.0004978782672050002,84,0.049905657450358076,0.976,,
85,0.0004978269077673765,85,0.0514187566836675,0.964,,
86,0.0004977749368414936,86,0.04917323807875315,0.964,,
87,0.0004977223545555846,87,0.051286693572998046,0.968,,
88,0.000497669161039391,88,0.04698756166299184,0.962,,
89,0.0004976153564241626,89,0.04327579609553019,0.986,,
90,0.000497560940842657,90,0.0467873428662618,0.964,,
91,0.0004975059144291392,91,0.045227005203564964,0.976,,
92,0.0004974502773193813,92,0.04315502719084422,0.978,,
93,0.0004973940296506625,93,0.04151337416966756,0.974,,
94,0.0004973371715617683,94,0.04145578142007192,0.98,,
95,0.0004972797031929903,95,0.040607860724131264,0.98,,
96,0.000497221624686126,96,0.04236417039235433,0.964,,
97,0.0004971629361844783,97,0.03933044266700745,0.974,,
98,0.0004971036378328555,98,0.038860266884167986,0.97,,
99,0.00049704372977757,99,0.03599839446942012,0.986,,
100,0.0004969832121664393,100,0.03423667512337367,0.986,0.228824946085612,0.546
101,0.0004969220851487843,101,0.033316005607446034,0.988,,
102,0.0004968603488754301,102,0.035953901251157126,0.976,,
103,0.0004967980034987047,103,0.03492463739713033,0.986,,
104,0.0004967350491724391,104,0.030744467397530874,0.984,,
105,0.0004966714860519669,105,0.032397486090660094,0.992,,
106,0.0004966073142941238,106,0.031433773279190065,0.986,,
107,0.0004965425340572471,107,0.0308711399435997,0.992,,
108,0.0004964771455011757,108,0.031642266591389974,0.984,,
109,0.0004964111487872494,109,0.02791130010286967,0.996,,
110,0.0004963445440783085,110,0.02926822509368261,0.994,,
111,0.0004962773315386934,111,0.027548488199710845,0.992,,
112,0.0004962095113342444,112,0.026110836724440256,0.99,,
113,0.0004961410836323012,113,0.02806129225095113,0.996,,
114,0.0004960720486017024,114,0.027045837342739104,0.988,,
115,0.0004960024064127849,115,0.02509228809674581,0.994,,
116,0.000495932157237384,116,0.026382476607958477,0.99,,
117,0.0004958613012488324,117,0.024302252928415934,0.994,,
118,0.0004957898386219603,118,0.022448391417662302,0.994,,
119,0.0004957177695330948,119,0.02831153468290965,0.98,,
120,0.000495645094160059,120,0.021859826465447745,0.994,0.23497648922602335,0.56
121,0.0004955718126821723,121,0.024422153393427532,0.992,,
122,0.0004954979252802492,122,0.026167501171429953,0.986,,
123,0.0004954234321365999,123,0.02189025870958964,0.994,,
124,0.0004953483334350284,124,0.020703749497731527,0.994,,
125,0.0004952726293608336,125,0.023466463724772135,0.996,,
126,0.0004951963201008077,126,0.023185810546080272,0.996,,
127,0.0004951194058432361,127,0.021095897783835728,0.998,,
128,0.0004950418867778973,128,0.020215531766414642,0.992,,
