step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.3125494321187337,0.6666666666666666
2,0.0004999999722361857,2,0.3000042637189229,0.3333333333333333
3,0.0004999998889447489,3,0.24697033564249674,0.6666666666666666
4,0.000499999750125708,4,0.21344059705734253,0.6666666666666666
5,0.0004999995557790939,5,0.19231404860814413,0.6666666666666666
6,0.0004999993059049497,6,0.13075285156567892,1.0
7,0.0004999990005033311,7,0.11754779020945232,0.6666666666666666
8,0.0004999986395743058,8,0.11172996958096822,0.6666666666666666
9,0.0004999982231179539,9,0.07570316394170125,1.0
10,0.000499997751134368,10,0.04876844584941864,1.0
11,0.0004999972236236529,11,0.07897538443406422,0.6666666666666666
12,0.0004999966405859257,12,0.034962949653466545,1.0
13,0.000499996002021316,13,0.08979328473409016,0.6666666666666666
14,0.0004999953079299655,14,0.054577196637789406,1.0
15,0.0004999945583120286,15,0.030948986609776814,1.0
16,0.0004999937531676716,16,0.07707794507344563,0.6666666666666666
17,0.0004999928924970733,17,0.026548343400160473,1.0
18,0.000499991976300425,18,0.00858506808678309,1.0
19,0.0004999910045779302,19,0.047088757157325745,1.0
20,0.0004999899773298047,20,0.00392845490326484,1.0
21,0.0004999888945562765,21,0.007881409799059233,1.0
22,0.0004999877562575864,22,0.006832079961895943,1.0
23,0.000499986562433987,23,0.008513465523719788,1.0
24,0.0004999853130857434,24,0.0063652123014132185,1.0
25,0.0004999840082131334,25,0.006076785425345103,1.0
