step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.005,1,1.1325457617640495,0.155,1.1647564992308617,0.1
2,0.004999802610509541,2,1.0611823946237564,0.263,1.1485797725617886,0.158
3,0.00499921047320825,3,0.9884995073080063,0.2895,1.0099367378279567,0.230625
4,0.004998223681601474,4,0.9284752048552036,0.326,0.9390995129942894,0.299875
5,0.004996842391515045,5,0.891738697886467,0.3435,0.8794276872649789,0.331
6,0.00499506682107068,6,0.871645599603653,0.3485,0.8884111326187849,0.334375
7,0.004992897250651536,7,0.8603203259408474,0.3555,0.9937166124582291,0.286625
8,0.0049903340228579325,8,0.8423184491693974,0.3665,0.9339072210714221,0.317375
9,0.004987377542453252,9,0.8337341547012329,0.3795,0.9124140422791243,0.315
10,0.0049840282763000225,10,0.8191116489470005,0.37,0.8972519244998693,0.325875
11,0.004980286753286196,11,0.8137634918093681,0.3745,0.8189678322523832,0.370125
12,0.004976153564241629,12,0.8096893690526485,0.387,0.8896784270182252,0.340875
13,0.004971629361844786,13,0.7959168963134289,0.395,0.831276735290885,0.37225
14,0.004966714860519671,14,0.7802351638674736,0.412,0.8657813183963299,0.347
15,0.004961410836323015,15,0.7959981374442577,0.4075,0.8745677024126053,0.34325
16,0.004955718126821723,16,0.7783524356782436,0.4105,0.8199101015925407,0.377
17,0.004949637630960618,17,0.7740585654973984,0.421,0.8109977664425969,0.3775
18,0.004943170308920485,18,0.7657864727079868,0.4245,0.8214975018054247,0.379625
19,0.0049363171819664445,19,0.7722410075366497,0.42,0.8433329351246357,0.367625
20,0.004929079332286686,20,0.7566449530422688,0.419,0.7960180379450321,0.4005
21,0.0049214579028215785,21,0.7453733421862125,0.434,0.8046792363747954,0.38475
22,0.0049134540970831855,22,0.7435419633984566,0.4445,0.8076322581619024,0.402125
23,0.004905069178965216,23,0.7430304512381554,0.436,0.8048993088304996,0.39275
24,0.004896304472543441,24,0.7409095056355,0.4415,0.8171103363856673,0.39425
25,0.004887161361866609,25,0.7397254705429077,0.441,0.8338045347481966,0.391625
26,0.004877641290737885,26,0.734020970761776,0.447,0.7800060193985701,0.41375
27,0.0048677457624868616,27,0.7268888019025326,0.456,0.7987350029870868,0.408875
28,0.004857476339732162,28,0.7303620539605618,0.4615,0.7898456389084458,0.410625
29,0.004846834644134686,29,0.7382072061300278,0.4355,0.8602732270956039,0.382875
30,0.004835822356141531,30,0.7197439260780811,0.453,0.8195965262129903,0.385875
31,0.00482444121472063,31,0.7195248380303383,0.45,0.7781667625531554,0.418375
32,0.0048126930170861466,32,0.7161185964941978,0.4525,0.7963912701234221,0.410875
33,0.004800579618414678,33,0.7199033461511135,0.4425,0.8076865468174219,0.402375
34,0.004788102931552296,34,0.7110764868557453,0.47,0.7887590229511261,0.40425
35,0.004775264926712492,35,0.7162701152265072,0.446,0.8338839719071984,0.396375
36,0.004762067631165052,36,0.7063363417983055,0.4725,0.8159968685358763,0.406875
37,0.00474851312891593,37,0.7094040215015411,0.465,0.7997025167569518,0.409625
38,0.004734603560378162,38,0.7002272680401802,0.464,0.7804438043385744,0.414625
39,0.004720341122033864,39,0.6935405023396015,0.4835,0.8858208646997809,0.3825
40,0.004705728066087386,40,0.700605683028698,0.478,0.7941177617758512,0.416375
41,0.004690766700109661,41,0.686227910220623,0.486,0.7943726303055882,0.425375
42,0.004675459386673817,42,0.695144709199667,0.46,0.7688776310533285,0.432625
43,0.00465980854298209,43,0.698498010635376,0.465,0.8036785842850804,0.399375
44,0.004643816640484133,44,0.6874181143939495,0.482,0.7726529827341437,0.421
45,0.004627486204486732,45,0.6902031451463699,0.483,0.8267194293439388,0.414625
46,0.00461081981375504,46,0.6876055039465427,0.462,0.765012233518064,0.4315
47,0.004593820100105357,47,0.6891790814697742,0.4905,0.7917845658957958,0.41375
48,0.0045764897479895345,48,0.682234413921833,0.4785,0.7919580703601241,0.420625
49,0.004558831494071071,49,0.683241032063961,0.481,0.7491579232737422,0.432125
50,0.0045408481267929625,50,0.6822104752063751,0.477,0.7667338084429502,0.427
51,0.004522542485937371,51,0.6822727918624878,0.486,0.7667303131893277,0.427
52,0.004503917462177194,52,0.6807258166372776,0.4845,0.7831144277006388,0.428875
53,0.00448497599661959,53,0.6699365489184856,0.482,0.7583744367584586,0.4455
54,0.004465721080341549,54,0.6700275614857674,0.4915,0.8059439975768328,0.419375
55,0.004446155753917561,55,0.6720055788755417,0.506,0.7539933752268553,0.451875
56,0.004426283106939474,56,0.6618752852082253,0.5025,0.7560033136978745,0.451125
57,0.0044061062775286215,57,0.6642897166311741,0.5105,0.758240383118391,0.448
58,0.004385628451840262,58,0.6602713912725449,0.5115,0.7896680291742086,0.43075
59,0.004364852863560458,59,0.6636070422828197,0.5105,0.7391301710158587,0.45375
60,0.004343782793395438,60,0.6595615409314632,0.514,0.7615333627909422,0.446
61,0.004322421568553531,61,0.6597334332764149,0.4935,0.7498008208349347,0.45025
62,0.0043007725622197695,62,0.6548520773649216,0.5065,0.78550766967237,0.427
63,0.004278839193023217,63,0.6610281430184841,0.4985,0.7453607339411974,0.44325
64,0.004256624924497126,64,0.6516771353781223,0.5135,0.7830373710021377,0.422625
65,0.004234133264532015,65,0.6489296406507492,0.5175,0.8601396651938558,0.4085
66,0.004211367764821725,66,0.6625416502356529,0.5,0.7384641487151384,0.457625
67,0.004188332020302564,67,0.6501144766807556,0.5105,0.727237151004374,0.464375
68,0.004165029668585632,68,0.6569188721477985,0.507,0.7534671304747462,0.4505
69,0.004141464389382394,69,0.6481922082602978,0.5055,0.7617966635152698,0.451875
70,0.004117639903923614,70,0.6394429504871368,0.518,0.7502271579578519,0.455
71,0.0040935599743717275,71,0.6390037015080452,0.515,0.7823453256860375,0.443875
72,0.004069228403226754,72,0.6571484692394733,0.497,0.7400598516687751,0.462875
73,0.0040446490327258385,73,0.6520349532365799,0.5155,0.7414848729968071,0.463
74,0.0040198257442365165,74,0.635420598089695,0.5305,0.7262915344908834,0.467125
75,0.0039947624576438,75,0.6347770132124424,0.5085,0.7398754302412271,0.469375
76,0.003969463130731186,76,0.6333411894738674,0.524,0.7879446605220437,0.445
77,0.003943931758555672,77,0.6345202848315239,0.513,0.725650480017066,0.4595
78,0.003918172372816895,78,0.6479816436767578,0.503,0.7537921238690615,0.45125
79,0.003892189041220473,79,0.6325457580387592,0.533,0.7425570152699947,0.458625
80,0.003865985866835676,80,0.6389070823788643,0.5115,0.7510430021211505,0.465
81,0.0038395669874474944,81,0.6214702799916267,0.5325,0.7589220488443971,0.458875
82,0.0038129365749032425,82,0.6311300247907639,0.5245,0.7490065367892385,0.4545
83,0.0037860988344537694,83,0.6290915682911873,0.534,0.7445864621549845,0.461875
84,0.003759058004089404,84,0.6332056596875191,0.5275,0.7468335647135973,0.465125
85,0.0037318183538707314,85,0.6361443065106869,0.511,0.7393375691026449,0.4595
86,0.0037043841852542904,86,0.6230869106948376,0.5235,0.7456440925598145,0.4585
87,0.003676759830413334,87,0.622621439397335,0.541,0.8031708365306258,0.418625
88,0.0036489496515537227,88,0.6227027103304863,0.5295,0.7908187657594681,0.453
89,0.003620958040225084,89,0.6248171702027321,0.5245,0.7402888676151633,0.471125
90,0.0035927894166273354,90,0.6319512613117695,0.516,0.7438180251047015,0.465125
91,0.003564448228912685,91,0.6245794706046581,0.5335,0.729139344766736,0.47375
92,0.003535938952483214,92,0.6184223629534245,0.533,0.7654032539576292,0.445
93,0.0035072660892841597,93,0.6277014836668968,0.5305,0.7384612495079637,0.474
94,0.0034784341670930094,94,0.6164377331733704,0.5405,0.727869008667767,0.471375
95,0.0034494477388045063,95,0.6110002137720585,0.5445,0.7361166244372725,0.473625
96,0.003420311381711698,96,0.631741851568222,0.532,0.7431018156930804,0.46325
97,0.0033910296967831297,97,0.6110067665576935,0.5395,0.7425859970971942,0.4655
98,0.003361607307936296,98,0.6190618947148323,0.5205,0.7662121243774891,0.45725
99,0.0033320488613074696,99,0.6102340742945671,0.5415,0.728977408260107,0.472375
100,0.0033023590245180264,100,0.61368503049016,0.536,0.8630271423608065,0.4075
101,0.0032725424859373718,101,0.6207882538437843,0.5265,0.7177484827116132,0.48325
102,0.00324260395394259,102,0.5947129372507334,0.5505,0.7306807227432728,0.475625
103,0.003212548156174943,103,0.5937303267419338,0.5565,0.7362683294340968,0.4705
104,0.003182379838793316,104,0.6147463843226433,0.5415,0.7385448720306158,0.474875
105,0.0031521037657247447,105,0.6050783805549145,0.5575,0.726385043002665,0.472625
106,0.0031217247179121397,106,0.5833155661821365,0.556,0.7223543506115675,0.478625
107,0.003091247492559315,107,0.6019786968827248,0.5435,0.7334484849125147,0.47525
108,0.0030606769023734564,108,0.6040080115199089,0.543,0.7267878837883472,0.476
109,0.00303001777480514,109,0.5882591232657433,0.5575,0.7467909604310989,0.47325
110,0.002999274951286021,110,0.5957785695791245,0.5525,0.72589329816401,0.477875
111,0.0029684532864643143,111,0.6057339124381542,0.5495,0.7499039527028799,0.473625
112,0.0029375576474381933,112,0.5929151698946953,0.5545,0.7294870475307107,0.478375
113,0.0029065929129872123,113,0.5997700057923794,0.546,0.736765880137682,0.469
114,0.0028755639728018957,114,0.5958843939006329,0.5495,0.7134117903187871,0.4835
115,0.0028444757267115984,115,0.591025210916996,0.559,0.7424393938854337,0.471375
116,0.002813333083910763,116,0.6024297699332237,0.5475,0.7270879279822111,0.479375
117,0.0027821409621837066,117,0.5821873676031828,0.561,0.7261103317141533,0.483375
118,0.0027509042871280394,118,0.5999890454113483,0.544,0.765896120108664,0.471
119,0.002719627991376861,119,0.5959289893507957,0.5485,0.7510461965575814,0.4715
120,0.0026883170138198346,120,0.5871510747820139,0.562,0.7267318088561296,0.4775
121,0.002656976298823286,121,0.5890913866460323,0.5695,0.7106662597507238,0.491
122,0.0026256107954494264,122,0.5953544713556767,0.552,0.7367666009813547,0.476
123,0.002594225456674839,123,0.5881500318646431,0.568,0.7246831022202969,0.484625
124,0.0025628252386083465,124,0.5914349146187305,0.5535,0.7376895034685731,0.477875
125,0.0025314150997083843,125,0.593952763825655,0.5495,0.720294383354485,0.476125
126,0.0025000000000000027,126,0.57957230694592,0.5685,0.7409844789654016,0.4755
127,0.002468584900291621,127,0.5833705328404903,0.5635,0.7190288919955492,0.482625
128,0.002437174761391659,128,0.5783701278269291,0.5815,0.7317003849893808,0.477125
129,0.002405774543325166,129,0.592822277918458,0.553,0.7419331390410662,0.47875
130,0.002374389204550579,130,0.5821470059454441,0.567,0.7140199365094304,0.480625
131,0.0023430237011767196,131,0.5795932039618492,0.564,0.7275263229385018,0.479625
132,0.0023116829861801703,132,0.5789620094001293,0.571,0.7312700971961021,0.48275
133,0.0022803720086231444,133,0.5831265114247799,0.551,0.7570413006469607,0.46825
134,0.002249095712871965,134,0.5764201991260052,0.572,0.7574000842869282,0.470375
135,0.002217859037816298,135,0.5742376558482647,0.561,0.7341522108763456,0.48025
136,0.0021866669160892417,136,0.5705715268850327,0.582,0.7251567272469401,0.482875
137,0.002155524273288407,137,0.5723753236234188,0.572,0.7547124940901995,0.4705
138,0.002124436027198109,138,0.5763023979961872,0.577,0.7323159230872989,0.482875
139,0.002093407087012793,139,0.5685124844312668,0.5805,0.7482359213754535,0.47125
140,0.002062442352561812,140,0.5643188655376434,0.5805,0.742556544020772,0.480375
141,0.00203154671353569,141,0.5624179244041443,0.5695,0.7368857664987445,0.48075
142,0.0020007250487139843,142,0.562036445364356,0.573,0.7324463222175837,0.478875
143,0.0019699822251948653,143,0.5627591069787741,0.595,0.7774624601006508,0.46175
144,0.0019393230976265485,144,0.5702994130551815,0.565,0.7269217586144805,0.488875
145,0.00190875250744069,145,0.5726667232811451,0.5715,0.7392578721046448,0.477125
146,0.001878275282087865,146,0.5816322825849056,0.558,0.7404065299779177,0.484125
147,0.0018478962342752593,147,0.5631382260471582,0.577,0.7195095168426633,0.49175
148,0.001817620161206688,148,0.5646611861884594,0.5735,0.7429253589361906,0.479625
149,0.001787451843825061,149,0.566287649795413,0.5725,0.720440499484539,0.487125
150,0.0017573960460574138,150,0.5624938048422337,0.588,0.7258428493514657,0.48325
151,0.0017274575140626327,151,0.5689410101622343,0.574,0.7226382400840521,0.491125
152,0.0016976409754819776,152,0.5601124204695225,0.568,0.7307335454970598,0.4895
153,0.0016679511386925347,153,0.5613390505313873,0.578,0.7387602590024471,0.478875
154,0.0016383926920637084,154,0.5673607103526592,0.5845,0.7509840782731771,0.473125
155,0.0016089703032168745,155,0.5612968057394028,0.5805,0.7410097764804959,0.484125
156,0.0015796886182883063,156,0.5532051660120487,0.5955,0.7319342000409961,0.4825
157,0.0015505522611954986,157,0.5656416192650795,0.5615,0.7513326676562428,0.478375
158,0.0015215658329069957,158,0.5619335770606995,0.5885,0.7217437298968434,0.49075
159,0.0014927339107158443,159,0.5612573772668839,0.589,0.7390727307647467,0.479375
160,0.0014640610475167909,160,0.5620478335767984,0.579,0.7358840936794877,0.48025
161,0.0014355517710873194,161,0.5524339787662029,0.595,0.7344474205747247,0.483625
162,0.0014072105833726695,162,0.5615180619060993,0.5715,0.7290163217112422,0.48525
163,0.001379041959774921,163,0.5492718126624823,0.5895,0.7236564941704273,0.484375
164,0.0013510503484462815,164,0.5565504357218742,0.5815,0.7324435859918594,0.482375
165,0.0013232401695866703,165,0.5532217789441347,0.5875,0.7408990850672126,0.481
166,0.0012956158147457133,166,0.5651581957936287,0.575,0.7609644988551736,0.4765
167,0.0012681816461292713,167,0.5599554926156998,0.5915,0.7508435184136033,0.483625
168,0.0012409419959105987,168,0.5516796987503767,0.585,0.7224269844591618,0.490125
169,0.0012139011655462344,169,0.5504590980708599,0.592,0.7374903680756688,0.481375
170,0.001187063425096761,170,0.552995041012764,0.584,0.7491800058633089,0.472
171,0.0011604330125525096,171,0.553260114043951,0.5775,0.717689149081707,0.492375
172,0.0011340141331643281,172,0.5552508533000946,0.581,0.7320231515914202,0.48775
173,0.0011078109587795305,173,0.5526036191731691,0.6,0.7306716097518802,0.485375
174,0.0010818276271831097,174,0.548165200278163,0.5865,0.7383207241073251,0.47925
175,0.0010560682414443318,175,0.5496314205229282,0.587,0.731785417534411,0.48775
176,0.0010305368692688178,176,0.5551368892192841,0.579,0.7239659912884235,0.485875
177,0.0010052375423562042,177,0.5342376995831728,0.603,0.7251223335042596,0.491375
178,0.0009801742557634867,178,0.5540910568088293,0.592,0.7272745408117771,0.486875
179,0.0009553509672741641,179,0.5483342986553907,0.589,0.7358082737773657,0.485
180,0.0009307715967732496,180,0.545311214402318,0.599,0.7319805631414056,0.487125
181,0.0009064400256282761,181,0.5489314123988152,0.59,0.7255760114639997,0.4905
182,0.0008823600960763893,182,0.5476802233606577,0.5885,0.7250999147072434,0.486875
183,0.0008585356106176096,183,0.5557936690747738,0.5845,0.7248024269938469,0.48475
184,0.0008349703314143715,184,0.5344242081046104,0.587,0.7190532833337784,0.4915
185,0.0008116679796974392,185,0.5455705784261227,0.5935,0.7239932836964726,0.490125
186,0.0007886322351782795,186,0.544347632676363,0.5835,0.7358684008941054,0.48825
187,0.0007658667354679884,187,0.5433762837201357,0.5945,0.7309931423515081,0.488125
188,0.000743375075502877,188,0.5490917637944221,0.5905,0.7299065785482526,0.48925
189,0.000721160806976787,189,0.5460266545414925,0.595,0.7148293033242226,0.49725
190,0.000699227437780233,190,0.5445470344275236,0.6025,0.7227497817948461,0.491875
191,0.0006775784314464712,191,0.5342926271259785,0.5925,0.7333883754909039,0.49
192,0.0006562172066045658,192,0.5472141355276108,0.584,0.7273556534200907,0.491125
193,0.0006351471364395451,193,0.539726547896862,0.593,0.7200935864821076,0.491125
194,0.0006143715481597406,194,0.5408209152519703,0.6065,0.714997966773808,0.494
195,0.0005938937224713811,195,0.5451823137700558,0.609,0.7205686587840319,0.497
196,0.0005737168930605274,196,0.5414716135710478,0.5895,0.7281780494377017,0.4895
197,0.0005538442460824418,197,0.5392836127430201,0.598,0.7283646641299129,0.485625
198,0.0005342789196584537,198,0.5385915022343397,0.6,0.7255241824313998,0.488875
199,0.0005150240033804117,199,0.5496235992759466,0.585,0.7239042427390814,0.4895
200,0.0004960825378228083,200,0.5382478144019842,0.596,0.7290091030299664,0.487375
201,0.0004774575140626318,201,0.534724110737443,0.6065,0.7275687828660011,0.487875
202,0.0004591518732070403,202,0.5371519010514021,0.602,0.727523255161941,0.487375
203,0.0004411685059289315,203,0.5449504125863314,0.598,0.7286773007363081,0.48775
204,0.0004235102520104687,204,0.5347320586442947,0.6,0.721884404309094,0.491125
205,0.00040617989989464594,205,0.538074117153883,0.6065,0.719282915815711,0.491625
206,0.00038918018624496236,206,0.5311582610011101,0.603,0.7229091068729758,0.491125
207,0.00037251379551327075,207,0.5328052081167698,0.6105,0.7253036769106984,0.491125
208,0.0003561833595158698,208,0.5315949842333794,0.6055,0.7246916284784675,0.48975
209,0.0003401914570179113,209,0.539433766156435,0.5955,0.7253998536616564,0.48925
210,0.0003245406133261858,210,0.5365982465445995,0.605,0.7253267532214522,0.492375
211,0.00030923329989034103,211,0.5404508840292692,0.5995,0.7228625379502773,0.490375
212,0.00029427193391261654,212,0.5300617143511772,0.5945,0.7228484097868204,0.490375
213,0.0002796588779661388,213,0.5369821507483721,0.602,0.721618888899684,0.490875
214,0.0002653964396218406,214,0.5379302240908146,0.599,0.7255411799997091,0.4895
215,0.00025148687108407237,215,0.5325715094804764,0.5895,0.7215037867426872,0.4895
216,0.00023793236883495167,216,0.5386456549167633,0.597,0.7266959240660071,0.4895
217,0.0002247350732875109,217,0.5242214445024729,0.6065,0.7251903219148517,0.491
218,0.00021189706844770622,218,0.5406517181545496,0.599,0.7256488027051091,0.489125
219,0.00019942038158532463,219,0.5391189567744732,0.591,0.7244508722797036,0.492
220,0.00018730698291385462,220,0.5371912512928247,0.605,0.721788034774363,0.49275
221,0.00017555878527937137,221,0.5401458665728569,0.6055,0.7220693435519934,0.49075
222,0.00016417764385846998,222,0.5221954062581062,0.5985,0.7233770787715912,0.49075
223,0.00015316535586531487,223,0.5335451755672693,0.6035,0.7236214401200414,0.4915
224,0.00014252366026783873,224,0.5216425284743309,0.6305,0.7241369532421231,0.492125
225,0.00013225423751313944,225,0.5336206033825874,0.5945,0.7242225958034396,0.492
226,0.0001223587092621162,226,0.5413347333669662,0.5945,0.7263194443657994,0.491375
227,0.00011283863813339264,227,0.5405118335038424,0.587,0.7236985061317682,0.4925
228,0.00010369552745656042,228,0.53031194396317,0.596,0.727953820489347,0.491
229,0.00009493082103478546,229,0.5383713226765394,0.6065,0.7246223269030452,0.491
230,0.00008654590291681531,230,0.538921719416976,0.5935,0.722543140873313,0.492125
231,0.00007854209717842233,231,0.5252343155443668,0.6045,0.7232882976531982,0.4915
232,0.00007092066771331508,232,0.530867962166667,0.605,0.7243640571832657,0.492125
233,0.00006368281803355691,233,0.5270151887089014,0.6075,0.7266048630699515,0.490875
234,0.0000568296910795163,234,0.5384017378091812,0.5975,0.7265403540804982,0.489625
235,0.000050362369039382844,235,0.5312755983322859,0.5955,0.7258736789226532,0.489875
236,0.00004428187317827819,236,0.5318096727132797,0.6035,0.7269853539764881,0.49025
237,0.000038589163676986664,237,0.5348174646496773,0.5985,0.7257725335657597,0.49175
