step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,4.7240705383300785,0.0092,4.674368759155273,0.01
2,0.0004999999999999999,2,4.644611181640625,0.0074,4.616199922180176,0.0124
3,0.0004999999999999956,3,4.592695072174072,0.0204,4.57643119354248,0.0193
4,0.0004999999999999957,4,4.552377256011963,0.0252,4.5449638854980465,0.0229
5,0.0005000000000000227,5,4.525472486877441,0.0238,4.520140617370606,0.0284
6,0.0005,6,4.493624481964111,0.0312,4.498217012023926,0.0333
7,0.0004999999999999776,7,4.47458788986206,0.0374,4.4788941986083985,0.0344
8,0.0005000000000000273,8,4.451408837127685,0.0436,4.463100298309326,0.0372
9,0.000500000000000027,9,4.432682791137696,0.0434,4.447467816925049,0.0395
10,0.0005000000000000271,10,4.419389589691162,0.0464,4.432506266784668,0.0421
11,0.0005000000000000317,11,4.404085998535156,0.0444,4.418909928894043,0.0435
12,0.0005000000000000317,12,4.389149136352539,0.0458,4.40659980545044,0.0432
13,0.0004999999999999863,13,4.375141246032715,0.0518,4.3916016456604,0.0496
14,0.0005000000000000361,14,4.362005131530761,0.0506,4.38072220916748,0.0479
15,0.0004999999999999911,15,4.346360060119629,0.055,4.364252078247071,0.0514
16,0.0005000000000000361,16,4.328356476593018,0.0562,4.351850941467285,0.0527
17,0.0004999999999999956,17,4.307335748291016,0.0602,4.338847092437744,0.0518
18,0.0004999999999999506,18,4.29259140625,0.0582,4.322456937408448,0.0524
19,0.0004999999999999957,19,4.275159278869629,0.0662,4.3088576736450195,0.0548
20,0.0004999999999999551,20,4.260671823120117,0.0614,4.295374478149414,0.0561
