step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,4.372906622257732,0.09023546846698502,5.190956541287002,0.1009984639016897
2,0.0004877641290737884,2,3.931722657322864,0.171908447225424,4.865634992192235,0.06797235023041474
3,0.0004522542485937368,3,3.694397606410757,0.23760908941215214,4.012922181511804,0.19086021505376344
4,0.0003969463130731183,4,3.4744530615688016,0.2735056808825951,4.0698342590654315,0.16052227342549924
5,0.00032725424859373687,5,3.2956393161951447,0.3033097315988803,3.8595047806448286,0.25076804915514594
6,0.00025,6,3.1044037526587807,0.3482628025687469,3.744043829254291,0.31451612903225806
7,0.00017274575140626317,7,2.9342146280195416,0.3958504857566277,3.423096746892973,0.34715821812596004
8,0.00010305368692688175,8,2.7712519871585948,0.4256545364729129,3.29525853192202,0.3771121351766513
9,0.00004774575140626317,9,2.6312365764333374,0.45298863823480984,3.220476136962023,0.40591397849462363
10,0.000012235870926211617,10,2.54933150662988,0.4778527910423185,3.1729319381274386,0.4120583717357911
