step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.005,1,0.32098560162952966,0.1952,0.34770200167383464,0.2248
2,0.0049987664009143295,2,0.2762194676058633,0.2806,0.27065303921699524,0.306
3,0.00499506682107068,3,0.26208573707512445,0.3182,0.252757499899183,0.3491
4,0.004988904911507701,4,0.2441350668668747,0.3558,0.26257927141019277,0.3383
5,0.004980286753286196,5,0.23758778955255236,0.3792,0.25744176081248693,0.3842
6,0.004969220851487845,6,0.2297352339540209,0.4084,0.2809242736016001,0.3531
7,0.004955718126821723,7,0.22383270263671876,0.4192,0.2304298107113157,0.4162
8,0.004939791904846869,8,0.21257543436118534,0.4426,0.22277985044888088,0.4271
9,0.004921457902821578,9,0.2070890771491187,0.4604,0.26260865139109746,0.421
10,0.004900734214192358,10,0.19979942185538155,0.486,0.22759421531643187,0.4487
11,0.004877641290737884,11,0.1929378424371992,0.4954,0.2124022479568209,0.4701
12,0.004852201922385563,12,0.18842771181038448,0.5166,0.19909231130565916,0.5146
13,0.004824441214720628,13,0.18335390559264592,0.5378,0.21024179671491897,0.4771
14,0.004794386564209952,14,0.180376792379788,0.5416,0.1776524603366852,0.5586
15,0.004762067631165048,15,0.17219557762145996,0.5632,0.2058770533118929,0.5246
16,0.004727516310470919,16,0.1666961669921875,0.5784,0.18414442326341357,0.5483
17,0.0046907667001096585,17,0.16245965978928975,0.5916,0.17665216837610517,0.5708
18,0.004651855067509859,18,0.1543605632015637,0.614,0.17739645040460994,0.5712
19,0.004610819813755038,19,0.1491611380662237,0.6256,0.17914656911577498,0.5761
20,0.004567701435686405,20,0.14909130270992008,0.6212,0.17607148055519375,0.582
21,0.004522542485937369,21,0.14052862503698893,0.6468,0.18394550446953092,0.5676
22,0.004475387530939226,22,0.138335482776165,0.6572,0.17171877228787968,0.5943
23,0.004426283106939473,23,0.1341722824743816,0.6622,0.17372881174087523,0.5903
24,0.004375277674076149,24,0.12718055099248887,0.6758,0.18725631151880537,0.5944
25,0.00432242156855353,25,0.12288407278912408,0.6942,0.163864425356899,0.6186
26,0.004267766952966369,26,0.12229277853454862,0.6932,0.17073722971337182,0.6093
27,0.004211367764821722,27,0.1147165128162929,0.7138,0.16218693245734486,0.6236
28,0.00415327966330913,28,0.11336827278137207,0.7094,0.17651742877704757,0.6164
29,0.004093559974371725,29,0.10360289875950132,0.7422,0.16815020399434225,0.6415
30,0.004032267634132442,30,0.10489873673234668,0.7348,0.1689059974891799,0.6216
31,0.003969463130731184,31,0.09865649896008628,0.753,0.15218235775828362,0.6599
32,0.0039052084446303276,32,0.09332928583025932,0.7674,0.1687158911355904,0.6391
33,0.0038395669874474922,33,0.0899823149400098,0.7758,0.15855725216014044,0.6565
34,0.003772603539375929,34,0.08882384491818292,0.7748,0.16712826862931252,0.6337
35,0.003704384185254289,35,0.08314347671610968,0.796,0.18400329127907752,0.6223
36,0.0036349762493488678,36,0.07884832673839161,0.8026,0.16778570392302106,0.654
37,0.0035644482289126827,37,0.07236731818744115,0.8186,0.180717906249421,0.6444
38,0.0034928697265869525,38,0.07282296153051512,0.8164,0.1859392750476088,0.6506
39,0.0034203113817116966,39,0.06897006716047015,0.8308,0.16557676909225327,0.668
