step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.005,1,0.3128320833047231,0.28672,0.3005699331561724,0.3304
2,0.0048776412907378846,2,0.28205360293388365,0.37004,0.2769132909675439,0.3784
3,0.0045225424859373685,3,0.25875814308722817,0.42224,0.24850272436936696,0.4523
4,0.003969463130731183,4,0.2443567861119906,0.45752,0.253960961351792,0.4492
5,0.0032725424859373687,5,0.23334957987070085,0.49356,0.23503275165955226,0.5029
6,0.0025,6,0.22612979292869567,0.50652,0.2189150316019853,0.5219
7,0.0017274575140626316,7,0.2177573792139689,0.5246,0.21561421727140745,0.5383
8,0.0010305368692688174,8,0.21270329932371776,0.53416,0.20136356242001058,0.5653
9,0.00047745751406263163,9,0.20992977688709893,0.54596,0.20321454256772994,0.5632
10,0.00012235870926211617,10,0.2073996592561404,0.5464,0.19946561716496944,0.5693
