step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,4.255724532699585,0.232,,
2,0.0004999691581204152,2,2.5456001106262205,0.2932,3.0231419506073,0.258
3,0.0004998766400914329,3,2.2362185070037843,0.3282,,
4,0.0004997224687404926,4,2.1022653797149657,0.349,2.9093480663299562,0.30625
5,0.0004995066821070679,5,1.9173643060684205,0.3748,,
6,0.000499229333433282,6,1.85212529296875,0.399,2.0397675580978394,0.364875
7,0.00049889049115077,7,1.8055317714691161,0.4018,,
8,0.0004984902388637949,8,1.7654572063446046,0.4152,2.0066318588256835,0.366875
9,0.0004980286753286195,9,1.6173850028991699,0.4364,,
10,0.0004975059144291394,10,1.738399464225769,0.4448,1.9707257127761841,0.368375
11,0.0004969220851487844,11,1.586059128189087,0.4608,,
12,0.0004962773315386935,12,1.5301574100494384,0.4724,1.6784633054733276,0.460375
13,0.0004955718126821722,13,1.4899959232330322,0.478,,
14,0.0004948057026554414,14,1.5331310749053955,0.4774,1.799557258605957,0.415625
15,0.0004939791904846868,15,1.5650752168655395,0.4764,,
16,0.0004930924800994191,16,1.4637358682632446,0.4968,1.6510996713638306,0.453
17,0.0004921457902821577,17,1.3720132180213929,0.5246,,
18,0.0004911393546144495,18,1.3598589023590089,0.5244,1.5693193321228027,0.490125
19,0.0004900734214192357,19,1.3012751466751098,0.5496,,
20,0.0004889482536995824,20,1.3356144197463988,0.536,1.6095876293182374,0.48175
21,0.0004877641290737883,21,1.3108708574295045,0.5466,,
22,0.00048652133970688617,22,1.297568925666809,0.5454,1.4718984870910645,0.500125
23,0.0004852201922385562,23,1.25811220703125,0.5528,,
24,0.0004838610077074667,24,1.259605537033081,0.5646,1.5654375066757202,0.48925
25,0.00048244412147206266,25,1.2617148906707765,0.5556,,
26,0.0004809698831278215,26,1.3057168014526368,0.5578,1.6922789697647094,0.46875
27,0.00047943865642099503,27,1.2114771654129028,0.5738,,
28,0.00047785081915886106,28,1.1670770858764647,0.5882,1.4511552982330322,0.514875
29,0.0004762067631165046,29,1.1439836334228515,0.599,,
30,0.00047450689394015364,30,1.2073593326568604,0.5836,1.4221204614639282,0.53525
31,0.0004727516310470917,31,1.2244917051315307,0.571,,
32,0.00047094140752217313,32,1.1818689294815063,0.5858,1.4711781463623046,0.524125
33,0.00046907667001096557,33,1.1510503524780273,0.5902,,
34,0.00046715787860954753,34,1.1329914169311524,0.5988,1.4106253242492677,0.52925
35,0.00046518550675098564,35,1.2132056823730468,0.5822,,
36,0.0004631600410885228,36,1.1021922546386718,0.6072,1.6338798685073852,0.492
37,0.0004610819813755035,37,1.2247439109802245,0.5826,,
38,0.00045895184034206734,38,1.0856450551986694,0.623,1.3702111654281617,0.53725
39,0.00045677014356864016,39,1.0196580110549927,0.6404,,
40,0.0004545374293562556,40,1.016864037322998,0.6452,1.449934429168701,0.519
41,0.0004522542485937366,41,1.0902423309326172,0.61,,
42,0.0004499211646217724,42,1.112113331604004,0.614,1.400452642440796,0.544625
43,0.0004475387530939223,43,1.1190277194976808,0.6096,,
44,0.00044510760183458215,44,1.020451107597351,0.6368,1.3126042871475219,0.573875
45,0.000442628310693947,45,0.9754277156829834,0.6564,,
46,0.00044010149140000747,46,0.9583198261260987,0.6578,1.3846085205078125,0.562875
47,0.0004375277674076146,47,1.0028526363372803,0.6474,,
48,0.00043490777374465206,48,0.9687196773529053,0.6484,1.3207911767959595,0.565
49,0.00043224215685535255,49,0.9697181159973145,0.6554,,
50,0.0004295315744407969,50,0.9856573274612427,0.6574,1.4004471988677978,0.562625
51,0.00042677669529663653,51,0.939791570854187,0.6686,,
52,0.0004239781991480782,52,0.9288397430419922,0.6738,1.3725940504074097,0.55975
53,0.00042113677648217187,53,0.9748465223312378,0.6584,,
54,0.000418253128377443,54,0.952722170162201,0.667,1.4628708686828613,0.531875
55,0.00041532796633091264,55,0.9188464031219482,0.6788,,
56,0.0004123620120825456,56,0.9122470169067383,0.6838,1.3459977178573608,0.583375
57,0.0004093559974371721,57,0.9097491701126099,0.674,,
58,0.000406310664083926,58,0.8660763484954834,0.6928,1.325433153152466,0.5805
59,0.0004032267634132438,59,0.9580021949768066,0.6692,,
60,0.00040010505633147073,60,1.0298887704849242,0.6542,1.2678865966796875,0.590625
61,0.000396946313073118,61,0.8598993719100952,0.6904,,
62,0.0003937513130108194,62,0.9023221778869629,0.6824,1.3532603588104248,0.57775
63,0.00039052084446303243,63,0.8836017616271973,0.6892,,
64,0.0003872557044995327,64,0.8587206478118896,0.6944,1.497660997390747,0.55775
65,0.0003839566987447489,65,0.8508350702285766,0.7008,,
66,0.00038062464117898695,66,0.8346248542785645,0.7022,1.3299338731765746,0.586125
67,0.0003772603539375926,67,0.8406198888778686,0.6992,,
68,0.0003738646671081017,68,0.8004398162841797,0.714,1.3090030212402344,0.5925
69,0.00037043841852542857,69,0.7787929640769958,0.7186,,
70,0.00036698245356514314,70,0.7029443807601928,0.7498,1.3565190505981446,0.586375
71,0.00036349762493488645,71,0.7780597551345825,0.7194,,
72,0.0003599847924639785,72,0.7902121620178223,0.722,1.431890691757202,0.55675
73,0.0003564448228912679,73,0.818886358833313,0.7066,,
74,0.00035287858965127696,74,0.7683237411499023,0.7242,1.393317361831665,0.577375
75,0.0003492869726586949,75,0.8186215204238891,0.7084,,
76,0.0003456708580912722,76,0.7752163198471069,0.728,1.258608983039856,0.60875
77,0.00034203113817116924,77,0.7286575511932373,0.7342,,
78,0.000338368710944814,78,0.791985655593872,0.7158,1.3421971015930176,0.580375
79,0.0003346844800613226,79,0.8498886678695678,0.704,,
80,0.00033097935454953704,80,0.7595238544464111,0.7338,1.318774116039276,0.588125
81,0.00032725424859373655,81,0.7567069441795349,0.7332,,
82,0.0003235100813080757,82,0.648442883682251,0.766,1.2755095891952515,0.602125
83,0.0003197477765098071,83,0.6513501876831055,0.7682,,
84,0.0003159682624913429,84,0.6805029853820801,0.7558,1.3741455888748169,0.582375
85,0.0003121724717912134,85,0.6599657453536988,0.7638,,
86,0.0003083613409639761,86,0.673442453956604,0.7632,1.2806330003738404,0.605625
87,0.00030453581034913543,87,0.6772808971405029,0.7632,,
88,0.0003006968238391279,88,0.6871978248596191,0.7562,1.3112829418182372,0.599
89,0.000296845328646431,89,0.7113441712379456,0.7464,,
90,0.00029298227506985216,90,0.6191077783107758,0.7756,1.257469762802124,0.6075
91,0.0002891086162600575,91,0.5552438718795777,0.7966,,
92,0.0002852253079843955,92,0.6393463526725769,0.7736,1.3631834087371826,0.596875
93,0.0002813333083910759,93,0.5537275905609131,0.7984,,
94,0.0002774335777727611,94,0.6159973308563232,0.7802,1.3222023429870606,0.605625
95,0.00027352707832962835,95,0.6197497965812683,0.7744,,
96,0.000269614773931961,96,0.636380057144165,0.7756,1.386530514717102,0.598875
97,0.0002656976298823281,97,0.5876779726028443,0.7844,,
98,0.0002617766126774104,98,0.6001681098937989,0.7822,1.325610876083374,0.60575
99,0.00025785268976953184,99,0.5238238262176513,0.811,,
100,0.00025392682932795496,100,0.5422830382347107,0.8036,1.3939813537597656,0.594125
101,0.0002499999999999998,101,0.523706946849823,0.8082,,
102,0.00024607317067204467,102,0.48093925018310546,0.829,1.2745761556625366,0.619125
103,0.0002421473102304677,103,0.5274041793823242,0.81,,
104,0.00023822338732258912,104,0.5232669166564942,0.8112,1.3586127347946166,0.61175
105,0.00023430237011767144,105,0.5070007664680481,0.8216,,
106,0.00023038522606803858,106,0.49292186813354494,0.824,1.4194692068099977,0.598375
107,0.0002264729216703712,107,0.474526496553421,0.8234,,
108,0.0002225664222272385,108,0.43627284088134766,0.8482,1.2962352180480956,0.621125
109,0.00021866669160892376,109,0.4746571937561035,0.8292,,
110,0.0002147746920156042,110,0.5587595600128173,0.7952,1.3464612703323364,0.613
111,0.0002108913837399421,111,0.47774336643218995,0.8314,,
112,0.00020701772493014742,112,0.44014679222106934,0.8386,1.3045423631668092,0.622
113,0.0002031546713535687,113,0.4789752298355103,0.8306,,
114,0.00019930317616087176,114,0.49797800817489624,0.82,1.3609361715316772,0.61225
115,0.0001954641896508643,115,0.4364877883911133,0.8428,,
116,0.0001916386590360235,116,0.4908961121082306,0.8194,1.3103652906417846,0.618125
117,0.00018782752820878617,117,0.38434293670654296,0.8666,,
118,0.00018403173750865666,118,0.38427931118011477,0.8624,1.3116706008911132,0.6255
119,0.00018025222349019257,119,0.3866393497467041,0.8648,,
120,0.0001764899186919239,120,0.4433106786727905,0.8444,1.3699727382659912,0.614375
121,0.0001727457514062631,121,0.3994842826843262,0.8584,,
122,0.00016902064545046253,122,0.3907872802734375,0.8558,1.3604798860549927,0.62575
123,0.00016531551993867705,123,0.38656387157440186,0.8616,,
124,0.00016163128905518563,124,0.3748098413467407,0.8638,1.3538138570785523,0.624375
125,0.00015796886182883044,125,0.40095061702728274,0.8544,,
126,0.0001543291419087275,126,0.3950908616065979,0.8574,1.3469295387268065,0.62425
127,0.0001507130273413047,127,0.3024404409408569,0.8914,,
128,0.0001471214103487227,128,0.34251154861450195,0.8794,1.3451510848999024,0.626125
129,0.00014355517710873172,129,0.34839188423156736,0.8754,,
130,0.0001400152075360211,130,0.37471817150115966,0.8684,1.4003706088066101,0.624625
131,0.0001365023750651132,131,0.3201757162094116,0.884,,
132,0.0001330175464348566,132,0.30500905113220217,0.8966,1.3679315700531005,0.62725
133,0.00012956158147457104,133,0.350216233253479,0.8758,,
134,0.00012613533289189798,134,0.29922267818450926,0.8976,1.3537964935302735,0.63325
135,0.00012273964606240704,135,0.2863489345550537,0.9052,,
136,0.00011937535882101267,136,0.30118395099639894,0.8928,1.3403528909683227,0.636875
137,0.00011604330125525064,137,0.2866810655593872,0.9004,,
138,0.0001127442955004669,138,0.29508555393218994,0.8966,1.379767191886902,0.627
139,0.0001094791555369672,139,0.269430415391922,0.9022,,
140,0.00010624868698918024,140,0.2503871929168701,0.9172,1.35547820186615,0.626875
141,0.00010305368692688163,141,0.28039091072082517,0.902,,
142,0.00009989494366852891,142,0.2749911630630493,0.9026,1.3922014770507813,0.628125
143,0.00009677323658675574,143,0.24356197986602784,0.9146,,
144,0.00009368933591607359,144,0.2451726929664612,0.9134,1.3660915088653565,0.638375
145,0.00009064400256282745,145,0.23789985637664796,0.922,,
146,0.00008763798791745401,146,0.2457249252319336,0.9174,1.3990596561431885,0.635
147,0.00008467203366908697,147,0.2760990254402161,0.9016,,
148,0.00008174687162255655,148,0.22886963596343995,0.9236,1.3714885663986207,0.637375
149,0.00007886322351782772,149,0.2290676914215088,0.9258,,
150,0.00007602180085192133,150,0.2202259994506836,0.9276,1.3974776000976563,0.633
151,0.00007322330470336305,151,0.23050733623504638,0.9218,,
152,0.00007046842555920274,152,0.20615622024536132,0.9312,1.388610845565796,0.634875
153,0.00006775784314464707,153,0.2070640859603882,0.9318,,
154,0.00006509222625534746,154,0.2064092653274536,0.9294,1.3730614767074585,0.636875
155,0.00006247223259238502,155,0.21040140705108643,0.928,,
156,0.00005989850859999219,156,0.19209615707397462,0.936,1.3881644954681396,0.6385
157,0.000057371689306052636,157,0.2133741605758667,0.9276,,
158,0.00005489239816541753,158,0.19290201377868652,0.9396,1.403352017402649,0.64
159,0.00005246124690607732,159,0.194511891746521,0.934,,
160,0.000050078835378227284,160,0.17610202627182006,0.945,1.4040467166900634,0.637375
161,0.000047745751406263096,161,0.16581702632904052,0.948,,
162,0.00004546257064374411,162,0.17551973962783812,0.9404,1.4110529327392578,0.640875
163,0.00004322985643135951,163,0.1644493392944336,0.95,,
164,0.00004104815965793243,164,0.16418631076812745,0.9464,1.4215183115005494,0.6345
165,0.00003891801862449623,165,0.16396059877872468,0.9466,,
166,0.00003683995891147696,166,0.1542686812877655,0.9564,1.391044355392456,0.637375
167,0.00003481449324901401,167,0.1382853187561035,0.9596,,
168,0.00003284212139045212,168,0.14268684768676757,0.958,1.3954458570480346,0.639875
169,0.00003092332998903406,169,0.14986329765319825,0.9546,,
170,0.00002905859247782659,170,0.14479251832962037,0.9562,1.3941839895248413,0.642
171,0.000027248368952908014,171,0.14117444262504578,0.9576,,
172,0.00002549310605984608,172,0.1288996747970581,0.9666,1.385089126586914,0.637875
173,0.000023793236883495127,173,0.1239933530807495,0.9646,,
174,0.000022149180841138702,174,0.13158001673817635,0.9612,1.3909227809906006,0.642125
175,0.000020561343579004743,175,0.12167719078063965,0.9672,,
176,0.000019030116872178343,176,0.13052811603546144,0.9646,1.4088715906143188,0.637875
177,0.000017555878527937136,177,0.12940696449279784,0.9646,,
178,0.000016138992292533132,178,0.1215128035545349,0.9666,1.3895990257263184,0.64275
