step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.005,1,0.17689135637548234,0.196,0.2179782398045063,0.2392
2,0.004999993056966535,2,0.15296497179402246,0.2968,0.15000815118352573,0.3251
3,0.004999972227904704,3,0.14840136037932503,0.32,0.15235764595369497,0.3239
4,0.0049999375129302,4,0.14318906830416786,0.3536,0.15690544160703818,0.3224
5,0.004999888912235846,5,0.13906295696894327,0.38986666666666664,0.1428291988869508,0.3789
6,0.0049998264260915914,6,0.13515693247318267,0.39786666666666665,0.13448059943815072,0.4056
7,0.004999750054844508,7,0.1315744184785419,0.4184,0.13242633839448292,0.4034
8,0.004999659798918798,8,0.1278642968999015,0.42586666666666667,0.13233345337212085,0.4236
9,0.004999555658815779,9,0.12692786786291335,0.43706666666666666,0.12661892746885617,0.4377
10,0.00499943763511389,10,0.12757089535395305,0.4378666666666667,0.13332846748332183,0.4061
11,0.004999305728468686,11,0.12322049803204006,0.4544,0.12497245371341706,0.4551
12,0.004999159939612831,12,0.12186284628179338,0.456,0.13825722336769103,0.4043
13,0.0049990002693561,13,0.12056296666463216,0.4634666666666667,0.12914750029643376,0.4432
14,0.004998826718585369,14,0.11909299923313989,0.47146666666666665,0.12415248329440752,0.4575
15,0.004998639288264614,15,0.11807277798652649,0.48213333333333336,0.12862224405010542,0.4638
16,0.004998437979434901,16,0.11738976173930699,0.4848,0.13225247114896774,0.4503
17,0.0049982227932143875,17,0.11605875425868564,0.4976,0.13096563915411633,0.4236
18,0.004997993730798308,18,0.11387797031137678,0.5016,0.12257939788202445,0.4746
19,0.0049977507934589735,19,0.11471638116571638,0.4928,0.11700676220158736,0.4917
20,0.004997493982545761,20,0.11342880725860596,0.5045333333333333,0.12368651231129964,0.4618
21,0.004997223299485109,21,0.11174485054281023,0.5109333333333334,0.1223643476764361,0.4817
22,0.004996938745780507,22,0.10966849327087402,0.5226666666666666,0.12050158803661665,0.4836
23,0.004996640323012487,23,0.10948028100861443,0.5133333333333333,0.1231856385866801,0.4749
24,0.004996328032838616,24,0.10691093371974097,0.5282666666666667,0.11907287041346232,0.4894
25,0.004996001876993487,25,0.10717677904499902,0.5197333333333334,0.12018436168630918,0.4836
26,0.00499566185728871,26,0.10800283783011966,0.5274666666666666,0.11640833591421446,0.5031
27,0.004995307975612898,27,0.1061816285053889,0.5309333333333334,0.11711671551068624,0.5
28,0.00499494023393166,28,0.10397362543476953,0.5469333333333334,0.11596904980639616,0.5042
29,0.004994558634287594,29,0.1046967519654168,0.5405333333333333,0.12290009334683419,0.4928
30,0.004994163178800265,30,0.10093142357137468,0.5538666666666666,0.11149941788365443,0.5364
31,0.0049937538696662,31,0.10036990443865458,0.5570666666666667,0.11738409598668416,0.4999
32,0.004993330709158879,32,0.10157379739814335,0.5490666666666667,0.11915587758024533,0.5021
33,0.004992893699628715,33,0.09813340107599894,0.5794666666666667,0.1135389701773723,0.5153
34,0.004992442843503046,34,0.09904836449358198,0.572,0.10890063575158516,0.5375
