step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.005,1,0.5480070672929287,0.227,0.5768479198217392,0.1
2,0.004999998026079379,2,0.4955836124718189,0.342,0.6168656051158905,0.1055
3,0.0049999921043206354,3,0.45727607049047947,0.3835,0.587362564355135,0.1717
4,0.004999982234733118,4,0.4271616656333208,0.407,0.43119728863239287,0.371
5,0.004999968417332415,5,0.4086559843271971,0.4505,0.4241377905011177,0.3999
6,0.004999950652140343,6,0.39132785238325596,0.443,0.48685961551964285,0.3347
7,0.004999928939184958,7,0.3804467674344778,0.467,0.4587643712759018,0.3818
8,0.004999903278500546,8,0.3701170813292265,0.486,0.43369186855852604,0.3833
9,0.00499987367012763,9,0.35749041847884655,0.505,0.425603611767292,0.3744
10,0.004999840114112965,10,0.3436335623264313,0.5305,0.40239674896001815,0.4151
11,0.004999802610509541,11,0.33636051043868065,0.5435,0.37013188414275644,0.4499
12,0.004999761159376581,12,0.3321832977235317,0.5575,0.35756731033325195,0.4674
13,0.004999715760779541,13,0.3231574948877096,0.543,0.3750153865665197,0.467
14,0.0049996664147901135,14,0.31659707985818386,0.5475,0.3870317194610834,0.4393
15,0.004999613121486222,15,0.31283529102802277,0.5745,0.35338819548487665,0.4871
16,0.004999555880952023,16,0.3067926950752735,0.578,0.4279784370213747,0.4069
17,0.004999494693277908,17,0.30245852284133434,0.58,0.34021342620253564,0.5114
18,0.004999429558560501,18,0.2949742581695318,0.587,0.36074387319386003,0.4731
19,0.004999360476902657,19,0.28412697464227676,0.615,0.3627801574766636,0.4811
20,0.004999287448413466,20,0.28184207156300545,0.6,0.34221815392374993,0.5188
21,0.004999210473208251,21,0.2729732636362314,0.63,0.33928667902946474,0.5137
22,0.004999129551408565,22,0.2726029707118869,0.625,0.3989615228027105,0.4788
23,0.004999044683142197,23,0.26788137666881084,0.6385,0.41282335445284846,0.455
24,0.004998955868543162,24,0.26258064340800047,0.6425,0.3852844063192606,0.4677
25,0.004998863107751712,25,0.25700156670063734,0.644,0.3671991556882858,0.4894
26,0.00499876640091433,26,0.25462532695382833,0.653,0.35880138650536536,0.5038
27,0.004998665748183728,27,0.2465571304783225,0.6605,0.35956748872995375,0.5037
28,0.0049985611497188505,28,0.24319793656468391,0.663,0.3709906626492739,0.4971
29,0.004998452605684874,29,0.2366735963150859,0.6845,0.32634983099997045,0.5511
30,0.004998340116253203,30,0.23370900098234415,0.6875,0.3435893438756466,0.5209
31,0.004998223681601474,31,0.2308146608993411,0.6875,0.3567992590367794,0.5043
32,0.004998103301913553,32,0.22885928209871054,0.697,0.3171351931989193,0.5517
33,0.004997978977379536,33,0.22737108543515205,0.692,0.3352588519454002,0.5306
34,0.004997850708195749,34,0.21601789444684982,0.7055,0.34012187756597995,0.526
35,0.004997718494564747,35,0.22285998053848743,0.699,0.3641066651791334,0.5036
36,0.004997582336695312,36,0.21466355863958597,0.718,0.33802449479699137,0.5446
37,0.004997442234802456,37,0.21227286476641893,0.7105,0.3227054741233587,0.5618
38,0.00499729818910742,38,0.2075522169470787,0.7185,0.3258629094809294,0.5558
39,0.00499715019983767,39,0.2013452583923936,0.7275,0.3328831562772393,0.5525
40,0.0049969982672269046,40,0.19760268181562424,0.74,0.3243692047894001,0.5599
41,0.004996842391515043,41,0.1951023619621992,0.7465,0.32437467463314534,0.5476
42,0.004996682572948235,42,0.19857345893979073,0.726,0.3224989900365472,0.5533
43,0.004996518811778857,43,0.19375327229499817,0.7415,0.38226969800889493,0.5139
44,0.004996351108265509,44,0.19230856094509363,0.7375,0.34469850845634936,0.5542
45,0.004996179462673019,45,0.1884040553122759,0.7425,0.3404864802956581,0.5422
46,0.004996003875272438,46,0.17909076064825058,0.774,0.33078611046075823,0.5499
47,0.004995824346341041,47,0.1846247622743249,0.7615,0.31833772342652084,0.5739
48,0.004995640876162331,48,0.1835470963269472,0.7585,0.3577745817601681,0.5523
49,0.004995453465026031,49,0.17841886170208454,0.7645,0.3509940769523382,0.5403
50,0.0049952621132280895,50,0.17490789014846087,0.7605,0.3326364133507013,0.5658
51,0.004995066821070678,51,0.16773092560470104,0.782,0.345026920363307,0.5401
52,0.004994867588862187,52,0.16685513127595186,0.771,0.358569560199976,0.5534
53,0.0049946644169172345,53,0.1575604323297739,0.7975,0.33179825618863107,0.5551
54,0.0049944573055566545,54,0.1555377496406436,0.8095,0.3243583220988512,0.572
55,0.004994246255107504,55,0.15571518754586577,0.7755,0.35799630619585515,0.5432
56,0.004994031265903061,56,0.15696350391954184,0.7875,0.33763467241078615,0.5659
57,0.004993812338282824,57,0.14850778318941593,0.8115,0.32571118548512457,0.5673
58,0.004993589472592507,58,0.14872315991669893,0.8125,0.32512127589434386,0.5695
59,0.004993362669184048,59,0.1504976893775165,0.803,0.323604972474277,0.5747
60,0.004993131928415599,60,0.15009132493287325,0.7975,0.3533432936295867,0.5623
61,0.004992897250651532,61,0.1497887996956706,0.7955,0.3334126815199852,0.5755
62,0.004992658636262435,62,0.14636558154597878,0.819,0.3435996200889349,0.5634
63,0.004992416085625112,63,0.14864704944193363,0.7985,0.35663996674120424,0.568
64,0.004992169599122584,64,0.1416408815421164,0.811,0.3590877417474985,0.5603
65,0.004991919177144088,65,0.14528466761112213,0.8065,0.4133006755262613,0.5152
66,0.004991664820085072,66,0.14318869356065989,0.8165,0.3325946729630232,0.5697
67,0.004991406528347203,67,0.13646934228017926,0.831,0.33450127933174373,0.5775
68,0.004991144302338357,68,0.13538305973634124,0.8075,0.3242752043530345,0.591
69,0.0049908781424726255,69,0.13595933513715863,0.823,0.34566707648336886,0.561
70,0.004990608049170312,70,0.12757901707664132,0.8255,0.3428172327578068,0.5659
71,0.004990334022857929,71,0.12825964577496052,0.8345,0.32561188880354164,0.5793
72,0.004990056063968203,72,0.12215396156534553,0.842,0.3279184056445956,0.5916
73,0.004989774172940068,73,0.1226462279446423,0.8445,0.33899914361536504,0.5826
74,0.0049894883502186686,74,0.12303749145939946,0.842,0.3170294053852558,0.5897
75,0.004989198596255359,75,0.11499260272830725,0.8525,0.33291998915374277,0.5899
76,0.004988904911507698,76,0.11318949796259403,0.8605,0.33309135492891073,0.591
77,0.004988607296439456,77,0.11507903225719929,0.8475,0.33907396644353865,0.588
78,0.004988305751520607,78,0.11695061018690467,0.843,0.3281456040218472,0.5896
79,0.004988000277227332,79,0.10976484604179859,0.8595,0.3615425415337086,0.5682
80,0.004987690874042015,80,0.10600755736231804,0.8735,0.33418519273400304,0.5848
81,0.004987377542453249,81,0.10577341355383396,0.8675,0.33209293279796837,0.591
82,0.004987060282955824,82,0.09936352958902717,0.875,0.3493413466960192,0.5749
83,0.004986739096050738,83,0.10182506032288074,0.8675,0.354951586201787,0.5714
84,0.004986413982245188,84,0.10086607607081532,0.876,0.3506826039403677,0.5862
85,0.004986084942052575,85,0.10358402552083135,0.864,0.34577300734817984,0.587
86,0.004985751975992495,86,0.09839690802618861,0.8735,0.35873536542057993,0.5735
87,0.00498541508459075,87,0.09771258616819978,0.88,0.34939069785177707,0.5766
88,0.004985074268379337,88,0.09679799247533083,0.882,0.33724342882633207,0.5988
89,0.00498472952789645,89,0.08816690742969513,0.891,0.35070207603275777,0.597
90,0.004984380863686481,90,0.09637759113684297,0.8785,0.38360187262296674,0.576
91,0.00498402827630002,91,0.08168330555781722,0.907,0.33366014789789916,0.6009
92,0.00498367176629385,92,0.0882433382794261,0.891,0.3540216788649559,0.5801
93,0.004983311334230948,93,0.08700915705412626,0.8985,0.3527815666049719,0.5821
94,0.004982946980680488,94,0.08454643795266747,0.8995,0.3704419545829296,0.5692
95,0.00498257870621783,95,0.08891145675443113,0.8875,0.3453745787963271,0.596
96,0.004982206511424533,96,0.08930134819820523,0.8875,0.3615327078849077,0.5889
