step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.005,1,0.7717949350674947,0.008,0.7675635993480683,0.01
2,0.004999999876629946,2,0.7459697524706522,0.04,0.7676662663618724,0.0099
3,0.004999999506519797,3,0.7196205258369446,0.076,0.7681123872598012,0.01
4,0.004999998889669587,4,0.6953674753506979,0.116,0.7682420581579208,0.0105
5,0.00499999802607938,5,0.6705355644226074,0.122,0.7622208952903747,0.017
6,0.004999996915749259,6,0.6444777945677439,0.14,0.74174917836984,0.0338
7,0.004999995558679335,7,0.6217124362786611,0.176,0.7264312754074732,0.0487
8,0.004999993954869741,8,0.5963727633158366,0.206,0.7224983185529709,0.0517
9,0.004999992104320636,9,0.5727378229300181,0.226,0.7305003801981608,0.0613
10,0.004999990007032202,10,0.54683056473732,0.268,0.7728623251120249,0.0595
11,0.004999987663004647,11,0.5182738204797109,0.306,0.8303662518660228,0.0651
12,0.0049999850722382,12,0.49450863401095074,0.32,1.0412241617838542,0.0626
13,0.004999982234733119,13,0.46601683894793194,0.392,0.9598057548205058,0.0693
14,0.004999979150489684,14,0.4427148997783661,0.394,1.0391494125127791,0.0646
15,0.0049999758195081985,15,0.41833798090616864,0.448,1.22809290488561,0.0629
16,0.004999972241788992,16,0.3934074938297272,0.488,1.144158560037613,0.0619
17,0.0049999684173324165,17,0.3730839987595876,0.524,1.244573175907135,0.058
18,0.004999964346138849,18,0.3395421753327052,0.586,1.4135581831137338,0.051
19,0.0049999600282086935,19,0.3188383678595225,0.6,1.3378280997276306,0.0531
20,0.004999955463542375,20,0.2925911496082942,0.684,1.3454701373974483,0.0581
21,0.004999950652140344,21,0.26931604743003845,0.712,1.239345974723498,0.0646
22,0.0049999455940030755,22,0.2593102405468623,0.706,1.2342941065629323,0.0685
23,0.0049999402891310685,23,0.24322892725467682,0.724,1.3753316938877105,0.0606
24,0.004999934737524847,24,0.22019890447457632,0.766,1.5324330051740012,0.0659
25,0.004999928939184959,25,0.1872308353583018,0.836,1.4385861883560815,0.0652
26,0.004999922894111976,26,0.1745204751690229,0.832,1.161194027463595,0.0761
27,0.004999916602306495,27,0.15619156757990518,0.862,1.42319511671861,0.0743
28,0.0049999100637691364,28,0.14242979635794958,0.88,1.257794479529063,0.0825
29,0.004999903278500547,29,0.12073095391194026,0.924,1.1827889452377955,0.086
30,0.004999896246501395,30,0.10772383709748586,0.93,1.153401971856753,0.0895
31,0.004999888967772375,31,0.10662395507097244,0.924,1.060845598578453,0.0864
32,0.004999881442314206,32,0.09092781071861585,0.944,1.1713917275269827,0.0867
33,0.00499987367012763,33,0.08150629575053851,0.96,1.281192942460378,0.0783
34,0.004999865651213415,34,0.06963077063361804,0.976,1.073405780394872,0.0925
