step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.33434663120905556,0.3336,,
2,0.0004999691581204152,2,0.2964218035697937,0.4132,0.29181755654017133,0.41
3,0.0004998766400914329,3,0.27920925680796305,0.4478,,
4,0.0004997224687404926,4,0.26691884609858196,0.4672,0.2578921016057332,0.465
5,0.0004995066821070679,5,0.25570399510065717,0.4834,,
6,0.000499229333433282,6,0.2496855297724406,0.4974,0.24354638624191285,0.477
7,0.00049889049115077,7,0.24287759768168132,0.5012,,
8,0.0004984902388637949,8,0.23832315893173217,0.5148,0.23700471464792888,0.519
9,0.0004980286753286195,9,0.23194049491882324,0.526,,
10,0.0004975059144291394,10,0.2255561710357666,0.542,0.2246643648147583,0.525
11,0.0004969220851487844,11,0.22059873218536377,0.5502,,
12,0.0004962773315386935,12,0.21728258059819539,0.5628,0.21412552960713704,0.554
13,0.0004955718126821722,13,0.21306181462605794,0.5604,,
14,0.0004948057026554414,14,0.21062233022054036,0.5714,0.21006512880325318,0.556
15,0.0004939791904846868,15,0.20505203932126362,0.5876,,
16,0.0004930924800994191,16,0.20026348508199057,0.589,0.2089591415723165,0.573
17,0.0004921457902821577,17,0.19919004467328388,0.6002,,
18,0.0004911393546144495,18,0.1963339259147644,0.6028,0.1975891057650248,0.592
19,0.0004900734214192357,19,0.19588712867101032,0.6006,,
20,0.0004889482536995824,20,0.19188798602422077,0.6058,0.19123487202326456,0.597
21,0.0004877641290737883,21,0.19031543674468995,0.6128,,
22,0.00048652133970688617,22,0.1862495042483012,0.62,0.18640815528233845,0.61
23,0.0004852201922385562,23,0.18396692403157552,0.6252,,
24,0.0004838610077074667,24,0.18240336201985677,0.627,0.1825608630180359,0.61
25,0.00048244412147206266,25,0.18165341011683145,0.638,,
26,0.0004809698831278215,26,0.18032457790374756,0.636,0.18757323869069417,0.613
27,0.00047943865642099503,27,0.1767481662750244,0.6412,,
28,0.00047785081915886106,28,0.1744236905415853,0.6414,0.1854857414563497,0.602
29,0.0004762067631165046,29,0.17272623745600382,0.651,,
30,0.00047450689394015364,30,0.16988459571202597,0.654,0.17616932249069214,0.628
31,0.0004727516310470917,31,0.16738026549021404,0.659,,
32,0.00047094140752217313,32,0.16621392520268757,0.6648,0.1716722116470337,0.643
33,0.00046907667001096557,33,0.16507015469868977,0.6688,,
34,0.00046715787860954753,34,0.16298590488433837,0.6678,0.16954876279830933,0.647
35,0.00046518550675098564,35,0.1611748727162679,0.668,,
36,0.0004631600410885228,36,0.1595749929745992,0.683,0.1700965984662374,0.65
37,0.0004610819813755035,37,0.16071903788248698,0.6742,,
38,0.00045895184034206734,38,0.15730918451944986,0.6784,0.16325942818323771,0.657
39,0.00045677014356864016,39,0.1580321689605713,0.6828,,
40,0.0004545374293562556,40,0.15810457146962484,0.6772,0.16742335351308188,0.65
41,0.0004522542485937366,41,0.1552897881189982,0.6892,,
42,0.0004499211646217724,42,0.1551254540125529,0.6902,0.1604732040564219,0.652
43,0.0004475387530939223,43,0.15151605472564697,0.6926,,
44,0.00044510760183458215,44,0.15040991818110147,0.6968,0.1560876772403717,0.675
45,0.000442628310693947,45,0.1504093053817749,0.6964,,
46,0.00044010149140000747,46,0.1455065515359243,0.7062,0.1574848691622416,0.664
