step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.3161431677818298,0.4338,,
2,0.0004999950652140343,2,0.26694910634358726,0.5214,,
3,0.0004999802610509541,3,0.24674127610524496,0.553,,
4,0.0004999555880952023,4,0.23257934684753417,0.5742,,
5,0.000499921047320825,5,0.2221515944480896,0.5894,0.22326242399215698,0.608
6,0.0004998766400914329,6,0.21503688990275066,0.5986,,
7,0.0004998223681601473,7,0.2081485365231832,0.6112,,
8,0.0004997582336695312,8,0.2030667293548584,0.6168,,
9,0.0004996842391515044,9,0.19713360888163248,0.632,,
10,0.0004996003875272438,10,0.1940686652501424,0.6316,0.19470144240061443,0.652
11,0.0004995066821070679,11,0.19197573779424032,0.6332,,
12,0.0004994031265903063,12,0.18816533273061117,0.637,,
13,0.0004992897250651535,13,0.18450362752278646,0.6474,,
14,0.0004991664820085074,14,0.18465905831654866,0.652,,
15,0.0004990334022857932,15,0.1817903713385264,0.655,0.18974374453226725,0.651
16,0.0004988904911507701,16,0.17723588558832803,0.6608,,
17,0.0004987377542453251,17,0.1757534256617228,0.6642,,
18,0.0004985751975992498,18,0.1743659657160441,0.6672,,
19,0.0004984028276300022,19,0.17088334061304727,0.6682,,
20,0.0004982206511424535,20,0.16813886181513468,0.6836,0.17478616237640382,0.665
21,0.0004980286753286196,21,0.1644338472366333,0.6852,,
22,0.0004978269077673767,22,0.1659845910390218,0.6834,,
23,0.0004976153564241628,23,0.16315616477330525,0.6886,,
24,0.0004973940296506627,24,0.1619758925120036,0.6948,,
25,0.0004971629361844785,25,0.15939941902160645,0.696,0.16945071697235106,0.673
26,0.0004969220851487844,26,0.15840381905237833,0.697,,
27,0.000496671486051967,27,0.1560894569714864,0.6984,,
28,0.0004964111487872495,28,0.15595676259994506,0.7,,
29,0.0004961410836323014,29,0.1550670916557312,0.7082,,
30,0.0004958613012488324,30,0.15160513219833374,0.7066,0.1568338506221771,0.705
31,0.0004955718126821722,31,0.14858136943181355,0.7198,,
32,0.0004952726293608335,32,0.14733381582895916,0.7224,,
33,0.0004949637630960617,33,0.14662941837310792,0.714,,
34,0.000494645226081368,34,0.14384105507532755,0.7224,,
35,0.0004943170308920483,35,0.14229607659975688,0.73,0.15333077851931254,0.708
36,0.0004939791904846868,36,0.1403543991247813,0.7274,,
37,0.0004936317181966442,37,0.13864646418889365,0.7378,,
38,0.0004932746277455316,38,0.13985991156895955,0.734,,
39,0.0004929079332286684,39,0.13933159643809,0.7386,,
40,0.0004925316491225263,40,0.13697324113845824,0.7422,0.14751732985178628,0.724
41,0.0004921457902821576,41,0.13339018026987712,0.7444,,
42,0.0004917503719406085,42,0.13470277029673258,0.7446,,
43,0.0004913454097083182,43,0.13606181602478026,0.7416,,
44,0.0004909309195725022,44,0.13244379173914592,0.7434,,
45,0.0004905069178965212,45,0.13454027585983278,0.7474,0.15031771183013917,0.71
46,0.0004900734214192355,46,0.13065485366185506,0.7558,,
47,0.0004896304472543437,47,0.13069859568277994,0.7524,,
48,0.0004891780128897074,48,0.13009095589319866,0.7552,,
