step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.005,1,1.1377304433822633,0.184,,
2,0.004999922894111975,2,0.9821893949508667,0.2624,,
3,0.004999691581204152,3,0.9264954904556274,0.2988,,
4,0.004999306075545002,4,0.9155561255455017,0.308,0.9904891214370728,0.2884
5,0.0049987664009143295,5,0.8687251327514648,0.3464,,
6,0.004998072590601808,6,0.8465430115699768,0.3584,,
7,0.004997224687404926,7,0.8345779735565185,0.3672,,
8,0.004996222743626346,8,0.8071090748786927,0.4028,0.9446199487686158,0.354
9,0.00499506682107068,9,0.7874647882461547,0.3972,,
10,0.004993756991040676,10,0.7759685953140258,0.4244,,
11,0.004992293334332821,11,0.7585414595603943,0.434,,
12,0.004990675941232354,12,0.7276067131042481,0.4584,0.8241860565185547,0.4232
13,0.004988904911507701,13,0.7071638060569763,0.4736,,
14,0.004986980354404317,14,0.6968336606025696,0.4792,,
15,0.00498490238863795,15,0.687376545715332,0.4784,,
16,0.0049826711423873165,16,0.6746246624946595,0.5056,0.8439339290618897,0.43
17,0.004980286753286195,17,0.63596319065094,0.5252,,
18,0.004977749368414937,18,0.6249416420936584,0.5376,,
19,0.0049750591442913935,19,0.6323573984146118,0.5356,,
20,0.004972216246861261,20,0.6040252120018005,0.5504,0.7262111964225769,0.4803
21,0.004969220851487844,21,0.5946982650756836,0.552,,
22,0.004966073142941238,22,0.5762405597686767,0.5724,,
23,0.004962773315386935,23,0.5814615431785584,0.5732,,
24,0.00495932157237384,24,0.5509754970550537,0.5812,0.7717599779129029,0.4792
25,0.004955718126821723,25,0.5468113961219787,0.602,,
26,0.004951963201008077,26,0.5175963267326354,0.608,,
27,0.004948057026554415,27,0.5039968202114106,0.6248,,
28,0.004943999844411978,28,0.47747268614768984,0.6448,0.8048532426834106,0.4914
29,0.004939791904846869,29,0.4748747064590454,0.6584,,
30,0.0049354334674246245,30,0.45673253164291383,0.672,,
31,0.004930924800994192,31,0.4662756857395172,0.6572,,
32,0.004926266183671356,32,0.46413450174331666,0.66,0.7367835077047348,0.5466
33,0.004921457902821578,33,0.4459113073348999,0.672,,
34,0.004916500255042268,34,0.40076606650352475,0.7088,,
35,0.004911393546144495,35,0.39683810000419617,0.7144,,
36,0.004906138091134118,36,0.38546781959533694,0.7124,0.7782746555328369,0.5426
37,0.004900734214192357,37,0.370930265712738,0.7372,,
38,0.004895182248655797,38,0.3476387928009033,0.7508,,
39,0.004889482536995824,39,0.35562340483665467,0.7316,,
40,0.004883635430797502,40,0.35501453948020933,0.736,0.7997405377388,0.5461
41,0.004877641290737883,41,0.32830713629722597,0.762,,
42,0.00487150048656376,42,0.3240648476600647,0.766,,
43,0.0048652133970688615,43,0.3278557886123657,0.7552,,
44,0.004858780410070483,44,0.3010545989990234,0.778,0.8151802114486695,0.5649
