step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,4.603919124603271,0.0403,,
2,0.0004999691581204152,2,4.088010540771484,0.0853,4.1087752670288085,0.0975
3,0.0004998766400914329,3,3.829277912902832,0.1187,,
4,0.0004997224687404926,4,3.667031795501709,0.1367,3.8661452266693117,0.1335
5,0.0004995066821070679,5,3.545721463394165,0.1574,,
6,0.000499229333433282,6,3.411676871109009,0.1715,3.5900936172485354,0.1725
7,0.00049889049115077,7,3.3072296340942384,0.1982,,
8,0.0004984902388637949,8,3.1967368976593016,0.2146,3.390620852279663,0.2016
9,0.0004980286753286195,9,3.0986411972045897,0.2303,,
10,0.0004975059144291394,10,3.0241151977539062,0.2496,3.266551208496094,0.2271
11,0.0004969220851487844,11,2.9306354957580565,0.2658,,
12,0.0004962773315386935,12,2.835259860610962,0.2776,3.2050708694458008,0.2598
13,0.0004955718126821722,13,2.7748246978759767,0.2956,,
14,0.0004948057026554414,14,2.6849260749816897,0.3126,3.2123874031066895,0.2578
15,0.0004939791904846868,15,2.6253462520599364,0.3221,,
16,0.0004930924800994191,16,2.5595234176635744,0.3313,3.1414003185272215,0.2703
17,0.0004921457902821577,17,2.4815343734741213,0.3495,,
18,0.0004911393546144495,18,2.399354201889038,0.3669,3.072614334487915,0.2804
19,0.0004900734214192357,19,2.3810087215423583,0.365,,
20,0.0004889482536995824,20,2.302911827468872,0.3887,3.1159325771331785,0.2882
21,0.0004877641290737883,21,2.242907154083252,0.3979,,
22,0.00048652133970688617,22,2.1781604694366457,0.4103,3.039615146255493,0.3007
23,0.0004852201922385562,23,2.0829960651397705,0.4331,,
24,0.0004838610077074667,24,2.0427048477172853,0.4419,3.1007514293670653,0.3059
25,0.00048244412147206266,25,1.9667964725494385,0.4567,,
26,0.0004809698831278215,26,1.901345153427124,0.4739,3.095822849655151,0.3031
27,0.00047943865642099503,27,1.8634218223571777,0.4878,,
28,0.00047785081915886106,28,1.809115811920166,0.5009,2.9887389739990233,0.3271
29,0.0004762067631165046,29,1.7319939476013184,0.5106,,
30,0.00047450689394015364,30,1.660320041656494,0.529,3.1857896034240722,0.3183
31,0.0004727516310470917,31,1.6250995769500733,0.5377,,
32,0.00047094140752217313,32,1.5425426788330079,0.5583,3.16989100189209,0.3261
33,0.00046907667001096557,33,1.4953095252990722,0.5661,,
34,0.00046715787860954753,34,1.4482695140838624,0.5814,3.156554206085205,0.3369
35,0.00046518550675098564,35,1.3680113262176514,0.6001,,
36,0.0004631600410885228,36,1.344515987586975,0.6072,3.0976207397460938,0.3441
37,0.0004610819813755035,37,1.2406575187683107,0.628,,
38,0.00045895184034206734,38,1.2659327083587646,0.63,3.2357027431488037,0.355
39,0.00045677014356864016,39,1.1702851669311523,0.6523,,
40,0.0004545374293562556,40,1.0919236157417298,0.6701,3.2450430381774904,0.3412
41,0.0004522542485937366,41,1.0106375597000121,0.6979,,
42,0.0004499211646217724,42,1.0214369012832643,0.6917,3.24058031539917,0.357
43,0.0004475387530939223,43,0.9910951084136963,0.7031,,
44,0.00044510760183458215,44,0.9996118047714233,0.6985,3.245488105392456,0.3607
45,0.000442628310693947,45,0.8714834592819214,0.7329,,
46,0.00044010149140000747,46,0.7992844486236572,0.7528,3.381501093673706,0.362
47,0.0004375277674076146,47,0.7832582914352417,0.7592,,
48,0.00043490777374465206,48,0.7309808998107911,0.7761,3.4397175010681154,0.359
49,0.00043224215685535255,49,0.7779103384017945,0.7559,,
50,0.0004295315744407969,50,0.7162994871139526,0.7804,3.452969060897827,0.3579
51,0.00042677669529663653,51,0.6058252874851227,0.8152,,
52,0.0004239781991480782,52,0.540923176574707,0.8361,3.537572302246094,0.3664
53,0.00042113677648217187,53,0.5612038900375366,0.8277,,
54,0.000418253128377443,54,0.5060020391464234,0.8416,3.7035515701293944,0.3608
55,0.00041532796633091264,55,0.4996727098464966,0.846,,
56,0.0004123620120825456,56,0.46058646717071533,0.8581,3.6936760730743408,0.367
57,0.0004093559974371721,57,0.5103473447799682,0.8412,,
58,0.000406310664083926,58,0.45672778282165527,0.859,3.770146580505371,0.3639
59,0.0004032267634132438,59,0.4847412935256958,0.8522,,
60,0.00040010505633147073,60,0.4114257148742676,0.8749,3.7255672187805176,0.3681
61,0.000396946313073118,61,0.33730060682296753,0.9013,,
62,0.0003937513130108194,62,0.3327932050704956,0.9023,3.859887600708008,0.3738
63,0.00039052084446303243,63,0.31201557512283323,0.9058,,
64,0.0003872557044995327,64,0.33798417739868164,0.8957,3.7939358055114747,0.3794
65,0.0003839566987447489,65,0.3381468761444092,0.8991,,
66,0.00038062464117898695,66,0.34224437084198,0.8951,3.843722679901123,0.3841
67,0.0003772603539375926,67,0.3239565577507019,0.9017,,
68,0.0003738646671081017,68,0.24466333684921265,0.929,3.8527413230895995,0.3802
69,0.00037043841852542857,69,0.24268978099823,0.9297,,
70,0.00036698245356514314,70,0.29744294643402097,0.9123,3.9114591682434083,0.3818
71,0.00036349762493488645,71,0.29640011968612673,0.9142,,
72,0.0003599847924639785,72,0.35182837505340575,0.891,3.966354330444336,0.3825
73,0.0003564448228912679,73,0.21090561876296998,0.9394,,
74,0.00035287858965127696,74,0.20016263904571532,0.9427,4.026641450119018,0.3814
75,0.0003492869726586949,75,0.21533628444671632,0.9346,,
76,0.0003456708580912722,76,0.20625493240356446,0.9383,3.9825840129852295,0.3882
77,0.00034203113817116924,77,0.20321314611434937,0.9394,,
78,0.000338368710944814,78,0.18081416926383972,0.9468,4.027276109313965,0.385
79,0.0003346844800613226,79,0.17600719032287598,0.9496,,
80,0.00033097935454953704,80,0.18059087405204774,0.949,4.134001029968262,0.3811
81,0.00032725424859373655,81,0.13210725164413453,0.9654,,
82,0.0003235100813080757,82,0.24229613418579102,0.9288,4.103871512985229,0.3801
83,0.0003197477765098071,83,0.22309914960861207,0.9328,,
84,0.0003159682624913429,84,0.23664811153411866,0.9277,4.172101467132569,0.3818
85,0.0003121724717912134,85,0.17805975103378296,0.9483,,
86,0.0003083613409639761,86,0.1325757197856903,0.9629,4.155959728622436,0.3904
87,0.00030453581034913543,87,0.14146293699741364,0.9604,,
88,0.0003006968238391279,88,0.08402939023971558,0.981,4.148687279129028,0.403
89,0.000296845328646431,89,0.1698331036567688,0.9505,,
90,0.00029298227506985216,90,0.15468871293067932,0.9546,4.256825912857056,0.3854
91,0.0002891086162600575,91,0.14624609498977661,0.9599,,
92,0.0002852253079843955,92,0.14474743628501893,0.9578,4.158594528579712,0.3967
93,0.0002813333083910759,93,0.10162702589035034,0.973,,
94,0.0002774335777727611,94,0.12898855214118957,0.9639,4.230267169952392,0.3964
95,0.00027352707832962835,95,0.16003204793930054,0.9559,,
96,0.000269614773931961,96,0.12145309586524963,0.9673,4.212211767578125,0.4006
97,0.0002656976298823281,97,0.08850277762413025,0.9765,,
98,0.0002617766126774104,98,0.0807916624546051,0.9797,4.2531232822418215,0.3963
99,0.00025785268976953184,99,0.070962912607193,0.9833,,
100,0.00025392682932795496,100,0.052332009744644165,0.9884,4.246562464904785,0.4023
101,0.0002499999999999998,101,0.09102495555877685,0.9743,,
102,0.00024607317067204467,102,0.06642112529277802,0.984,4.317906163024903,0.3927
103,0.0002421473102304677,103,0.13867465178966523,0.9616,,
104,0.00023822338732258912,104,0.08715088131427765,0.9775,4.316107845306396,0.3942
105,0.00023430237011767144,105,0.06018914906978607,0.9845,,
106,0.00023038522606803858,106,0.10417541995048522,0.9726,4.320100532150269,0.3966
107,0.0002264729216703712,107,0.08705744543075561,0.9753,,
108,0.0002225664222272385,108,0.14020936090946198,0.9615,4.3602255294799805,0.3939
109,0.00021866669160892376,109,0.06142647907733917,0.9844,,
110,0.0002147746920156042,110,0.08669248991012574,0.9779,4.365001776123047,0.4028
111,0.0002108913837399421,111,0.0556729038476944,0.9879,,
112,0.00020701772493014742,112,0.055481874299049376,0.986,4.346168647766113,0.4048
113,0.0002031546713535687,113,0.079170241522789,0.9802,,
114,0.00019930317616087176,114,0.07096393597126006,0.9826,4.2620890316009525,0.4043
115,0.0001954641896508643,115,0.07597161130905151,0.9796,,
116,0.0001916386590360235,116,0.06522791297435761,0.9839,4.3173168220520015,0.4016
117,0.00018782752820878617,117,0.04834159648418426,0.9882,,
118,0.00018403173750865666,118,0.03662781250476837,0.9926,4.3489957008361815,0.4044
119,0.00018025222349019257,119,0.03217170137166977,0.993,,
120,0.0001764899186919239,120,0.039238315308094025,0.9912,4.398508961868286,0.3992
121,0.0001727457514062631,121,0.03062443380355835,0.9937,,
122,0.00016902064545046253,122,0.03032763533592224,0.9936,4.4016465564727785,0.4047
123,0.00016531551993867705,123,0.037240335094928745,0.9928,,
124,0.00016163128905518563,124,0.04583112576007843,0.9893,4.45486964263916,0.3927
125,0.00015796886182883044,125,0.04539573794603348,0.9896,,
126,0.0001543291419087275,126,0.059657750976085666,0.9849,4.397231853485107,0.3992
127,0.0001507130273413047,127,0.03212252286672592,0.9932,,
128,0.0001471214103487227,128,0.039304932844638825,0.9897,4.457068245697021,0.4055
129,0.00014355517710873172,129,0.04359230101108551,0.9894,,
130,0.0001400152075360211,130,0.03883081916570663,0.9906,4.499727173614502,0.3985
131,0.0001365023750651132,131,0.048093313765525815,0.9876,,
132,0.0001330175464348566,132,0.042908025538921354,0.9897,4.488069087219238,0.4011
133,0.00012956158147457104,133,0.03210346406698227,0.9933,,
134,0.00012613533289189798,134,0.020786742055416106,0.9966,4.483566367340088,0.4061
135,0.00012273964606240704,135,0.02431603010892868,0.9955,,
136,0.00011937535882101267,136,0.030414678978919984,0.9936,4.470720975494385,0.4075
137,0.00011604330125525064,137,0.03272948652505875,0.9917,,
138,0.0001127442955004669,138,0.017109951537847518,0.9969,4.501629006958008,0.4086
139,0.0001094791555369672,139,0.019871585631370543,0.9958,,
140,0.00010624868698918024,140,0.019751397043466568,0.9964,4.462775830459595,0.4068
141,0.00010305368692688163,141,0.02051512804031372,0.9962,,
142,0.00009989494366852891,142,0.020953761214017867,0.9957,4.44934094619751,0.414
143,0.00009677323658675574,143,0.019751006942987443,0.9964,,
144,0.00009368933591607359,144,0.021941414219141007,0.9957,4.479942343139649,0.4096
145,0.00009064400256282745,145,0.020899979996681212,0.9953,,
146,0.00008763798791745401,146,0.02149948663711548,0.9959,4.475677099609375,0.412
147,0.00008467203366908697,147,0.020907032865285873,0.9963,,
148,0.00008174687162255655,148,0.021498499912023544,0.9959,4.483882769012451,0.4039
149,0.00007886322351782772,149,0.021850230896472932,0.9955,,
150,0.00007602180085192133,150,0.01568238345980644,0.9976,4.4713385303497315,0.4157
151,0.00007322330470336305,151,0.022159519895911216,0.9951,,
152,0.00007046842555920274,152,0.016226246377825736,0.9971,4.489121018600464,0.4125
153,0.00006775784314464707,153,0.014177564719319344,0.9978,,
154,0.00006509222625534746,154,0.013923070940375329,0.9974,4.502579371643066,0.4126
155,0.00006247223259238502,155,0.010621536675095558,0.9987,,
156,0.00005989850859999219,156,0.013506219214200973,0.9975,4.495050930786133,0.4104
157,0.000057371689306052636,157,0.0171379665017128,0.9971,,
158,0.00005489239816541753,158,0.015216169488430024,0.9975,4.526540904426574,0.4072
159,0.00005246124690607732,159,0.017720754119753837,0.9974,,
160,0.000050078835378227284,160,0.011577508845925332,0.9986,4.526413075256348,0.4135
161,0.000047745751406263096,161,0.010284026959538459,0.9982,,
162,0.00004546257064374411,162,0.013513928374648094,0.9976,4.502522958374024,0.4116
163,0.00004322985643135951,163,0.010890293699502946,0.9982,,
164,0.00004104815965793243,164,0.011576892033219337,0.9989,4.524222265625,0.4128
165,0.00003891801862449623,165,0.008480976989865304,0.9991,,
166,0.00003683995891147696,166,0.0097961797863245,0.9986,4.528529061889649,0.413
167,0.00003481449324901401,167,0.008368596762418747,0.999,,
168,0.00003284212139045212,168,0.008968992622196675,0.9987,4.506356254196167,0.4137
169,0.00003092332998903406,169,0.009807948607206345,0.9988,,
170,0.00002905859247782659,170,0.009582298043370246,0.9985,4.528976162719727,0.4153
171,0.000027248368952908014,171,0.009987521693110466,0.9987,,
172,0.00002549310605984608,172,0.008576382178068161,0.9991,4.534288790893554,0.4129
173,0.000023793236883495127,173,0.008411962528526783,0.9985,,
174,0.000022149180841138702,174,0.011783788803219794,0.9983,4.525599231719971,0.4126
175,0.000020561343579004743,175,0.008652857810258865,0.9984,,
176,0.000019030116872178343,176,0.007685824173688889,0.9989,4.503023550415039,0.4112
177,0.000017555878527937136,177,0.007627019277215004,0.9993,,
178,0.000016138992292533132,178,0.0063609193220734595,0.9993,4.505262230682373,0.4116
179,0.000014779807761443615,179,0.007321232597529888,0.9992,,
180,0.000013478660293113657,180,0.006527577966451645,0.9993,4.498142567443848,0.4135
181,0.0000122358709262116,181,0.007964775481820107,0.9993,,
182,0.000011051746300417455,182,0.0070831000685691835,0.9994,4.485913346099854,0.4161
183,9.926578580764248e-6,183,0.006846709859371186,0.9994,,
184,8.860645385550496e-6,184,0.008160110254585743,0.9993,4.520327509307862,0.4136
185,7.854209717842249e-6,185,0.006476046028733254,0.9997,,
186,6.907519900580852e-6,186,0.008306997963786126,0.9989,4.5068799629211425,0.4136
187,6.0208095153131615e-6,187,0.006942228217422962,0.9993,,
188,5.1942973445585285e-6,188,0.00633345001488924,0.9993,4.481127575683594,0.415
189,4.4281873178278145e-6,189,0.007977728329598904,0.999,,
190,3.7226684613065283e-6,190,0.006308680373430252,0.9996,4.495002010345459,0.4161
191,3.0779148512155813e-6,191,0.006391043795645237,0.9996,,
192,2.494085570860613e-6,192,0.007095197109878063,0.9989,4.487123628997803,0.4159
193,1.9713246713805566e-6,193,0.0057782252699136736,0.9995,,
194,1.5097611362050993e-6,194,0.005870579725503922,0.9996,4.504163060760498,0.4144
195,1.1095088492299995e-6,195,0.006440876258909703,0.9991,,
196,7.706665667180081e-7,196,0.004721490071713925,0.9999,4.487789197540283,0.416
197,4.933178929321097e-7,197,0.005745892442762851,0.9995,,
198,2.7753125950752376e-7,198,0.005371324270963668,0.9998,4.493720800018311,0.4147
199,1.2335990856709983e-7,199,0.006863868641853332,0.999,,
200,3.084187958485303e-8,200,0.00647144168317318,0.9995,4.492968353652954,0.4167
