step,lr,epoch,train_loss
1,0.001,1,0.004634461055149634
2,0.001,2,0.0023320781977971394
3,0.001,3,0.0023663100725909076
4,0.001,4,0.002260960544794798
5,0.001,5,0.0022489854302008947
6,0.001,6,0.0021895302291214465
7,0.001,7,0.0021514484072228273
8,0.001,8,0.0021296961244940756
9,0.001,9,0.0021231327242652574
10,0.001,10,0.002087248572309812
11,0.001,11,0.0020773404047389823
12,0.001,12,0.002074385660936435
13,0.001,13,0.00206863221719861
14,0.001,14,0.002067126560509205
15,0.001,15,0.0020567542802294096
16,0.001,16,0.0020333891392747563
17,0.001,17,0.0020433688998222352
18,0.001,18,0.002045314899235964
19,0.001,19,0.0020349396682282288
20,0.001,20,0.0020276984729866187
21,0.001,21,0.0020184539177020393
22,0.001,22,0.002024212061315775
23,0.001,23,0.0020196422896782557
24,0.001,24,0.0020090508617957433
25,0.001,25,0.002010518028587103
26,0.001,26,0.002016856878399849
27,0.001,27,0.002005146088451147
28,0.001,28,0.00201025094161431
29,0.001,29,0.0020045634201169013
30,0.001,30,0.0020068079728881518
31,0.001,31,0.0020144228027760983
32,0.001,32,0.001997365118761857
33,0.001,33,0.0020116937354703744
34,0.001,34,0.0020061448823908965
35,0.001,35,0.001997959395100673
36,0.001,36,0.0019921765538553396
37,0.001,37,0.001984177221705516
38,0.001,38,0.0019906796999275686
39,0.001,39,0.0019884068298339844
40,0.001,40,0.0019840086236596107
41,0.001,41,0.0019911796225607395
42,0.001,42,0.001990997945765654
43,0.001,43,0.0019907594272494315
44,0.001,44,0.0019790943116446335
45,0.001,45,0.0019862785453100998
46,0.001,46,0.0019898769227663675
47,0.001,47,0.001988856335779031
48,0.001,48,0.0019842569060623647
49,0.001,49,0.001976525683005651
50,0.001,50,0.0019716146263976894
51,0.001,51,0.0019823940803607304
52,0.001,52,0.0019750490111112595
53,0.001,53,0.0019742638611793518
54,0.001,54,0.001974946841398875
55,0.001,55,0.001980317969520887
56,0.001,56,0.0019763424496352672
57,0.001,57,0.0019733926829198995
58,0.001,58,0.001978850587805112
59,0.001,59,0.001962516416708628
60,0.001,60,0.001976046754370133
61,0.001,61,0.0019649237481256326
62,0.001,62,0.001962532927642266
63,0.001,63,0.0019770177301267782
64,0.001,64,0.0019709175904095173
65,0.001,65,0.0019758116428554057
66,0.001,66,0.001957272331813971
67,0.001,67,0.0019776760627826053
68,0.001,68,0.0019568977638085685
69,0.001,69,0.0019627343617379667
70,0.001,70,0.001959166108071804
71,0.001,71,0.001953864536980788
72,0.001,72,0.0019614212040106457
73,0.001,73,0.0019621411286791166
74,0.001,74,0.0019633931790292262
75,0.001,75,0.0019573074495295682
76,0.001,76,0.0019435089953243733
77,0.001,77,0.0019560618576904137
78,0.001,78,0.00195310341651241
79,0.001,79,0.001966371667534113
80,0.001,80,0.0019518877137700717
81,0.001,81,0.0019513420172035693
82,0.001,82,0.0019477322222292424
83,0.001,83,0.0019537204279998937
84,0.001,84,0.001948242511798938
85,0.001,85,0.0019513098106781642
86,0.001,86,0.0019485792091488837
87,0.001,87,0.0019534807822604973
88,0.001,88,0.0019543118846416475
89,0.001,89,0.001954618683507045
90,0.001,90,0.0019482258346676827
91,0.001,91,0.0019547897791365784
92,0.001,92,0.0019521480735639732
93,0.001,93,0.0019452920954922835
94,0.001,94,0.0019495867577691874
95,0.001,95,0.001945210696955522
96,0.001,96,0.0019431754058102768
97,0.001,97,0.0019412846833964188
98,0.001,98,0.0019483336374660333
99,0.001,99,0.0019457945464054743
100,0.001,100,0.0019574956756830218
