step,lr,epoch,train_loss
1,0.001,1,0.5174070596694946
2,0.001,2,0.712835431098938
3,0.001,3,0.8212200403213501
4,0.001,4,0.37220966815948486
5,0.001,5,0.3048025369644165
6,0.001,6,0.26673826575279236
7,0.001,7,0.23246313631534576
8,0.001,8,0.208700492978096
9,0.001,9,0.20054991543293
10,0.001,10,0.18683169782161713
11,0.001,11,0.17507368326187134
12,0.001,12,0.1655556708574295
13,0.001,13,0.15714864432811737
14,0.001,14,0.15167808532714844
15,0.001,15,0.14517968893051147
16,0.001,16,0.13781914114952087
17,0.001,17,0.13259194791316986
18,0.001,18,0.12776172161102295
19,0.001,19,0.12262671440839767
20,0.001,20,0.1174226775765419
21,0.001,21,0.11286334693431854
22,0.001,22,0.10844121873378754
23,0.001,23,0.1037636250257492
24,0.001,24,0.0988304615020752
25,0.001,25,0.09441545605659485
26,0.001,26,0.08967570215463638
27,0.001,27,0.08493400365114212
28,0.001,28,0.0805339440703392
29,0.001,29,0.07606876641511917
30,0.001,30,0.07137033343315125
31,0.001,31,0.066880002617836
32,0.001,32,0.06258254498243332
33,0.001,33,0.0580020509660244
34,0.001,34,0.053714681416749954
35,0.001,35,0.049548760056495667
36,0.001,36,0.045467641204595566
37,0.001,37,0.041604842990636826
38,0.001,38,0.03804970532655716
39,0.001,39,0.034771718084812164
40,0.001,40,0.0331617072224617
41,0.001,41,0.03944365307688713
42,0.001,42,0.07732582837343216
43,0.001,43,0.13309387862682343
44,0.001,44,0.06260470300912857
45,0.001,45,0.060949333012104034
46,0.001,46,0.031915295869112015
47,0.001,47,0.05359572917222977
48,0.001,48,0.022612420842051506
49,0.001,49,0.02622540481388569
50,0.001,50,0.02980964258313179
51,0.001,51,0.025808244943618774
52,0.001,52,0.019160287454724312
53,0.001,53,0.0185865331441164
54,0.001,54,0.017539309337735176
55,0.001,55,0.018991785123944283
56,0.001,56,0.01859358884394169
57,0.001,57,0.018085366114974022
58,0.001,58,0.016841238364577293
59,0.001,59,0.016059501096606255
60,0.001,60,0.015948934480547905
61,0.001,61,0.015961339697241783
62,0.001,62,0.01678261160850525
63,0.001,63,0.01758565567433834
64,0.001,64,0.020576540380716324
65,0.001,65,0.023847289383411407
66,0.001,66,0.024814272299408913
67,0.001,67,0.018958818167448044
68,0.001,68,0.015457303263247013
69,0.001,69,0.018330534920096397
70,0.001,70,0.017424501478672028
71,0.001,71,0.014928746968507767
72,0.001,72,0.01647285744547844
73,0.001,73,0.015332251787185669
74,0.001,74,0.014672527089715004
75,0.001,75,0.015245949849486351
76,0.001,76,0.0142239760607481
77,0.001,77,0.014446274377405643
78,0.001,78,0.014067894779145718
79,0.001,79,0.013868705369532108
80,0.001,80,0.013773019425570965
81,0.001,81,0.01350830402225256
82,0.001,82,0.01353403553366661
83,0.001,83,0.01320621371269226
84,0.001,84,0.013242014683783054
85,0.001,85,0.01306353323161602
86,0.001,86,0.012972072698175907
87,0.001,87,0.012855563312768936
88,0.001,88,0.012817781418561935
89,0.001,89,0.012646867893636227
90,0.001,90,0.012635936960577965
91,0.001,91,0.012491249479353428
92,0.001,92,0.012445027008652687
93,0.001,93,0.012310471385717392
94,0.001,94,0.012267074547708035
95,0.001,95,0.012167049571871758
96,0.001,96,0.012078455649316311
97,0.001,97,0.011997442692518234
98,0.001,98,0.011918837204575539
99,0.001,99,0.011847849935293198
100,0.001,100,0.011759382672607899
