step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,1.9223184854507447,0.2939,1.8743839500427246,0.3203
2,0.0004998766400914329,2,1.7409851455688476,0.3697,1.7699026893615724,0.3481
3,0.0004995066821070679,3,1.6573218021392822,0.3962,1.8386464012145995,0.3719
4,0.00049889049115077,4,1.592084432029724,0.4226,1.808989134979248,0.3719
5,0.0004980286753286195,5,1.5468083974838256,0.4407,1.5855662803649901,0.4284
6,0.0004969220851487844,6,1.5016051116943359,0.4552,1.6027446294784546,0.4363
7,0.0004955718126821722,7,1.4610674951553344,0.4698,1.5752923961639405,0.4282
8,0.0004939791904846868,8,1.44220146484375,0.4811,1.5487143140792847,0.4544
9,0.0004921457902821577,9,1.4182992679595947,0.4904,1.4498302471160889,0.468
10,0.0004900734214192357,10,1.3823615447998048,0.5024,1.4131487581253053,0.4833
11,0.00048776412907378835,11,1.3382336217880249,0.5191,2.2313709358215332,0.3437
12,0.00048522019223855637,12,1.328066760444641,0.5229,1.5507754899978639,0.4545
13,0.00048244412147206283,13,1.3113371625900268,0.5318,1.5101509050369262,0.4669
14,0.00047943865642099525,14,1.2897960807800293,0.5349,1.4131246437072753,0.5001
15,0.0004762067631165049,15,1.2556132055282592,0.5482,1.4353585105895996,0.4938
16,0.00047275163104709196,16,1.253107780647278,0.5528,1.4253799310684203,0.4985
17,0.0004690766700109659,17,1.2135632829666139,0.5674,1.402688373374939,0.506
18,0.00046518550675098597,18,1.2123530948638916,0.5614,1.336054793548584,0.5279
19,0.0004610819813755038,19,1.1842485963821412,0.5742,1.298795725631714,0.5331
20,0.0004567701435686405,20,1.1690222232818603,0.5771,1.3193762357711791,0.5404
21,0.00045225424859373693,21,1.1364934787750245,0.5928,1.339037504005432,0.5194
22,0.0004475387530939226,22,1.1363343254089355,0.5927,1.3073474756240844,0.5369
23,0.0004426283106939473,23,1.1170839233398437,0.5963,1.304015235710144,0.5347
24,0.0004375277674076149,24,1.0876210861206055,0.6111,1.2522869057655335,0.5583
25,0.00043224215685535287,25,1.0662860620498658,0.6178,1.2974222608566284,0.5509
26,0.00042677669529663686,26,1.0588683376312256,0.6236,1.1670968891143798,0.5826
27,0.0004211367764821722,27,1.034607064628601,0.6302,1.19874233379364,0.5809
28,0.00041532796633091297,28,1.0235822212219239,0.6357,1.2072012851715088,0.5677
29,0.00040935599743717243,29,0.9918064096450806,0.646,1.3717922454833984,0.5331
30,0.00040322676341324415,30,0.9916569040298462,0.6486,1.1468877864837645,0.5979
31,0.00039694631307311834,31,0.974059680557251,0.6503,1.258124875164032,0.5678
32,0.0003905208444630327,32,0.9615137357711792,0.6534,1.4531504564285278,0.5166
33,0.00038395669874474915,33,0.9490191822052002,0.6613,1.2528277536392212,0.5742
34,0.00037726035393759286,34,0.9214098703384399,0.6682,1.2170297410964965,0.5758
35,0.00037043841852542884,35,0.913829709148407,0.6735,1.2284046583175658,0.5883
36,0.0003634976249348867,36,0.8856845237731934,0.6878,1.1935061643600464,0.5862
37,0.0003564448228912682,37,0.8905021169662476,0.6811,1.2072244911193848,0.5907
38,0.00034928697265869515,38,0.8839143817901611,0.6821,1.1573168981552124,0.6041
39,0.00034203113817116957,39,0.8601808484077453,0.6945,1.1116700344085693,0.6155
40,0.0003346844800613229,40,0.8501187923431397,0.6947,1.184866382408142,0.5999
41,0.00032725424859373687,41,0.8441692937850952,0.6984,1.1763101234436035,0.6041
42,0.00031974777650980735,42,0.8201040218353272,0.7087,1.1559277814865112,0.6088
43,0.0003121724717912137,43,0.8190393458366394,0.7086,1.1781843614578247,0.6029
44,0.0003045358103491357,44,0.7912771100997925,0.7155,1.2025858539581298,0.5951
45,0.00029684532864643126,45,0.7804122550010681,0.7162,1.0969494720458985,0.6306
46,0.0002891086162600578,46,0.7668121300697327,0.7271,1.107882975959778,0.6231
47,0.00028133330839107617,47,0.7616373083114624,0.7294,1.2974686279296874,0.5777
48,0.0002735270783296286,48,0.743979094696045,0.7334,1.107325454044342,0.6265
49,0.00026569762988232844,49,0.7312173610687256,0.7358,1.1490594221115111,0.6194
50,0.00025785268976953217,50,0.7192619619369507,0.743,1.1152577072143555,0.6247
51,0.0002500000000000001,51,0.7046154187202454,0.7465,1.1689123666763306,0.6168
52,0.00024214731023046803,52,0.7170105414390564,0.744,1.1059943033218385,0.6334
53,0.00023430237011767176,53,0.6850587376117706,0.755,1.1480720228195191,0.6266
54,0.0002264729216703715,54,0.6854004157066346,0.7558,1.1393765647888183,0.6242
55,0.00021866669160892403,55,0.6780856468200683,0.7572,1.1144907703399658,0.6299
56,0.00021089138373994235,56,0.6425084941864013,0.7771,1.117068000793457,0.6364
57,0.00020315467135356892,57,0.633645408153534,0.7746,1.0704275907516478,0.6506
58,0.0001954641896508645,58,0.6338486427307128,0.7762,1.0857733856201173,0.6393
59,0.00018782752820878634,59,0.6099257488250732,0.785,1.081178055381775,0.6499
60,0.00018025222349019276,60,0.6054768213272095,0.7854,1.1505672417640687,0.6333
61,0.00017274575140626327,61,0.5978874419212341,0.7842,1.1103757259368896,0.6427
62,0.0001653155199386772,62,0.5950710676193237,0.7854,1.1964600799560547,0.6263
63,0.00015796886182883063,63,0.5911813257217408,0.7877,1.086199705696106,0.6476
64,0.00015071302734130486,64,0.5832312860488892,0.796,1.1429634851455688,0.6368
65,0.00014355517710873186,65,0.5537510278701783,0.8034,1.0945733444213868,0.6506
66,0.00013650237506511334,66,0.5570018991470337,0.8046,1.1033562133789063,0.6502
67,0.00012956158147457117,67,0.5385993693351746,0.8103,1.0892602608680726,0.6568
