step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.7658935413360596,0.022,,
2,0.0004999987663004646,2,0.7573606751759847,0.054,,
3,0.0004999950652140342,3,0.7503550662994385,0.07,,
4,0.0004999888967772375,4,0.74403693262736,0.085,,
5,0.0004999802610509541,5,0.7378552207946777,0.101,,
6,0.0004999691581204152,6,0.7318933842976888,0.103,,
7,0.0004999555880952023,7,0.7263050689697266,0.105,,
8,0.000499939551109246,8,0.7207158813476563,0.122,,
9,0.000499921047320825,9,0.7151120516459147,0.13,,
10,0.000499900076912564,10,0.7094444713592529,0.132,0.7285196168263753,0.0516
11,0.0004998766400914328,11,0.7043759784698487,0.151,,
12,0.0004998507370887432,12,0.6992934481302897,0.154,,
13,0.0004998223681601473,13,0.693864667892456,0.16,,
14,0.000499791533585635,14,0.6890046825408935,0.157,,
15,0.0004997582336695312,15,0.6837912565867106,0.173,,
16,0.0004997224687404926,16,0.6796228726704915,0.172,,
17,0.0004996842391515044,17,0.6745398063659668,0.183,,
18,0.0004996435452798774,18,0.670775497118632,0.185,,
19,0.0004996003875272437,19,0.6669508228302002,0.184,,
20,0.0004995547663195529,20,0.6617029247283935,0.19,0.689685986773173,0.0883
21,0.0004995066821070678,21,0.6567390492757161,0.195,,
22,0.0004994561353643604,22,0.6536454470952352,0.194,,
23,0.0004994031265903062,23,0.6487727661132813,0.217,,
24,0.0004993476563080808,24,0.6428922319412231,0.223,,
25,0.0004992897250651533,25,0.6394453951517741,0.222,,
26,0.0004992293334332819,26,0.635663127263387,0.223,,
27,0.0004991664820085072,27,0.630209023475647,0.244,,
28,0.0004991011714111478,28,0.6270288076400757,0.235,,
29,0.0004990334022857929,29,0.6221143398284912,0.25,,
30,0.0004989631753012961,30,0.6184103797276814,0.251,0.6728826947530111,0.1007
31,0.0004988904911507697,31,0.6144156042734782,0.263,,
32,0.0004988153505515768,32,0.6107566687266032,0.256,,
33,0.0004987377542453248,33,0.6076373637517293,0.253,,
34,0.0004986577029978577,34,0.603299659093221,0.279,,
35,0.0004985751975992494,35,0.5983225456873575,0.284,,
36,0.0004984902388637946,36,0.597094428062439,0.276,,
37,0.0004984028276300018,37,0.5919884840647379,0.281,,
38,0.0004983129647605845,38,0.5881343688964844,0.294,,
39,0.0004982206511424531,39,0.5833885043462117,0.299,,
40,0.0004981258876867056,40,0.5797602351506551,0.296,0.6577638878504435,0.1177
41,0.0004980286753286192,41,0.577025795618693,0.299,,
42,0.0004979290150276404,42,0.5730598341623943,0.293,,
43,0.0004978269077673763,43,0.568067021369934,0.304,,
44,0.0004977223545555844,44,0.5639810368220012,0.322,,
45,0.0004976153564241624,45,0.5612456607818603,0.323,,
46,0.000497505914429139,46,0.5565456546147665,0.318,,
47,0.0004973940296506623,47,0.5529995574951172,0.333,,
48,0.00049727970319299,48,0.5488582426706949,0.338,,
49,0.0004971629361844781,49,0.5443824577331543,0.349,,
50,0.0004970437297775698,50,0.5426152203877767,0.352,0.6471657267252604,0.1215
51,0.0004969220851487841,51,0.5379285856882731,0.365,,
52,0.0004967980034987045,52,0.5354065669377644,0.345,,
53,0.0004966714860519666,53,0.5310390685399373,0.37,,
54,0.0004965425340572469,54,0.5270717325210571,0.358,,
55,0.0004964111487872491,55,0.5249796889623006,0.381,,
56,0.000496277331538693,56,0.5203858334223429,0.386,,
