step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.3794763199488322,0.172
2,0.0004999996915749259,2,0.36551699924468994,0.29
3,0.0004999987663004646,3,0.3526913576126099,0.33
4,0.000499997224178899,4,0.3417922035853068,0.36
5,0.0004999950652140343,5,0.3318459844589233,0.404
6,0.0004999922894111975,6,0.3225032205581665,0.42
7,0.0004999888967772375,7,0.3157611044247945,0.45
8,0.0004999848873205254,8,0.3079657088915507,0.482
9,0.0004999802610509541,9,0.30132607618967694,0.52
10,0.0004999750179799384,10,0.2951445158322652,0.484
11,0.0004999691581204152,11,0.2886776336034139,0.548
12,0.000499962681486843,12,0.28223424196243285,0.556
13,0.0004999555880952023,13,0.2764347082773844,0.564
14,0.0004999478779629953,14,0.271076034228007,0.584
15,0.000499939551109246,15,0.2637100378672282,0.6
