step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.35560309918721517,0.21,,
2,0.0004999999506519797,2,0.31390967496236166,0.299,,
3,0.000499999802607938,3,0.3023175388971964,0.325,,
4,0.0004999995558679335,4,0.28829865233103436,0.364,,
5,0.0004999992104320636,5,0.2772270180384318,0.403,,
6,0.0004999987663004647,6,0.27068049685160317,0.423,,
7,0.0004999982234733119,7,0.26461056820551554,0.427,,
8,0.0004999975819508197,8,0.258965224424998,0.446,,
9,0.0004999968417332414,9,0.2539075312614441,0.458,,
10,0.0004999960028208692,10,0.24713820441563925,0.463,,
11,0.0004999950652140343,11,0.2403073706626892,0.47,,
12,0.0004999940289131069,12,0.23049139340718588,0.528,,
13,0.0004999928939184959,13,0.23011108636856079,0.528,,
14,0.0004999916602306494,14,0.22486617771784465,0.526,,
15,0.0004999903278500547,15,0.22471239264806112,0.529,,
16,0.0004999888967772376,16,0.21338706127802531,0.559,,
17,0.0004999873670127631,17,0.2123508241971334,0.548,,
18,0.0004999857385572352,18,0.2069632740020752,0.567,,
19,0.0004999840114112967,19,0.19973365942637125,0.59,,
20,0.0004999821855756295,20,0.19451515769958497,0.595,,
21,0.0004999802610509543,21,0.19346563053131102,0.596,,
22,0.000499978237838031,22,0.1908629388809204,0.612,,
23,0.0004999761159376583,23,0.18282378975550334,0.623,,
24,0.0004999738953506738,24,0.17999386358261107,0.636,,
25,0.0004999715760779543,25,0.17834032615025838,0.63,,
26,0.0004999691581204154,26,0.17068097750345865,0.659,,
27,0.0004999666414790115,27,0.16480634164810182,0.666,,
28,0.0004999640261547363,28,0.16321637264887492,0.672,,
29,0.0004999613121486223,29,0.16373604615529377,0.656,,
30,0.0004999584994617408,30,0.16177556387583414,0.671,,
31,0.0004999555880952024,31,0.1538920886516571,0.698,,
32,0.0004999525780501563,32,0.1567412880261739,0.674,,
33,0.0004999494693277909,33,0.15267862073580424,0.689,,
34,0.0004999462619293334,34,0.15249580160776774,0.695,,
35,0.0004999429558560502,35,0.1422008810043335,0.717,,
36,0.0004999395511092463,36,0.1421733008225759,0.716,,
37,0.0004999360476902658,37,0.1360075914859772,0.73,,
38,0.000499932445600492,38,0.13002596378326417,0.744,,
39,0.0004999287448413468,39,0.12758904274304708,0.754,,
40,0.0004999249454142912,40,0.12287479996681214,0.759,,
41,0.0004999210473208253,41,0.12040255324045818,0.773,,
42,0.0004999170505624878,42,0.11782579072316487,0.786,,
43,0.0004999129551408566,43,0.11311726466814677,0.787,,
44,0.0004999087610575488,44,0.11465044363339742,0.787,,
45,0.0004999044683142198,45,0.11070498935381572,0.796,,
46,0.0004999000769125644,46,0.10592531299591064,0.823,,
47,0.0004998955868543163,47,0.10529488913218181,0.815,,
48,0.000499890998141248,48,0.10726547646522522,0.806,,
49,0.0004998863107751714,49,0.0992764449119568,0.823,,
50,0.0004998815247579366,50,0.09706498591105144,0.838,0.3403550158818563,0.3761
51,0.0004998766400914332,51,0.09095610984166463,0.842,,
52,0.0004998716567775896,52,0.0859461882909139,0.859,,
53,0.000499866574818373,53,0.08732821496327718,0.87,,
54,0.0004998613942157898,54,0.0832811468442281,0.849,,
55,0.0004998561149718852,55,0.07548300615946452,0.877,,
56,0.0004998507370887435,56,0.07241074021657308,0.88,,
57,0.0004998452605684876,57,0.07381970159212749,0.882,,
58,0.0004998396854132796,58,0.07219903834660849,0.879,,
59,0.0004998340116253205,59,0.07214236946900686,0.89,,
60,0.0004998282392068502,60,0.07034955533345541,0.885,,
61,0.0004998223681601476,61,0.07017763702074686,0.89,,
62,0.0004998163984875304,62,0.06584501520792643,0.913,,
63,0.0004998103301913555,63,0.06486617767810822,0.892,,
64,0.0004998041632740185,64,0.06923171166578929,0.886,,
65,0.0004997978977379538,65,0.06588842515150706,0.893,,
66,0.0004997915335856352,66,0.06624323062102,0.888,,
67,0.0004997850708195751,67,0.06017470673720042,0.908,,
68,0.0004997785094423249,68,0.056479393084843954,0.913,,
69,0.0004997718494564749,69,0.05623866891860962,0.919,,
70,0.0004997650908646543,70,0.05799185943603516,0.91,,
71,0.0004997582336695314,71,0.05231440742810567,0.921,,
72,0.0004997512778738133,72,0.05659267711639404,0.912,,
73,0.0004997442234802459,73,0.04941350821654002,0.926,,
74,0.0004997370704916143,74,0.050311529278755186,0.926,,
75,0.0004997298189107424,75,0.04809580651919047,0.927,,
76,0.0004997224687404928,76,0.05114574654897054,0.907,,
77,0.0004997150199837673,77,0.047481188535690305,0.927,,
78,0.0004997074726435069,78,0.050067622025807695,0.923,,
79,0.0004996998267226908,79,0.045926673571268714,0.928,,
80,0.0004996920822243376,80,0.03965953473250071,0.952,,
81,0.0004996842391515047,81,0.04046113348007202,0.942,,
82,0.0004996762975072883,82,0.04196175253391266,0.936,,
83,0.0004996682572948239,83,0.037322278141975404,0.954,,
84,0.0004996601185172855,84,0.039529536803563435,0.951,,
85,0.000499651881177886,85,0.03638917458057404,0.956,,
86,0.0004996435452798776,86,0.032164266963799794,0.963,,
87,0.0004996351108265512,87,0.03165357021490733,0.968,,
88,0.0004996265778212365,88,0.028668661653995516,0.968,,
89,0.0004996179462673022,89,0.030051924288272858,0.962,,
90,0.0004996092161681558,90,0.02620760182539622,0.977,,
91,0.000499600387527244,91,0.02669007009267807,0.967,,
92,0.0004995914603480521,92,0.02451572169860204,0.977,,
93,0.0004995824346341044,93,0.02561909439166387,0.971,,
94,0.0004995733103889641,94,0.023705050508181252,0.974,,
95,0.0004995640876162334,95,0.024998022496700287,0.968,,
96,0.0004995547663195531,96,0.028941097060839336,0.954,,
97,0.0004995453465026033,97,0.026109725395838418,0.968,,
98,0.0004995358281691028,98,0.027230613927046458,0.963,,
99,0.0004995262113228091,99,0.02772392201423645,0.963,,
100,0.0004995164959675191,100,0.027620345095793405,0.961,0.4092333703994751,0.3865
101,0.0004995066821070679,101,0.025539762715498605,0.968,,
102,0.0004994967697453301,102,0.028789682606856028,0.958,,
103,0.0004994867588862188,103,0.024584519267082213,0.975,,
104,0.0004994766495336863,104,0.025005006194114686,0.974,,
105,0.0004994664416917235,105,0.02106586180130641,0.985,,
106,0.0004994561353643604,106,0.02187360773483912,0.975,,
107,0.0004994457305556655,107,0.01791824318965276,0.985,,
108,0.0004994352272697468,108,0.017138040393590927,0.981,,
109,0.0004994246255107506,109,0.015728995720545452,0.989,,
110,0.0004994139252828624,110,0.01942284572124481,0.978,,
111,0.0004994031265903063,111,0.020828230102856955,0.975,,
112,0.0004993922294373457,112,0.017356647849082946,0.986,,
113,0.0004993812338282826,113,0.018894029359022776,0.981,,
114,0.0004993701397674577,114,0.015926875700553258,0.984,,
115,0.000499358947259251,115,0.013327371070782343,0.992,,
116,0.0004993476563080809,116,0.014813439975182216,0.988,,
117,0.0004993362669184051,117,0.013898695449034373,0.985,,
118,0.0004993247790947197,118,0.01411084900299708,0.985,,
119,0.0004993131928415601,119,0.014083026895920435,0.988,,
120,0.0004993015081635005,120,0.012528048863013586,0.992,,
121,0.0004992897250651534,121,0.01172576958934466,0.989,,
122,0.000499277843551171,122,0.012233880092700322,0.992,,
123,0.0004992658636262438,123,0.011982936412096024,0.99,,
124,0.0004992537852951011,124,0.013602779626846313,0.989,,
125,0.0004992416085625115,125,0.015963679909706117,0.982,,
126,0.000499229333433282,126,0.013681960046291351,0.983,,
127,0.0004992169599122586,127,0.013517992754777273,0.989,,
128,0.0004992044880043265,128,0.01774389708042145,0.981,,
129,0.000499191917714409,129,0.014279892802238464,0.985,,
130,0.0004991792490474689,130,0.015776845504840216,0.979,,
131,0.0004991664820085074,131,0.013554668565591177,0.991,,
132,0.000499153616602565,132,0.016723558992147447,0.982,,
133,0.0004991406528347205,133,0.01518074909845988,0.982,,
134,0.000499127590710092,134,0.016566434681415557,0.982,,
135,0.000499114430233836,135,0.017932555695374806,0.973,,
136,0.0004991011714111481,136,0.018952378888924915,0.977,,
137,0.0004990878142472629,137,0.015649720052878062,0.978,,
138,0.0004990743587474533,138,0.017779112766186395,0.978,,
139,0.0004990608049170314,139,0.014185995221138,0.983,,
140,0.0004990471527613481,140,0.019495881895224252,0.971,,
141,0.0004990334022857931,141,0.013196505109469096,0.987,,
142,0.0004990195534957947,142,0.01153021256128947,0.994,,
143,0.0004990056063968204,143,0.012448418289422988,0.989,,
144,0.0004989915609943762,144,0.010946954309940337,0.988,,
145,0.000498977417294007,145,0.01426421381533146,0.982,,
146,0.0004989631753012964,146,0.01272118085126082,0.982,,
147,0.000498948835021867,147,0.0100904966990153,0.991,,
148,0.0004989343964613802,148,0.010704935610294342,0.99,,
149,0.000498919859625536,149,0.009536230345567068,0.992,,
150,0.0004989052245200733,150,0.009997555216153463,0.992,0.4349623554229736,0.4196
151,0.00049889049115077,151,0.008353032737970351,0.995,,
152,0.0004988756595234423,152,0.007539159635702769,0.993,,
153,0.0004988607296439458,153,0.007427948052684466,0.994,,
154,0.0004988457015181743,154,0.006891303857167561,0.997,,
155,0.0004988305751520609,155,0.006896644254525503,0.993,,
156,0.0004988153505515771,156,0.006110443179806074,0.996,,
157,0.0004988000277227334,157,0.005915410031874974,0.997,,
158,0.0004987846066715789,158,0.006161288807789485,0.996,,
159,0.0004987690874042018,159,0.005360840884347757,0.997,,
160,0.0004987534699267287,160,0.004479361022512118,0.999,,
161,0.0004987377542453251,161,0.004110751067598661,0.998,,
162,0.0004987219403661953,162,0.003630083901186784,0.999,,
163,0.0004987060282955826,163,0.004305299699306488,0.998,,
164,0.0004986900180397686,164,0.0036159323503573734,0.999,,
165,0.0004986739096050739,165,0.0045950791562596955,0.996,,
166,0.000498657702997858,166,0.004549343178669611,0.998,,
167,0.000498641398224519,167,0.004893938988447189,0.996,,
168,0.0004986249952914936,168,0.006417330662409465,0.996,,
169,0.0004986084942052575,169,0.006044619793693224,0.994,,
170,0.0004985918949723251,170,0.006110379584133625,0.993,,
171,0.0004985751975992496,171,0.008916636099418004,0.99,,
172,0.0004985584020926227,172,0.007787711838881175,0.995,,
173,0.0004985415084590751,173,0.008926895668109258,0.99,,
174,0.0004985245167052761,174,0.009059547573328018,0.993,,
175,0.0004985074268379336,175,0.009958227058251699,0.988,,
176,0.0004984902388637948,176,0.012099903364976248,0.984,,
177,0.0004984729527896449,177,0.010674663603305816,0.988,,
178,0.0004984555686223083,178,0.013802572175860405,0.978,,
179,0.000498438086368648,179,0.012418199141820272,0.986,,
180,0.0004984205060355658,180,0.015408892075220743,0.98,,
181,0.000498402827630002,181,0.014080517957607905,0.981,,
182,0.0004983850511589357,182,0.016207853893438973,0.974,,
183,0.0004983671766293849,183,0.014151401410500208,0.984,,
184,0.0004983492040484062,184,0.013504160155852636,0.98,,
185,0.0004983311334230948,185,0.010853072295586267,0.988,,
186,0.0004983129647605848,186,0.013621645718812943,0.986,,
187,0.0004982946980680488,187,0.011847441544135412,0.985,,
188,0.0004982763333526982,188,0.011463960736989975,0.985,,
189,0.0004982578706217831,189,0.009793928921222687,0.991,,
190,0.0004982393098825924,190,0.011396991302569708,0.984,,
191,0.0004982206511424535,191,0.012934473425149917,0.982,,
192,0.0004982018944087325,192,0.011866137355566025,0.988,,
193,0.0004981830396888345,193,0.010499240507682165,0.989,,
194,0.0004981640869902027,194,0.008932882005969683,0.992,,
195,0.0004981450363203195,195,0.013116996397574743,0.979,,
196,0.000498125887686706,196,0.015240457733472188,0.974,,
197,0.0004981066410969215,197,0.01613959354162216,0.976,,
198,0.0004980872965585644,198,0.014781487464904786,0.977,,
199,0.0004980678540792715,199,0.01032500227789084,0.987,,
200,0.0004980483136667185,200,0.009242378294467926,0.991,0.504211323928833,0.3947
