step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.1,1,3.979920191497803,0.08606,,
2,0.09999383162408304,2,3.318132295074463,0.18732,3.064570338439941,0.2344
3,0.09997532801828658,3,2.8498772471618654,0.27618,,
4,0.09994449374809851,4,2.463179160079956,0.3506,2.4990283279418946,0.3499
5,0.09990133642141359,5,2.1830973669433593,0.41514,,
6,0.09984586668665642,6,2.0005123388671877,0.45708,2.167372885131836,0.4261
7,0.09977809823015402,7,1.8769328777694703,0.4838,,
8,0.09969804777275901,8,1.7823085220336914,0.5056,2.000480445098877,0.4636
9,0.09960573506572391,9,1.7182602826309203,0.52214,,
10,0.09950118288582789,10,1.6618585416412353,0.53372,1.8519530302047729,0.5025
11,0.09938441702975691,11,1.6119617670440674,0.5493,,
12,0.09925546630773871,12,1.5721555968475343,0.56004,1.792803011894226,0.512
13,0.09911436253643445,13,1.5324104443740845,0.5684,,
14,0.0989611405310883,14,1.5015699117279053,0.57416,1.798750745010376,0.5156
15,0.09879583809693739,15,1.4728642473602296,0.58526,,
16,0.09861849601988384,16,1.4549151305770873,0.58814,1.7848417545318604,0.5228
17,0.09842915805643157,17,1.4274566468429566,0.59682,,
18,0.09822787092288993,18,1.4031694771957397,0.60186,1.752981335258484,0.5341
19,0.09801468428384717,19,1.3943357005691528,0.60334,,
20,0.09778965073991652,20,1.36684799407959,0.61144,1.733512760925293,0.5359
21,0.0975528258147577,21,1.348758219985962,0.6172,,
22,0.09730426794137728,22,1.3460778170776366,0.61702,1.6697539157867431,0.5426
23,0.09704403844771128,23,1.3363737728118896,0.61682,,
24,0.09677220154149338,24,1.312626325454712,0.62544,1.6389819644927979,0.5501
25,0.09648882429441258,25,1.3013608975982667,0.629,,
26,0.09619397662556435,26,1.293520018234253,0.62904,1.6638097003936767,0.548
27,0.09588773128419906,27,1.286738420677185,0.6327,,
28,0.09557016383177226,28,1.2693119969940185,0.63502,1.6409340133666992,0.5567
29,0.09524135262330098,29,1.267641883239746,0.63592,,
30,0.09490137878803079,30,1.250189321784973,0.6394,1.6549389900207518,0.5462
31,0.0945503262094184,31,1.249198748550415,0.64084,,
32,0.0941882815044347,32,1.2408658759307862,0.64446,1.5786655910491942,0.5707
33,0.09381533400219319,33,1.2241438626480103,0.6467,,
34,0.09343157572190958,34,1.212501674194336,0.65258,1.5210312795639038,0.5805
35,0.0930371013501972,35,1.202043352470398,0.65172,,
36,0.09263200821770463,36,1.2003813124084473,0.65382,1.6133698467254638,0.5583
37,0.09221639627510078,37,1.207264101486206,0.65328,,
38,0.09179036806841355,38,1.1968329439926146,0.65334,1.615158882522583,0.5627
39,0.09135402871372812,39,1.1768747066497802,0.66138,,
40,0.0909074858712512,40,1.1750839861297608,0.65968,1.6566860858917236,0.5543
41,0.09045084971874741,41,1.1631120984649659,0.66336,,
42,0.08998423292435458,42,1.1646296113967896,0.66482,1.6171296501159669,0.562
43,0.08950775061878455,43,1.1495379273223878,0.66742,,
44,0.08902152036691653,44,1.1571837177276612,0.66354,1.567869781112671,0.5774
45,0.08852566213878951,45,1.1397262063789368,0.66922,,
46,0.0880202982800016,46,1.1298393282699586,0.67222,1.5735166891098022,0.5767
47,0.08750555348152303,47,1.1261354916763306,0.6731,,
48,0.08698155474893052,48,1.1265546342086792,0.6728,1.5982993328094481,0.565
49,0.08644843137107061,49,1.1177831330871582,0.67522,,
50,0.08590631488815947,50,1.102929923095703,0.6789,1.602679061126709,0.5696
51,0.0853553390593274,51,1.1035109208297729,0.67998,,
52,0.08479563982961574,52,1.0953284581756593,0.67994,1.4857726028442382,0.5987
53,0.08422735529643446,53,1.0864952324676513,0.68346,,
54,0.08365062567548869,54,1.0846313533401488,0.6844,1.5782276054382325,0.577
55,0.08306559326618261,55,1.082387225189209,0.68402,,
56,0.0824724024165092,56,1.0748847889709472,0.68694,1.6459575572967529,0.5596
57,0.0818711994874345,57,1.0537233686828613,0.69154,,
58,0.08126213281678528,58,1.0628847785377502,0.68958,1.5616176452636719,0.5803
59,0.08064535268264884,59,1.044010504875183,0.69216,,
60,0.08002101126629421,60,1.053088963317871,0.69278,1.5657468547821045,0.5824
61,0.07938926261462367,61,1.029763057785034,0.69842,,
62,0.07875026260216395,62,1.028171290435791,0.69742,1.5826790561676025,0.5781
63,0.07810416889260656,63,1.0272608752822876,0.69864,,
64,0.07745114089990661,64,1.01101424243927,0.70166,1.6122376531600953,0.5723
65,0.07679133974894985,65,1.0041882996749878,0.70586,,
